date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2004-07-01,125.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.125
2004-08-01,124.25,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.12425
2004-09-01,121.25,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.12125
2004-10-01,121.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.121
2004-11-01,131.25,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.13125
2004-12-01,135.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.135
2005-01-01,127.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.127
2005-02-01,128.5,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.1285
2005-03-01,129.25,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.12925
2005-04-01,125.6,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.1256
2005-05-01,120.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.12
2005-06-01,121.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.121
2005-07-01,113.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.113
2005-08-01,110.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.11
2005-09-01,111.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.111
2005-10-01,115.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.115
2005-11-01,119.75,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.11975
2005-12-01,124.2,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.1242
2006-01-01,122.25,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.12225
2006-02-01,133.25,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.13325
2006-03-01,137.5,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.1375
2006-04-01,131.25,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.13125
2006-05-01,136.25,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.13625
2006-06-01,144.5,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.1445
2006-07-01,143.12,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.14312
2006-08-01,151.75,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.15175
2006-09-01,176.6,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.1766
2006-10-01,183.33,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.18333000000000002
2006-11-01,196.25,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.19625
2006-12-01,200.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.2
2007-01-01,200.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.2
2007-02-01,198.75,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.19875
2007-03-01,196.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.196
2007-04-01,196.25,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.19625
2007-05-01,207.5,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.2075
2007-06-01,223.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.223
2007-07-01,260.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.26
2007-08-01,283.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.283
2007-09-01,327.5,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.3275
2007-10-01,331.25,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.33125
2007-11-01,331.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.331
2007-12-01,335.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.335
2008-01-01,346.25,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.34625
2008-02-01,380.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.38
2008-03-01,435.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.435
2008-04-01,430.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.43
2008-05-01,356.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.356
2008-06-01,310.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.31
2008-07-01,278.75,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.27875
2008-08-01,280.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.28
2008-09-01,256.42,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.25642000000000004
2008-10-01,199.4,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.1994
2008-11-01,155.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.155
2008-12-01,158.75,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.15875
2009-01-01,187.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.187
2009-02-01,186.25,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.18625
2009-03-01,170.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.17
2009-04-01,176.25,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.17625
2009-05-01,191.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.191
2009-06-01,191.25,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.19125
2009-07-01,172.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.172
2009-08-01,170.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.17
2009-09-01,160.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.16
2009-10-01,173.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.173
2009-11-01,185.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.185
2009-12-01,186.4,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.1864
2010-01-01,177.75,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.17775
2010-02-01,169.5,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.1695
2010-03-01,165.5,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.1655
2010-04-01,169.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.169
2010-05-01,174.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.174
2010-06-01,166.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.166
2010-07-01,200.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.2
2010-08-01,251.25,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.25125
2010-09-01,288.33,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.28833
2010-10-01,280.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.28
2010-11-01,,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,
2010-12-01,,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,
2011-01-01,,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,
2011-02-01,,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,
2011-03-01,,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,
2011-04-01,,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,
2011-05-01,,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,
2011-06-01,,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,
2011-07-01,242.5,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.2425
2011-08-01,265.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.265
2011-09-01,268.75,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.26875
2011-10-01,235.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.235
2011-11-01,243.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.243
2011-12-01,242.5,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.2425
2012-01-01,259.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.259
2012-02-01,278.75,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.27875
2012-03-01,277.5,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.2775
2012-04-01,271.25,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.27125
2012-05-01,268.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.268
2012-06-01,263.75,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.26375
2012-07-01,299.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.299
2012-08-01,312.5,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.3125
2012-09-01,330.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.33
2012-10-01,346.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.346
2012-11-01,351.25,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.35125
2012-12-01,357.5,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.3575
2013-01-01,,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,
2013-02-01,,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,
2013-03-01,,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,
2013-04-01,273.75,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.27375
2013-05-01,268.75,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.26875
2013-06-01,268.75,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.26875
2013-07-01,254.4,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.2544
2013-08-01,253.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.253
2013-09-01,250.5,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.2505
2013-10-01,272.6,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.2726
2013-11-01,286.75,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.28675
2013-12-01,294.6,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.29460000000000003
2014-01-01,287.75,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.28775
2014-02-01,279.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.279
2014-03-01,290.5,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.2905
2014-04-01,292.4,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.2924
2014-05-01,289.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.289
2014-06-01,258.25,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.25825
2014-07-01,247.2,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.24719999999999998
2014-08-01,244.75,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.24475
2014-09-01,242.2,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.2422
2014-10-01,239.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.239
2014-11-01,250.5,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.2505
2014-12-01,259.4,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.25939999999999996
2015-01-01,259.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.259
2015-02-01,239.25,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.23925
2015-03-01,217.2,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.21719999999999998
2015-04-01,210.25,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.21025
2015-05-01,193.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.193
2015-06-01,194.2,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.19419999999999998
2015-07-01,197.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.197
2015-08-01,187.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.187
2015-09-01,182.8,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.18280000000000002
2015-10-01,196.5,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.1965
2015-11-01,198.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.198
2015-12-01,192.4,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.19240000000000002
2016-01-01,183.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.183
2016-02-01,181.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.181
2016-03-01,180.2,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.1802
2016-04-01,186.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.186
2016-05-01,193.4,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.19340000000000002
2016-06-01,187.25,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.18725
2016-07-01,165.5,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.1655
2016-08-01,171.2,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.1712
2016-09-01,169.75,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.16975
2016-10-01,174.75,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.17475
2016-11-01,182.2,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.1822
2016-12-01,183.25,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.18325
2017-01-01,184.6,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.1846
2017-02-01,191.25,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.19125
2017-03-01,192.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.192
2017-04-01,188.25,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.18825
2017-05-01,186.8,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.18680000000000002
2017-06-01,188.25,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.18825
2017-07-01,194.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.194
2017-08-01,190.8,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.19080000000000003
2017-09-01,187.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.187
2017-10-01,194.6,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.1946
2017-11-01,192.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.192
2017-12-01,191.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.191
2018-01-01,193.2,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.19319999999999998
2018-02-01,201.5,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.2015
2018-03-01,208.25,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.20825
2018-04-01,212.5,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.2125
2018-05-01,212.8,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.21280000000000002
2018-06-01,203.25,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.20325
2018-07-01,207.6,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.2076
2018-08-01,230.0,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.23
2018-09-01,222.5,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.2225
2018-10-01,231.8,"Wheat (milling, 12.5%)",INTERNATIONAL PRICES,Russian Federation,EXPORT,tonne,kg,0.2318
