date,price_usd,commodity_name,country,market,price_type,unit
2011-01-01,0.81,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2011-02-01,0.81,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2011-03-01,0.8,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2011-04-01,0.77,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2011-05-01,0.79,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2011-06-01,0.81,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2011-07-01,0.78,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2011-08-01,0.8,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2011-09-01,0.79,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2011-10-01,0.78,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2011-11-01,0.79,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2011-12-01,0.74,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2012-01-01,0.84,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2012-02-01,0.72,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2012-03-01,0.71,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2012-04-01,0.75,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2012-05-01,0.78,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2012-06-01,0.73,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2012-07-01,0.76,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2012-08-01,0.71,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2012-09-01,0.65,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2012-10-01,0.74,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2012-11-01,0.73,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2012-12-01,0.72,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2013-01-01,0.7,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2013-02-01,0.53,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2013-03-01,0.51,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2013-04-01,0.54,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2013-05-01,0.59,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2013-06-01,0.56,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2013-07-01,0.53,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2013-08-01,0.55,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2013-09-01,0.58,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2013-10-01,0.6,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
2013-11-01,0.57,Cassava (flour),Burundi,Bujumbura Mairie,RETAIL,Kg
