date,price_usd,commodity_name,country,market,price_type,unit
2022-08-01,4.97,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2022-09-01,3.76,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2022-10-01,3.68,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2022-11-01,3.96,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2022-12-01,4.78,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2023-01-01,4.85,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2023-02-01,4.84,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2023-03-01,4.87,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2023-04-01,5.0,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2023-05-01,5.02,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2023-06-01,4.79,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2023-07-01,4.62,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2023-08-01,4.35,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2023-09-01,4.34,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2023-10-01,4.34,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2023-11-01,4.39,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2023-12-01,4.5,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2024-01-01,4.5,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2024-02-01,4.5,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2024-03-01,4.5,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2024-04-01,4.5,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2024-05-01,4.5,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2024-06-01,4.49,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2024-07-01,4.54,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2024-08-01,4.48,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2024-09-01,4.47,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2024-10-01,4.48,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2024-11-01,4.48,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2024-12-01,4.48,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2025-01-01,4.47,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2025-02-01,4.47,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2025-03-01,4.47,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2025-04-01,2.76,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2025-05-01,2.95,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2025-06-01,3.02,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2025-07-01,3.01,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2025-08-01,3.01,"Fish (Bonga, smoked)",Guinea,Conakry,RETAIL,Kg
2022-08-01,3.28,"Fish (Bonga, smoked)",Guinea,Faranah,RETAIL,Kg
2022-09-01,1.89,"Fish (Bonga, smoked)",Guinea,Faranah,RETAIL,Kg
2022-10-01,1.89,"Fish (Bonga, smoked)",Guinea,Faranah,RETAIL,Kg
