date,price_usd,commodity_name,country,market,price_type,unit
2022-08-01,2.41,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2022-09-01,2.13,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2022-10-01,1.84,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2022-11-01,1.59,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2022-12-01,1.54,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2023-01-01,1.61,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2023-02-01,1.61,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2023-03-01,1.81,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2023-04-01,1.86,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2023-05-01,2.03,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2023-06-01,2.2,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2023-07-01,2.14,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2023-08-01,2.4,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2023-09-01,2.4,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2023-10-01,2.4,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2023-11-01,2.43,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2023-12-01,2.02,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2024-01-01,2.02,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2024-02-01,2.02,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2024-03-01,2.02,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2024-04-01,2.02,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2024-05-01,2.02,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2024-06-01,2.02,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2024-07-01,2.04,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2024-08-01,2.02,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2024-09-01,2.01,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2024-10-01,2.01,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2024-11-01,2.01,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2024-12-01,2.01,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2025-01-01,2.01,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2025-02-01,2.01,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2025-03-01,2.01,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
2025-04-01,1.66,Groundnuts (shelled),Guinea,Conakry,RETAIL,Kg
