date,price_usd,commodity_name,country,market,price_type,unit
2005-01-01,160.13,Maize (dry),Italy,National Average,WHOLESALE,tonne
2005-02-01,156.8,Maize (dry),Italy,National Average,WHOLESALE,tonne
2005-03-01,161.69,Maize (dry),Italy,National Average,WHOLESALE,tonne
2005-04-01,157.84,Maize (dry),Italy,National Average,WHOLESALE,tonne
2005-05-01,152.05,Maize (dry),Italy,National Average,WHOLESALE,tonne
2005-06-01,154.12,Maize (dry),Italy,National Average,WHOLESALE,tonne
2005-07-01,155.99,Maize (dry),Italy,National Average,WHOLESALE,tonne
2005-08-01,160.66,Maize (dry),Italy,National Average,WHOLESALE,tonne
2005-09-01,155.87,Maize (dry),Italy,National Average,WHOLESALE,tonne
2005-10-01,151.26,Maize (dry),Italy,National Average,WHOLESALE,tonne
2005-11-01,144.25,Maize (dry),Italy,National Average,WHOLESALE,tonne
2005-12-01,148.67,Maize (dry),Italy,National Average,WHOLESALE,tonne
2006-01-01,153.21,Maize (dry),Italy,National Average,WHOLESALE,tonne
2006-02-01,149.7,Maize (dry),Italy,National Average,WHOLESALE,tonne
2006-03-01,150.36,Maize (dry),Italy,National Average,WHOLESALE,tonne
2006-04-01,155.82,Maize (dry),Italy,National Average,WHOLESALE,tonne
2006-05-01,171.23,Maize (dry),Italy,National Average,WHOLESALE,tonne
2006-06-01,173.42,Maize (dry),Italy,National Average,WHOLESALE,tonne
2006-07-01,177.94,Maize (dry),Italy,National Average,WHOLESALE,tonne
2006-08-01,181.28,Maize (dry),Italy,National Average,WHOLESALE,tonne
2006-09-01,187.34,Maize (dry),Italy,National Average,WHOLESALE,tonne
2006-10-01,201.52,Maize (dry),Italy,National Average,WHOLESALE,tonne
2006-11-01,211.35,Maize (dry),Italy,National Average,WHOLESALE,tonne
2006-12-01,214.44,Maize (dry),Italy,National Average,WHOLESALE,tonne
2007-01-01,217.07,Maize (dry),Italy,National Average,WHOLESALE,tonne
2007-02-01,214.67,Maize (dry),Italy,National Average,WHOLESALE,tonne
2007-03-01,215.83,Maize (dry),Italy,National Average,WHOLESALE,tonne
2007-04-01,217.33,Maize (dry),Italy,National Average,WHOLESALE,tonne
2007-05-01,222.53,Maize (dry),Italy,National Average,WHOLESALE,tonne
2007-06-01,224.08,Maize (dry),Italy,National Average,WHOLESALE,tonne
2007-07-01,252.91,Maize (dry),Italy,National Average,WHOLESALE,tonne
2007-08-01,294.77,Maize (dry),Italy,National Average,WHOLESALE,tonne
2007-09-01,323.17,Maize (dry),Italy,National Average,WHOLESALE,tonne
2007-10-01,315.98,Maize (dry),Italy,National Average,WHOLESALE,tonne
