date,price_usd,commodity_name,country,market,price_type,unit
2018-01-01,1.15,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2018-02-01,1.17,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2018-03-01,1.17,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2018-04-01,1.18,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2018-05-01,1.14,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2018-06-01,1.11,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2018-07-01,1.11,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2018-08-01,1.08,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2018-09-01,1.09,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2018-10-01,1.09,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2018-11-01,1.08,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2018-12-01,1.06,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2019-01-01,1.08,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2019-02-01,1.09,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2019-03-01,1.11,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2019-04-01,1.09,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2019-05-01,1.08,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2019-06-01,1.06,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2019-07-01,1.04,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2019-08-01,1.02,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2019-09-01,1.02,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2019-10-01,1.05,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2019-11-01,1.06,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2019-12-01,1.09,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2020-01-01,1.09,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2020-02-01,1.08,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2020-03-01,1.02,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2020-04-01,1.02,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2020-05-01,1.02,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2020-06-01,1.04,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2020-07-01,1.05,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2020-08-01,1.11,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2020-09-01,1.08,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2020-10-01,1.09,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2020-11-01,1.11,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2020-12-01,1.12,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2021-01-01,1.15,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2021-02-01,1.17,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2021-03-01,1.17,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2021-04-01,1.17,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2021-05-01,1.18,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2021-06-01,1.18,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2021-07-01,1.17,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2021-08-01,1.18,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2021-09-01,1.15,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2021-10-01,1.16,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2021-11-01,1.19,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2021-12-01,1.21,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2022-01-01,1.23,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2022-02-01,1.27,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2022-03-01,1.26,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2022-04-01,1.27,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2022-05-01,1.26,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2022-06-01,1.31,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2022-07-01,1.36,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2022-08-01,1.43,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2022-09-01,1.36,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2022-10-01,1.43,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2022-11-01,1.52,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2022-12-01,1.62,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2023-01-01,1.62,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2023-02-01,1.6,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2023-03-01,1.62,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2023-04-01,1.63,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2023-05-01,1.61,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2023-06-01,1.63,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2023-07-01,1.6,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2023-08-01,1.57,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
2023-09-01,1.53,Milk (semi-skimmed),United Kingdom,National Average,RETAIL,2 pints
