date,price_usd,commodity_name,country,market,price_type,unit
2020-08-01,0.96,Onions (imported),Senegal,National Average,RETAIL,Kg
2020-09-01,0.87,Onions (imported),Senegal,National Average,RETAIL,Kg
2020-10-01,0.83,Onions (imported),Senegal,National Average,RETAIL,Kg
2020-11-01,0.84,Onions (imported),Senegal,National Average,RETAIL,Kg
2020-12-01,0.9,Onions (imported),Senegal,National Average,RETAIL,Kg
2021-01-01,0.97,Onions (imported),Senegal,National Average,RETAIL,Kg
2021-02-01,1.05,Onions (imported),Senegal,National Average,RETAIL,Kg
2021-03-01,1.0,Onions (imported),Senegal,National Average,RETAIL,Kg
2021-04-01,1.01,Onions (imported),Senegal,National Average,RETAIL,Kg
2021-05-01,,Onions (imported),Senegal,National Average,RETAIL,Kg
2021-06-01,,Onions (imported),Senegal,National Average,RETAIL,Kg
2021-07-01,,Onions (imported),Senegal,National Average,RETAIL,Kg
2021-08-01,0.94,Onions (imported),Senegal,National Average,RETAIL,Kg
2021-09-01,0.85,Onions (imported),Senegal,National Average,RETAIL,Kg
2021-10-01,,Onions (imported),Senegal,National Average,RETAIL,Kg
2021-11-01,0.77,Onions (imported),Senegal,National Average,RETAIL,Kg
2021-12-01,0.8,Onions (imported),Senegal,National Average,RETAIL,Kg
2022-01-01,0.83,Onions (imported),Senegal,National Average,RETAIL,Kg
2022-02-01,0.85,Onions (imported),Senegal,National Average,RETAIL,Kg
2022-03-01,0.84,Onions (imported),Senegal,National Average,RETAIL,Kg
2022-04-01,,Onions (imported),Senegal,National Average,RETAIL,Kg
2022-05-01,,Onions (imported),Senegal,National Average,RETAIL,Kg
2022-06-01,,Onions (imported),Senegal,National Average,RETAIL,Kg
2022-07-01,,Onions (imported),Senegal,National Average,RETAIL,Kg
2022-08-01,1.31,Onions (imported),Senegal,National Average,RETAIL,Kg
2022-09-01,1.04,Onions (imported),Senegal,National Average,RETAIL,Kg
2022-10-01,0.88,Onions (imported),Senegal,National Average,RETAIL,Kg
2022-11-01,0.9,Onions (imported),Senegal,National Average,RETAIL,Kg
2022-12-01,1.19,Onions (imported),Senegal,National Average,RETAIL,Kg
2023-01-01,1.23,Onions (imported),Senegal,National Average,RETAIL,Kg
2023-02-01,1.16,Onions (imported),Senegal,National Average,RETAIL,Kg
2023-03-01,1.09,Onions (imported),Senegal,National Average,RETAIL,Kg
2023-04-01,,Onions (imported),Senegal,National Average,RETAIL,Kg
2023-05-01,,Onions (imported),Senegal,National Average,RETAIL,Kg
2023-06-01,,Onions (imported),Senegal,National Average,RETAIL,Kg
2023-07-01,,Onions (imported),Senegal,National Average,RETAIL,Kg
2023-08-01,1.78,Onions (imported),Senegal,National Average,RETAIL,Kg
2023-09-01,1.5,Onions (imported),Senegal,National Average,RETAIL,Kg
2023-10-01,1.24,Onions (imported),Senegal,National Average,RETAIL,Kg
2023-11-01,1.11,Onions (imported),Senegal,National Average,RETAIL,Kg
2023-12-01,1.24,Onions (imported),Senegal,National Average,RETAIL,Kg
2024-01-01,1.23,Onions (imported),Senegal,National Average,RETAIL,Kg
2024-02-01,1.19,Onions (imported),Senegal,National Average,RETAIL,Kg
2024-03-01,1.15,Onions (imported),Senegal,National Average,RETAIL,Kg
2024-04-01,,Onions (imported),Senegal,National Average,RETAIL,Kg
2024-05-01,,Onions (imported),Senegal,National Average,RETAIL,Kg
2024-06-01,,Onions (imported),Senegal,National Average,RETAIL,Kg
2024-07-01,,Onions (imported),Senegal,National Average,RETAIL,Kg
2024-08-01,1.09,Onions (imported),Senegal,National Average,RETAIL,Kg
2024-09-01,1.29,Onions (imported),Senegal,National Average,RETAIL,Kg
2024-10-01,1.04,Onions (imported),Senegal,National Average,RETAIL,Kg
2024-11-01,0.88,Onions (imported),Senegal,National Average,RETAIL,Kg
2024-12-01,0.92,Onions (imported),Senegal,National Average,RETAIL,Kg
2025-01-01,0.98,Onions (imported),Senegal,National Average,RETAIL,Kg
2025-02-01,1.0,Onions (imported),Senegal,National Average,RETAIL,Kg
2025-03-01,0.99,Onions (imported),Senegal,National Average,RETAIL,Kg
2025-04-01,0.9,Onions (imported),Senegal,National Average,RETAIL,Kg
2025-05-01,,Onions (imported),Senegal,National Average,RETAIL,Kg
2025-06-01,,Onions (imported),Senegal,National Average,RETAIL,Kg
2025-07-01,,Onions (imported),Senegal,National Average,RETAIL,Kg
2025-08-01,1.13,Onions (imported),Senegal,National Average,RETAIL,Kg
2025-09-01,1.1,Onions (imported),Senegal,National Average,RETAIL,Kg
2021-01-01,0.61,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2021-02-01,0.66,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2021-03-01,0.68,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2021-04-01,0.51,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2021-05-01,0.55,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2021-06-01,0.58,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2021-07-01,0.59,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2021-08-01,0.64,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2021-09-01,0.75,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2021-10-01,0.92,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2021-11-01,1.01,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2021-12-01,1.08,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2022-01-01,0.97,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2022-02-01,0.9,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2022-03-01,0.7,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2022-04-01,0.7,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2022-05-01,0.58,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2022-06-01,0.65,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2022-07-01,0.6,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2022-08-01,0.51,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2022-09-01,0.5,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2022-10-01,0.64,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2022-11-01,0.79,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2022-12-01,0.55,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2023-01-01,0.52,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2023-02-01,0.44,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2023-03-01,0.38,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2023-04-01,0.38,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2023-05-01,0.42,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2023-06-01,0.43,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2023-07-01,0.45,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2023-08-01,0.54,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2023-09-01,0.68,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2023-10-01,0.77,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2023-11-01,0.87,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2023-12-01,1.35,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2024-01-01,1.49,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2024-02-01,1.37,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2024-03-01,1.84,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2024-04-01,2.34,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2024-05-01,0.95,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2024-06-01,0.85,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2024-07-01,0.88,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2024-08-01,0.9,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2024-09-01,1.03,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2024-10-01,1.02,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2024-11-01,1.23,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2024-12-01,1.0,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2025-01-01,0.88,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2025-02-01,0.7,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2025-03-01,0.61,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2025-04-01,0.54,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2025-05-01,0.47,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2025-06-01,0.48,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2025-07-01,0.46,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2025-08-01,0.5,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2025-09-01,0.54,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2025-10-01,0.57,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2025-11-01,180.82,Onions (imported),Sri Lanka,Colombo,RETAIL,Kg
2010-01-01,1.35,Onions (imported),Tonga,National Average,RETAIL,Kg
2010-02-01,1.52,Onions (imported),Tonga,National Average,RETAIL,Kg
2010-03-01,1.39,Onions (imported),Tonga,National Average,RETAIL,Kg
2010-04-01,1.57,Onions (imported),Tonga,National Average,RETAIL,Kg
2010-05-01,1.47,Onions (imported),Tonga,National Average,RETAIL,Kg
2010-06-01,1.36,Onions (imported),Tonga,National Average,RETAIL,Kg
2010-07-01,1.37,Onions (imported),Tonga,National Average,RETAIL,Kg
2010-08-01,1.45,Onions (imported),Tonga,National Average,RETAIL,Kg
2010-09-01,1.38,Onions (imported),Tonga,National Average,RETAIL,Kg
2010-10-01,1.58,Onions (imported),Tonga,National Average,RETAIL,Kg
2010-11-01,1.62,Onions (imported),Tonga,National Average,RETAIL,Kg
2010-12-01,1.91,Onions (imported),Tonga,National Average,RETAIL,Kg
2011-01-01,1.87,Onions (imported),Tonga,National Average,RETAIL,Kg
2011-02-01,1.88,Onions (imported),Tonga,National Average,RETAIL,Kg
2011-03-01,1.69,Onions (imported),Tonga,National Average,RETAIL,Kg
2011-04-01,1.74,Onions (imported),Tonga,National Average,RETAIL,Kg
2011-05-01,1.68,Onions (imported),Tonga,National Average,RETAIL,Kg
2011-06-01,1.64,Onions (imported),Tonga,National Average,RETAIL,Kg
2011-07-01,1.57,Onions (imported),Tonga,National Average,RETAIL,Kg
2011-08-01,1.62,Onions (imported),Tonga,National Average,RETAIL,Kg
2011-09-01,1.51,Onions (imported),Tonga,National Average,RETAIL,Kg
2011-10-01,1.62,Onions (imported),Tonga,National Average,RETAIL,Kg
2011-11-01,1.61,Onions (imported),Tonga,National Average,RETAIL,Kg
2011-12-01,1.6,Onions (imported),Tonga,National Average,RETAIL,Kg
2012-01-01,1.69,Onions (imported),Tonga,National Average,RETAIL,Kg
2012-02-01,1.64,Onions (imported),Tonga,National Average,RETAIL,Kg
2012-03-01,1.74,Onions (imported),Tonga,National Average,RETAIL,Kg
2012-04-01,1.64,Onions (imported),Tonga,National Average,RETAIL,Kg
2012-05-01,1.61,Onions (imported),Tonga,National Average,RETAIL,Kg
2012-06-01,1.81,Onions (imported),Tonga,National Average,RETAIL,Kg
2012-07-01,1.57,Onions (imported),Tonga,National Average,RETAIL,Kg
2012-08-01,1.67,Onions (imported),Tonga,National Average,RETAIL,Kg
2012-09-01,1.67,Onions (imported),Tonga,National Average,RETAIL,Kg
2012-10-01,1.6,Onions (imported),Tonga,National Average,RETAIL,Kg
2012-11-01,1.88,Onions (imported),Tonga,National Average,RETAIL,Kg
2012-12-01,1.92,Onions (imported),Tonga,National Average,RETAIL,Kg
2013-01-01,1.85,Onions (imported),Tonga,National Average,RETAIL,Kg
2013-02-01,1.85,Onions (imported),Tonga,National Average,RETAIL,Kg
2013-03-01,1.65,Onions (imported),Tonga,National Average,RETAIL,Kg
2013-04-01,1.7,Onions (imported),Tonga,National Average,RETAIL,Kg
2013-05-01,1.71,Onions (imported),Tonga,National Average,RETAIL,Kg
2013-06-01,1.58,Onions (imported),Tonga,National Average,RETAIL,Kg
2013-07-01,1.57,Onions (imported),Tonga,National Average,RETAIL,Kg
2013-08-01,1.5,Onions (imported),Tonga,National Average,RETAIL,Kg
2013-09-01,1.52,Onions (imported),Tonga,National Average,RETAIL,Kg
2013-10-01,1.54,Onions (imported),Tonga,National Average,RETAIL,Kg
2013-11-01,1.88,Onions (imported),Tonga,National Average,RETAIL,Kg
2013-12-01,2.02,Onions (imported),Tonga,National Average,RETAIL,Kg
2014-01-01,1.98,Onions (imported),Tonga,National Average,RETAIL,Kg
2014-02-01,1.6,Onions (imported),Tonga,National Average,RETAIL,Kg
2014-03-01,1.6,Onions (imported),Tonga,National Average,RETAIL,Kg
2014-04-01,1.74,Onions (imported),Tonga,National Average,RETAIL,Kg
2014-05-01,1.88,Onions (imported),Tonga,National Average,RETAIL,Kg
2014-06-01,1.88,Onions (imported),Tonga,National Average,RETAIL,Kg
2014-07-01,1.89,Onions (imported),Tonga,National Average,RETAIL,Kg
2014-08-01,1.86,Onions (imported),Tonga,National Average,RETAIL,Kg
2014-09-01,1.82,Onions (imported),Tonga,National Average,RETAIL,Kg
2014-10-01,1.77,Onions (imported),Tonga,National Average,RETAIL,Kg
2014-11-01,1.76,Onions (imported),Tonga,National Average,RETAIL,Kg
2014-12-01,1.61,Onions (imported),Tonga,National Average,RETAIL,Kg
2015-01-01,1.72,Onions (imported),Tonga,National Average,RETAIL,Kg
2015-02-01,1.75,Onions (imported),Tonga,National Average,RETAIL,Kg
2015-03-01,1.74,Onions (imported),Tonga,National Average,RETAIL,Kg
2015-04-01,1.75,Onions (imported),Tonga,National Average,RETAIL,Kg
2015-05-01,1.74,Onions (imported),Tonga,National Average,RETAIL,Kg
2015-06-01,1.61,Onions (imported),Tonga,National Average,RETAIL,Kg
2015-07-01,1.57,Onions (imported),Tonga,National Average,RETAIL,Kg
2015-08-01,1.55,Onions (imported),Tonga,National Average,RETAIL,Kg
2015-09-01,1.52,Onions (imported),Tonga,National Average,RETAIL,Kg
2015-10-01,1.4,Onions (imported),Tonga,National Average,RETAIL,Kg
2015-11-01,1.39,Onions (imported),Tonga,National Average,RETAIL,Kg
2015-12-01,1.4,Onions (imported),Tonga,National Average,RETAIL,Kg
2016-01-01,1.38,Onions (imported),Tonga,National Average,RETAIL,Kg
2016-02-01,1.37,Onions (imported),Tonga,National Average,RETAIL,Kg
2016-03-01,1.46,Onions (imported),Tonga,National Average,RETAIL,Kg
2016-04-01,1.47,Onions (imported),Tonga,National Average,RETAIL,Kg
2016-05-01,1.46,Onions (imported),Tonga,National Average,RETAIL,Kg
2016-06-01,1.46,Onions (imported),Tonga,National Average,RETAIL,Kg
2016-07-01,1.51,Onions (imported),Tonga,National Average,RETAIL,Kg
2016-08-01,1.46,Onions (imported),Tonga,National Average,RETAIL,Kg
2016-09-01,1.46,Onions (imported),Tonga,National Average,RETAIL,Kg
2016-10-01,1.26,Onions (imported),Tonga,National Average,RETAIL,Kg
2016-11-01,1.25,Onions (imported),Tonga,National Average,RETAIL,Kg
2016-12-01,1.29,Onions (imported),Tonga,National Average,RETAIL,Kg
2017-01-01,1.35,Onions (imported),Tonga,National Average,RETAIL,Kg
2017-02-01,1.57,Onions (imported),Tonga,National Average,RETAIL,Kg
2017-03-01,1.55,Onions (imported),Tonga,National Average,RETAIL,Kg
2017-04-01,1.48,Onions (imported),Tonga,National Average,RETAIL,Kg
2017-05-01,1.47,Onions (imported),Tonga,National Average,RETAIL,Kg
2017-06-01,1.49,Onions (imported),Tonga,National Average,RETAIL,Kg
2017-07-01,1.53,Onions (imported),Tonga,National Average,RETAIL,Kg
2017-08-01,1.48,Onions (imported),Tonga,National Average,RETAIL,Kg
2017-09-01,1.48,Onions (imported),Tonga,National Average,RETAIL,Kg
2017-10-01,1.46,Onions (imported),Tonga,National Average,RETAIL,Kg
2017-11-01,1.44,Onions (imported),Tonga,National Average,RETAIL,Kg
2017-12-01,1.44,Onions (imported),Tonga,National Average,RETAIL,Kg
