date,price_usd,commodity_name,country,market,price_type,unit
2014-01-01,4.07,Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,Kg
2014-02-01,4.2,Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,Kg
2014-03-01,4.09,Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,Kg
2014-04-01,4.18,Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,Kg
2014-05-01,4.34,Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,Kg
2014-06-01,4.38,Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,Kg
2014-07-01,4.37,Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,Kg
2014-08-01,4.39,Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,Kg
2014-09-01,4.35,Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,Kg
2014-10-01,4.34,Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,Kg
2014-11-01,4.41,Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,Kg
2014-12-01,4.4,Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,Kg
2015-01-01,4.18,Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,Kg
2015-02-01,4.33,Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,Kg
2015-03-01,4.33,Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,Kg
2015-04-01,4.33,Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,Kg
2015-05-01,4.28,Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,Kg
2015-06-01,4.3,Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,Kg
2015-07-01,4.28,Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,Kg
2015-08-01,4.29,Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,Kg
2015-09-01,4.29,Pork meat (second quality),Lao People's Democratic Republic,National Average,RETAIL,Kg
