date,price_usd,commodity_name,country,market,price_type,unit
2012-12-01,22.24,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2013-01-01,21.65,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2013-02-01,19.1,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2013-03-01,17.6,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2013-04-01,14.14,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2013-05-01,13.26,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2013-06-01,14.81,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2013-07-01,20.03,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2013-08-01,21.88,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2013-09-01,27.98,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2013-10-01,32.57,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2013-11-01,25.33,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2013-12-01,19.5,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2014-01-01,15.91,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2014-02-01,14.93,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2014-03-01,10.18,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2014-04-01,11.22,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2014-05-01,16.31,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2014-06-01,18.52,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2014-07-01,18.79,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2014-08-01,18.36,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2014-09-01,17.19,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2014-10-01,17.13,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2014-11-01,17.44,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2014-12-01,18.71,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2015-01-01,24.39,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2015-02-01,24.64,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2015-03-01,19.93,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2015-04-01,17.87,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2015-05-01,14.93,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2015-06-01,13.73,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2015-07-01,12.93,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2015-08-01,12.91,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2015-09-01,12.2,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2015-10-01,17.48,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2015-11-01,23.38,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2015-12-01,24.43,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2016-01-01,23.1,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2016-02-01,21.31,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2016-03-01,18.46,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2016-04-01,18.31,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2016-05-01,20.74,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2016-06-01,22.1,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2016-07-01,23.13,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2016-08-01,25.92,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2016-09-01,29.31,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2016-10-01,34.52,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2016-11-01,35.53,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2016-12-01,28.75,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2017-01-01,21.99,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2017-02-01,19.09,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2017-03-01,19.8,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2017-04-01,17.49,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2017-05-01,18.25,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2017-06-01,19.35,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2017-07-01,18.91,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2017-08-01,18.78,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2017-09-01,19.2,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2017-10-01,22.53,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2017-11-01,21.14,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2017-12-01,21.15,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2018-01-01,19.68,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2018-02-01,19.09,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2018-03-01,16.23,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2018-04-01,13.64,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2018-05-01,13.2,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2018-06-01,14.38,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2018-07-01,15.26,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2018-08-01,19.0,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2018-09-01,19.48,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2018-10-01,21.39,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2018-11-01,22.16,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2018-12-01,20.12,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2019-01-01,20.38,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2019-02-01,19.88,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2019-03-01,19.86,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2019-04-01,18.76,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
2019-05-01,20.53,Potatoes (Desirée),Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg)
