date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2000-01-01,0.66,"Beans (black, Veracruz)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.66
2000-02-01,0.63,"Beans (black, Veracruz)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.63
2000-03-01,0.6,"Beans (black, Veracruz)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.6
2000-04-01,0.57,"Beans (black, Veracruz)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.57
2000-05-01,0.59,"Beans (black, Veracruz)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.59
2000-06-01,0.63,"Beans (black, Veracruz)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.63
2000-07-01,0.7,"Beans (black, Veracruz)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.7
2000-08-01,0.62,"Beans (black, Veracruz)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.62
2000-09-01,0.64,"Beans (black, Veracruz)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.64
2000-10-01,0.65,"Beans (black, Veracruz)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.65
2000-11-01,0.65,"Beans (black, Veracruz)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.65
2000-12-01,0.66,"Beans (black, Veracruz)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.66
2001-01-01,0.63,"Beans (black, Veracruz)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.63
2001-02-01,0.63,"Beans (black, Veracruz)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.63
2001-03-01,0.67,"Beans (black, Veracruz)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.67
2001-04-01,0.75,"Beans (black, Veracruz)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.75
2001-05-01,0.81,"Beans (black, Veracruz)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.81
2001-06-01,0.83,"Beans (black, Veracruz)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.83
2001-07-01,0.85,"Beans (black, Veracruz)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.85
2001-08-01,0.97,"Beans (black, Veracruz)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.97
