date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2000-04-01,0.59,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.59
2000-05-01,0.6,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.6
2000-06-01,0.59,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.59
2000-07-01,0.61,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.61
2000-08-01,0.58,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.58
2000-09-01,0.54,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.54
2000-10-01,0.54,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.54
2000-11-01,0.53,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.53
2000-12-01,0.53,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.53
2001-01-01,0.51,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.51
2001-02-01,0.51,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.51
2001-03-01,0.56,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.56
2001-04-01,0.64,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.64
2001-05-01,0.69,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.69
2001-06-01,0.7,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.7
2001-07-01,0.69,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.69
2001-08-01,0.83,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.83
2001-09-01,0.97,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.97
2001-10-01,0.9,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.9
2001-11-01,0.81,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.81
2001-12-01,0.9,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.9
2002-01-01,1.05,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.05
2002-02-01,1.1,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.1
2002-03-01,1.08,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.08
2002-04-01,1.15,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.15
2002-05-01,1.12,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.12
2002-06-01,1.09,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.09
2002-07-01,1.02,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.02
2002-08-01,1.02,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.02
2002-09-01,0.97,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.97
2002-10-01,0.91,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.91
2002-11-01,0.85,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.85
2002-12-01,0.7,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.7
2003-01-01,0.64,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.64
2003-02-01,0.62,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.62
2003-03-01,0.62,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.62
2003-04-01,0.64,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.64
2003-05-01,0.67,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.67
2003-06-01,0.64,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.64
2003-07-01,0.64,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.64
2003-08-01,0.61,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.61
2003-09-01,0.6,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.6
2003-10-01,0.58,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.58
2003-11-01,0.58,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.58
2003-12-01,0.57,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.57
2004-01-01,0.55,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.55
2004-02-01,0.54,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.54
2004-03-01,0.54,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.54
2004-04-01,0.49,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.49
2004-05-01,0.48,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.48
2004-06-01,0.48,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.48
2004-07-01,0.48,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.48
2004-08-01,0.48,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.48
2004-09-01,0.48,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.48
2004-10-01,0.48,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.48
2004-11-01,0.48,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.48
2004-12-01,0.54,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.54
2005-01-01,0.53,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.53
2005-02-01,0.54,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.54
2005-03-01,0.54,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.54
2005-04-01,0.54,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.54
2005-05-01,0.55,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.55
2005-06-01,0.55,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.55
2005-07-01,0.56,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.56
2005-08-01,0.57,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.57
2005-09-01,0.58,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.58
2005-10-01,0.57,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.57
2005-11-01,0.65,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.65
2005-12-01,0.68,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.68
2006-01-01,0.75,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.75
2006-02-01,0.74,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.74
2006-03-01,0.71,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.71
2006-04-01,0.7,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.7
2006-05-01,0.74,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.74
2006-06-01,0.69,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.69
2006-07-01,0.72,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.72
2006-08-01,0.71,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.71
2006-09-01,0.7,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.7
2006-10-01,0.71,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.71
2006-11-01,0.65,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.65
2006-12-01,0.64,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.64
2007-01-01,0.68,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.68
2007-02-01,0.66,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.66
2007-03-01,0.62,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.62
2007-04-01,0.62,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.62
2007-05-01,0.63,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.63
2007-06-01,0.63,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.63
2007-07-01,0.65,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.65
2007-08-01,0.65,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.65
2007-09-01,0.66,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.66
2007-10-01,0.67,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.67
2007-11-01,0.66,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.66
2007-12-01,0.67,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.67
2008-01-01,0.68,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.68
2008-02-01,0.71,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.71
2008-03-01,0.74,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.74
2008-04-01,0.82,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.82
2008-05-01,0.89,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.89
2008-06-01,0.91,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.91
2008-07-01,0.95,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.95
2008-08-01,0.94,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.94
2008-09-01,0.93,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.93
2008-10-01,0.8,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.8
2008-11-01,0.74,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.74
2008-12-01,0.93,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.93
2009-01-01,1.06,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.06
2009-02-01,1.06,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.06
2009-03-01,1.07,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.07
2009-04-01,1.22,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.22
2009-05-01,1.27,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.27
2009-06-01,1.31,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.31
2009-07-01,1.27,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.27
2009-08-01,1.28,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.28
2009-09-01,1.3,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.3
2009-10-01,1.3,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.3
2009-11-01,1.29,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.29
2009-12-01,1.29,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.29
2010-01-01,1.28,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.28
2010-02-01,1.28,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.28
2010-03-01,1.31,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.31
2010-04-01,1.3,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.3
2010-05-01,1.22,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.22
2010-06-01,1.19,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.19
2010-07-01,1.16,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.16
2010-08-01,1.15,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.15
2010-09-01,1.07,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.07
2010-10-01,0.98,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.98
2010-11-01,0.97,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.97
2010-12-01,0.94,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.94
2011-01-01,0.95,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.95
2011-02-01,0.89,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.89
2011-03-01,0.98,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.98
2011-04-01,1.02,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.02
2011-05-01,1.01,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.01
2011-06-01,0.95,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.95
2011-07-01,0.96,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,0.96
2011-08-01,1.14,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.14
2011-09-01,1.16,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.16
2011-10-01,1.09,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.09
2011-11-01,1.22,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.22
2011-12-01,1.39,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.39
2012-01-01,1.44,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.44
2012-02-01,1.46,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.46
2012-03-01,1.34,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.34
2012-04-01,1.29,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.29
2012-05-01,1.26,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.26
2012-06-01,1.25,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.25
2012-07-01,1.34,"Beans (black, Zacatecas)",Mexico,Mexico City,WHOLESALE,Kg,kg,1.34
