date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2025-01-01,0.82,Eggplants,Côte d'Ivoire,Abidjan,RETAIL,Liter,liter,0.82
2025-02-01,0.83,Eggplants,Côte d'Ivoire,Abidjan,RETAIL,Liter,liter,0.83
2025-03-01,0.63,Eggplants,Côte d'Ivoire,Abidjan,RETAIL,Liter,liter,0.63
2025-04-01,0.85,Eggplants,Côte d'Ivoire,Abidjan,RETAIL,Liter,liter,0.85
2025-05-01,0.66,Eggplants,Côte d'Ivoire,Abidjan,RETAIL,Liter,liter,0.66
2025-06-01,0.82,Eggplants,Côte d'Ivoire,Abidjan,RETAIL,Liter,liter,0.82
2025-07-01,1.13,Eggplants,Côte d'Ivoire,Abidjan,RETAIL,Liter,liter,1.13
2025-08-01,1.34,Eggplants,Côte d'Ivoire,Abidjan,RETAIL,Liter,liter,1.34
2025-09-01,1.17,Eggplants,Côte d'Ivoire,Abidjan,RETAIL,Liter,liter,1.17
2025-01-01,0.82,Eggplants,Côte d'Ivoire,Centre,RETAIL,Liter,liter,0.82
2025-02-01,0.9,Eggplants,Côte d'Ivoire,Centre,RETAIL,Liter,liter,0.9
2025-03-01,0.96,Eggplants,Côte d'Ivoire,Centre,RETAIL,Liter,liter,0.96
2025-04-01,0.81,Eggplants,Côte d'Ivoire,Centre,RETAIL,Liter,liter,0.81
2025-05-01,1.0,Eggplants,Côte d'Ivoire,Centre,RETAIL,Liter,liter,1.0
2025-06-01,1.17,Eggplants,Côte d'Ivoire,Centre,RETAIL,Liter,liter,1.17
2025-07-01,1.25,Eggplants,Côte d'Ivoire,Centre,RETAIL,Liter,liter,1.25
2025-08-01,1.3,Eggplants,Côte d'Ivoire,Centre,RETAIL,Liter,liter,1.3
2025-09-01,1.4,Eggplants,Côte d'Ivoire,Centre,RETAIL,Liter,liter,1.4
2025-01-01,0.82,Eggplants,Côte d'Ivoire,Est,RETAIL,Liter,liter,0.82
2025-02-01,0.67,Eggplants,Côte d'Ivoire,Est,RETAIL,Liter,liter,0.67
2025-03-01,0.73,Eggplants,Côte d'Ivoire,Est,RETAIL,Liter,liter,0.73
2025-04-01,0.78,Eggplants,Côte d'Ivoire,Est,RETAIL,Liter,liter,0.78
2025-05-01,0.77,Eggplants,Côte d'Ivoire,Est,RETAIL,Liter,liter,0.77
2025-06-01,0.68,Eggplants,Côte d'Ivoire,Est,RETAIL,Liter,liter,0.68
2025-07-01,0.77,Eggplants,Côte d'Ivoire,Est,RETAIL,Liter,liter,0.77
2025-08-01,0.95,Eggplants,Côte d'Ivoire,Est,RETAIL,Liter,liter,0.95
2025-09-01,1.03,Eggplants,Côte d'Ivoire,Est,RETAIL,Liter,liter,1.03
2025-01-01,0.82,Eggplants,Côte d'Ivoire,Lagunes,RETAIL,Liter,liter,0.82
2025-02-01,1.17,Eggplants,Côte d'Ivoire,Lagunes,RETAIL,Liter,liter,1.17
2025-03-01,1.1,Eggplants,Côte d'Ivoire,Lagunes,RETAIL,Liter,liter,1.1
2025-04-01,0.77,Eggplants,Côte d'Ivoire,Lagunes,RETAIL,Liter,liter,0.77
2025-05-01,1.14,Eggplants,Côte d'Ivoire,Lagunes,RETAIL,Liter,liter,1.14
2025-06-01,0.85,Eggplants,Côte d'Ivoire,Lagunes,RETAIL,Liter,liter,0.85
2025-07-01,0.86,Eggplants,Côte d'Ivoire,Lagunes,RETAIL,Liter,liter,0.86
2025-08-01,1.34,Eggplants,Côte d'Ivoire,Lagunes,RETAIL,Liter,liter,1.34
2025-09-01,1.13,Eggplants,Côte d'Ivoire,Lagunes,RETAIL,Liter,liter,1.13
2025-01-01,0.82,Eggplants,Côte d'Ivoire,Nord,RETAIL,Liter,liter,0.82
2025-02-01,0.71,Eggplants,Côte d'Ivoire,Nord,RETAIL,Liter,liter,0.71
2025-03-01,0.45,Eggplants,Côte d'Ivoire,Nord,RETAIL,Liter,liter,0.45
2025-04-01,0.79,Eggplants,Côte d'Ivoire,Nord,RETAIL,Liter,liter,0.79
2025-05-01,0.47,Eggplants,Côte d'Ivoire,Nord,RETAIL,Liter,liter,0.47
2025-06-01,0.78,Eggplants,Côte d'Ivoire,Nord,RETAIL,Liter,liter,0.78
2025-07-01,0.82,Eggplants,Côte d'Ivoire,Nord,RETAIL,Liter,liter,0.82
2025-08-01,0.69,Eggplants,Côte d'Ivoire,Nord,RETAIL,Liter,liter,0.69
2025-09-01,0.55,Eggplants,Côte d'Ivoire,Nord,RETAIL,Liter,liter,0.55
2025-01-01,0.82,Eggplants,Côte d'Ivoire,Ouest,RETAIL,Liter,liter,0.82
2025-02-01,0.88,Eggplants,Côte d'Ivoire,Ouest,RETAIL,Liter,liter,0.88
2025-03-01,0.79,Eggplants,Côte d'Ivoire,Ouest,RETAIL,Liter,liter,0.79
2025-04-01,0.99,Eggplants,Côte d'Ivoire,Ouest,RETAIL,Liter,liter,0.99
2025-05-01,0.83,Eggplants,Côte d'Ivoire,Ouest,RETAIL,Liter,liter,0.83
2025-06-01,0.71,Eggplants,Côte d'Ivoire,Ouest,RETAIL,Liter,liter,0.71
2025-07-01,0.74,Eggplants,Côte d'Ivoire,Ouest,RETAIL,Liter,liter,0.74
2025-08-01,0.9,Eggplants,Côte d'Ivoire,Ouest,RETAIL,Liter,liter,0.9
2025-09-01,0.85,Eggplants,Côte d'Ivoire,Ouest,RETAIL,Liter,liter,0.85
2025-01-01,0.82,Eggplants,Côte d'Ivoire,Sud-Ouest,RETAIL,Liter,liter,0.82
2025-02-01,1.02,Eggplants,Côte d'Ivoire,Sud-Ouest,RETAIL,Liter,liter,1.02
2025-03-01,1.05,Eggplants,Côte d'Ivoire,Sud-Ouest,RETAIL,Liter,liter,1.05
2025-04-01,1.02,Eggplants,Côte d'Ivoire,Sud-Ouest,RETAIL,Liter,liter,1.02
2025-05-01,1.1,Eggplants,Côte d'Ivoire,Sud-Ouest,RETAIL,Liter,liter,1.1
2025-06-01,1.11,Eggplants,Côte d'Ivoire,Sud-Ouest,RETAIL,Liter,liter,1.11
2025-07-01,1.22,Eggplants,Côte d'Ivoire,Sud-Ouest,RETAIL,Liter,liter,1.22
2025-08-01,1.29,Eggplants,Côte d'Ivoire,Sud-Ouest,RETAIL,Liter,liter,1.29
2025-09-01,1.31,Eggplants,Côte d'Ivoire,Sud-Ouest,RETAIL,Liter,liter,1.31
2020-02-01,0.79,Eggplants,Guinea,National Average,RETAIL,Kg,kg,0.79
2020-03-01,0.95,Eggplants,Guinea,National Average,RETAIL,Kg,kg,0.95
2020-04-01,0.93,Eggplants,Guinea,National Average,RETAIL,Kg,kg,0.93
2020-05-01,0.93,Eggplants,Guinea,National Average,RETAIL,Kg,kg,0.93
2020-06-01,0.96,Eggplants,Guinea,National Average,RETAIL,Kg,kg,0.96
2020-07-01,1.01,Eggplants,Guinea,National Average,RETAIL,Kg,kg,1.01
2020-08-01,0.89,Eggplants,Guinea,National Average,RETAIL,Kg,kg,0.89
2020-09-01,0.9,Eggplants,Guinea,National Average,RETAIL,Kg,kg,0.9
2020-10-01,0.9,Eggplants,Guinea,National Average,RETAIL,Kg,kg,0.9
2020-11-01,0.89,Eggplants,Guinea,National Average,RETAIL,Kg,kg,0.89
2020-12-01,0.97,Eggplants,Guinea,National Average,RETAIL,Kg,kg,0.97
2021-01-01,0.94,Eggplants,Guinea,National Average,RETAIL,Kg,kg,0.94
2021-02-01,0.9,Eggplants,Guinea,National Average,RETAIL,Kg,kg,0.9
2021-03-01,0.96,Eggplants,Guinea,National Average,RETAIL,Kg,kg,0.96
2021-04-01,1.12,Eggplants,Guinea,National Average,RETAIL,Kg,kg,1.12
2021-05-01,0.92,Eggplants,Guinea,National Average,RETAIL,Kg,kg,0.92
2021-06-01,1.07,Eggplants,Guinea,National Average,RETAIL,Kg,kg,1.07
2021-07-01,1.03,Eggplants,Guinea,National Average,RETAIL,Kg,kg,1.03
2021-08-01,0.96,Eggplants,Guinea,National Average,RETAIL,Kg,kg,0.96
2021-09-01,0.95,Eggplants,Guinea,National Average,RETAIL,Kg,kg,0.95
2021-10-01,0.92,Eggplants,Guinea,National Average,RETAIL,Kg,kg,0.92
2021-11-01,0.88,Eggplants,Guinea,National Average,RETAIL,Kg,kg,0.88
2021-12-01,1.02,Eggplants,Guinea,National Average,RETAIL,Kg,kg,1.02
2022-01-01,1.31,Eggplants,Guinea,National Average,RETAIL,Kg,kg,1.31
2022-02-01,1.37,Eggplants,Guinea,National Average,RETAIL,Kg,kg,1.37
2022-03-01,1.4,Eggplants,Guinea,National Average,RETAIL,Kg,kg,1.4
2022-04-01,1.47,Eggplants,Guinea,National Average,RETAIL,Kg,kg,1.47
2022-05-01,1.46,Eggplants,Guinea,National Average,RETAIL,Kg,kg,1.46
2022-06-01,1.44,Eggplants,Guinea,National Average,RETAIL,Kg,kg,1.44
2022-07-01,1.37,Eggplants,Guinea,National Average,RETAIL,Kg,kg,1.37
2022-08-01,1.5,Eggplants,Guinea,National Average,RETAIL,Kg,kg,1.5
2022-09-01,1.48,Eggplants,Guinea,National Average,RETAIL,Kg,kg,1.48
2022-10-01,1.31,Eggplants,Guinea,National Average,RETAIL,Kg,kg,1.31
2022-11-01,1.7,Eggplants,Guinea,National Average,RETAIL,Kg,kg,1.7
2022-12-01,1.48,Eggplants,Guinea,National Average,RETAIL,Kg,kg,1.48
2023-01-01,1.51,Eggplants,Guinea,National Average,RETAIL,Kg,kg,1.51
2023-02-01,1.46,Eggplants,Guinea,National Average,RETAIL,Kg,kg,1.46
2023-03-01,1.44,Eggplants,Guinea,National Average,RETAIL,Kg,kg,1.44
2023-04-01,1.41,Eggplants,Guinea,National Average,RETAIL,Kg,kg,1.41
2023-05-01,1.36,Eggplants,Guinea,National Average,RETAIL,Kg,kg,1.36
2023-06-01,1.44,Eggplants,Guinea,National Average,RETAIL,Kg,kg,1.44
2023-07-01,1.4,Eggplants,Guinea,National Average,RETAIL,Kg,kg,1.4
2023-08-01,1.36,Eggplants,Guinea,National Average,RETAIL,Kg,kg,1.36
