date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2022-06-01,1.92,Groundnut Oil,Chad,Abeche,RETAIL,Kg,kg,1.92
2022-07-01,2.48,Groundnut Oil,Chad,Abeche,RETAIL,Kg,kg,2.48
2022-08-01,2.29,Groundnut Oil,Chad,Abeche,RETAIL,Kg,kg,2.29
2022-09-01,1.77,Groundnut Oil,Chad,Abeche,RETAIL,Kg,kg,1.77
2022-10-01,1.75,Groundnut Oil,Chad,Abeche,RETAIL,Kg,kg,1.75
2022-11-01,2.05,Groundnut Oil,Chad,Abeche,RETAIL,Kg,kg,2.05
2022-12-01,2.13,Groundnut Oil,Chad,Abeche,RETAIL,Kg,kg,2.13
2023-01-01,2.46,Groundnut Oil,Chad,Abeche,RETAIL,Kg,kg,2.46
2023-02-01,2.47,Groundnut Oil,Chad,Abeche,RETAIL,Kg,kg,2.47
2023-03-01,2.47,Groundnut Oil,Chad,Abeche,RETAIL,Kg,kg,2.47
2023-04-01,2.53,Groundnut Oil,Chad,Abeche,RETAIL,Kg,kg,2.53
2023-05-01,2.51,Groundnut Oil,Chad,Abeche,RETAIL,Kg,kg,2.51
2023-06-01,2.5,Groundnut Oil,Chad,Abeche,RETAIL,Kg,kg,2.5
2023-07-01,2.6,Groundnut Oil,Chad,Abeche,RETAIL,Kg,kg,2.6
2023-08-01,2.56,Groundnut Oil,Chad,Abeche,RETAIL,Kg,kg,2.56
2023-09-01,2.51,Groundnut Oil,Chad,Abeche,RETAIL,Kg,kg,2.51
2023-10-01,2.01,Groundnut Oil,Chad,Abeche,RETAIL,Kg,kg,2.01
2023-11-01,2.06,Groundnut Oil,Chad,Abeche,RETAIL,Kg,kg,2.06
2023-12-01,2.08,Groundnut Oil,Chad,Abeche,RETAIL,Kg,kg,2.08
2024-01-01,2.08,Groundnut Oil,Chad,Abeche,RETAIL,Kg,kg,2.08
2024-02-01,2.06,Groundnut Oil,Chad,Abeche,RETAIL,Kg,kg,2.06
2024-03-01,2.16,Groundnut Oil,Chad,Abeche,RETAIL,Kg,kg,2.16
2024-04-01,2.04,Groundnut Oil,Chad,Abeche,RETAIL,Kg,kg,2.04
2024-05-01,1.98,Groundnut Oil,Chad,Abeche,RETAIL,Kg,kg,1.98
2024-06-01,1.8,Groundnut Oil,Chad,Abeche,RETAIL,Kg,kg,1.8
2024-07-01,2.07,Groundnut Oil,Chad,Abeche,RETAIL,Kg,kg,2.07
2024-08-01,2.01,Groundnut Oil,Chad,Abeche,RETAIL,Kg,kg,2.01
2024-09-01,1.88,Groundnut Oil,Chad,Abeche,RETAIL,Kg,kg,1.88
2024-10-01,1.85,Groundnut Oil,Chad,Abeche,RETAIL,Kg,kg,1.85
2024-11-01,1.95,Groundnut Oil,Chad,Abeche,RETAIL,Kg,kg,1.95
