date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
1994-01-01,5.96,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,5.96
1994-02-01,5.96,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,5.96
1994-03-01,5.96,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,5.96
1994-04-01,6.38,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,6.38
1994-05-01,6.05,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,6.05
1994-06-01,5.84,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,5.84
1994-07-01,5.59,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,5.59
1994-08-01,5.53,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,5.53
1994-09-01,5.99,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,5.99
1994-10-01,6.25,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,6.25
1994-11-01,6.33,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,6.33
1994-12-01,5.85,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,5.85
1995-01-01,6.59,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,6.59
1995-02-01,6.8,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,6.8
1995-03-01,6.89,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,6.89
1995-04-01,6.7,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,6.7
1995-05-01,6.33,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,6.33
1995-06-01,5.63,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,5.63
1995-07-01,5.85,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,5.85
1995-08-01,6.24,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,6.24
1995-09-01,6.54,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,6.54
1995-10-01,6.57,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,6.57
1995-11-01,6.58,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,6.58
1995-12-01,6.6,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,6.6
1996-01-01,6.66,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,6.66
1996-02-01,6.81,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,6.81
1996-03-01,6.94,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,6.94
1996-04-01,6.72,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,6.72
1996-05-01,6.7,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,6.7
1996-06-01,6.53,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,6.53
1996-07-01,6.73,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,6.73
1996-08-01,6.76,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,6.76
1996-09-01,6.78,Lamb meat,Tunisia,Tunis,RETAIL,Kg,kg,6.78
