date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2000-01-01,0.21,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.21
2000-02-01,0.25,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.25
2000-03-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2000-04-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2000-05-01,0.26,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.26
2000-06-01,0.26,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.26
2000-07-01,0.26,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.26
2000-08-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2000-09-01,0.26,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.26
2000-10-01,0.26,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.26
2000-11-01,0.22,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.22
2000-12-01,0.2,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.2
2001-01-01,0.21,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.21
2001-02-01,0.21,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.21
2001-03-01,0.21,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.21
2001-04-01,0.21,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.21
2001-05-01,0.25,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.25
2001-06-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2001-07-01,0.24,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.24
2001-08-01,0.24,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.24
2001-09-01,0.29,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.29
2001-10-01,0.21,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.21
2001-11-01,0.23,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.23
2001-12-01,0.23,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.23
2002-01-01,0.22,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.22
2002-02-01,0.22,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.22
2002-03-01,0.28,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.28
2002-04-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2002-05-01,0.26,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.26
2002-06-01,0.26,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.26
2002-07-01,0.26,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.26
2002-08-01,0.25,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.25
2002-09-01,0.2,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.2
2002-10-01,0.21,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.21
2002-11-01,0.25,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.25
2002-12-01,0.25,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.25
2003-01-01,0.26,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.26
2003-02-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2003-03-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2003-04-01,0.28,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.28
2003-05-01,0.29,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.29
2003-06-01,0.29,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.29
2003-07-01,0.29,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.29
2003-08-01,0.28,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.28
2003-09-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2003-10-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2003-11-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2003-12-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2004-01-01,0.28,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.28
2004-02-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2004-03-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2004-04-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2004-05-01,0.26,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.26
2004-06-01,0.26,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.26
2004-07-01,0.26,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.26
2004-08-01,0.26,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.26
2004-09-01,0.26,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.26
2004-10-01,0.26,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.26
2004-11-01,0.26,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.26
2004-12-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2005-01-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2005-02-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2005-03-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2005-04-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2005-05-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2005-06-01,0.28,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.28
2005-07-01,0.28,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.28
2005-08-01,0.28,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.28
2005-09-01,0.28,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.28
2005-10-01,0.28,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.28
2005-11-01,0.28,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.28
2005-12-01,0.28,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.28
2006-01-01,0.28,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.28
2006-02-01,0.29,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.29
2006-03-01,0.28,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.28
2006-04-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2006-05-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2006-06-01,0.26,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.26
2006-07-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2006-08-01,0.28,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.28
2006-09-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2006-10-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2006-11-01,0.28,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.28
2006-12-01,0.3,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.3
2007-01-01,0.37,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.37
2007-02-01,0.41,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.41
2007-03-01,0.4,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.4
2007-04-01,0.41,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.41
2007-05-01,0.42,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.42
2007-06-01,0.38,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.38
2007-07-01,0.32,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.32
2007-08-01,0.31,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.31
2007-09-01,0.33,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.33
2007-10-01,0.32,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.32
2007-11-01,0.32,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.32
2007-12-01,0.3,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.3
2008-01-01,0.32,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.32
2008-02-01,0.28,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.28
2008-03-01,0.29,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.29
2008-04-01,0.32,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.32
2008-05-01,0.32,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.32
2008-06-01,0.31,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.31
2008-07-01,0.34,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.34
2008-08-01,0.4,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.4
2008-09-01,0.33,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.33
2008-10-01,0.34,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.34
2008-11-01,0.28,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.28
2008-12-01,0.25,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.25
2009-01-01,0.26,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.26
2009-02-01,0.25,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.25
2009-03-01,0.24,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.24
2009-04-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2009-05-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2009-06-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2009-07-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2009-08-01,0.29,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.29
2009-09-01,0.23,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.23
2009-10-01,0.24,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.24
2009-11-01,0.24,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.24
2009-12-01,0.25,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.25
2010-01-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2010-02-01,0.26,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.26
2010-03-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2010-04-01,0.29,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.29
2010-05-01,0.28,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.28
2010-06-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2010-07-01,0.24,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.24
2010-08-01,0.29,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.29
2010-09-01,0.28,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.28
2010-10-01,0.28,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.28
2010-11-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2010-12-01,0.27,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.27
2011-01-01,0.29,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.29
2011-02-01,0.37,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.37
2011-03-01,0.49,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.49
2011-04-01,0.6,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.6
2011-05-01,0.6,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.6
2011-06-01,0.59,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.59
2011-07-01,0.6,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.6
2011-08-01,0.58,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.58
2011-09-01,0.54,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.54
2011-10-01,0.52,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.52
2011-11-01,0.51,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.51
2011-12-01,0.51,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.51
2012-01-01,0.52,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.52
2012-02-01,0.53,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.53
2012-03-01,0.44,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.44
2012-04-01,0.39,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.39
2012-05-01,0.39,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.39
2012-06-01,0.36,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.36
2012-07-01,0.29,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.29
2012-08-01,0.23,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.23
2012-09-01,0.29,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.29
2012-10-01,0.37,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.37
2012-11-01,0.37,"Maize (white, Sinaloa)",Mexico,Culiacán,WHOLESALE,Kg,kg,0.37
