date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2007-01-01,2.87,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.5740000000000001
2007-02-01,3.03,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.606
2007-03-01,3.06,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.612
2007-04-01,3.3,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.6599999999999999
2007-05-01,3.4,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.6799999999999999
2007-06-01,3.69,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.738
2007-07-01,3.76,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.752
2007-08-01,3.68,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.736
2007-09-01,3.79,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.758
2007-10-01,3.97,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.794
2007-11-01,4.09,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.818
2007-12-01,3.98,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.796
2008-01-01,4.01,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.8019999999999999
2008-02-01,3.81,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.762
2008-03-01,3.75,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.75
2008-04-01,3.81,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.762
2008-05-01,3.83,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.766
2008-06-01,3.77,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.754
2008-07-01,3.88,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.776
2008-08-01,3.79,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.758
2008-09-01,3.68,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.736
2008-10-01,3.24,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.648
2008-11-01,3.15,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.63
2008-12-01,3.22,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.644
2009-01-01,3.18,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.636
2009-02-01,3.16,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.632
2009-03-01,3.19,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.638
2009-04-01,3.34,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.6679999999999999
2009-05-01,3.52,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.704
2009-06-01,3.65,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.73
2009-07-01,3.7,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.74
2009-08-01,3.66,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.732
2009-09-01,3.77,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.754
2009-10-01,3.73,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.746
2009-11-01,3.73,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.746
2009-12-01,3.72,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.744
2010-01-01,3.71,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.742
2010-02-01,3.6,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.72
2010-03-01,3.5,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.7
2010-04-01,3.62,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.724
2010-05-01,3.49,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.6980000000000001
2010-06-01,3.42,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.6839999999999999
2010-07-01,3.42,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.6839999999999999
2010-08-01,3.46,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.692
2010-09-01,3.45,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.6900000000000001
2010-10-01,3.55,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.71
2010-11-01,3.51,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.702
2010-12-01,3.55,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.71
2011-01-01,3.56,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.712
2011-02-01,3.54,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.708
2011-03-01,3.65,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.73
2011-04-01,3.75,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.75
2011-05-01,3.74,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.748
2011-06-01,3.84,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.768
2011-07-01,3.78,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.756
2011-08-01,3.74,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.748
2011-09-01,3.62,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.724
2011-10-01,3.51,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.702
2011-11-01,3.5,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.7
2011-12-01,3.49,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.6980000000000001
2012-01-01,3.49,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.6980000000000001
2012-02-01,3.65,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.73
2012-03-01,3.72,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.744
2012-04-01,3.83,Maize meal,Botswana,National Average,RETAIL,5 kg,kg,0.766
