date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2022-01-01,0.67,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.67
2022-02-01,0.68,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.68
2022-03-01,0.71,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.71
2022-04-01,0.73,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.73
2022-05-01,0.71,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.71
2022-06-01,0.7,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.7
2022-07-01,0.7,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.7
2022-08-01,0.7,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.7
2022-09-01,0.7,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.7
2022-10-01,0.71,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.71
2022-11-01,0.72,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.72
2022-12-01,0.73,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.73
2023-01-01,0.75,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.75
2023-02-01,0.76,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.76
2023-03-01,0.77,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.77
2023-04-01,0.79,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.79
2023-05-01,0.81,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.81
2023-06-01,0.8,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.8
2023-07-01,0.8,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.8
2023-08-01,0.81,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.81
2023-09-01,0.8,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.8
2023-10-01,0.79,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.79
2023-11-01,0.8,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.8
2023-12-01,0.81,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.81
2024-01-01,0.81,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.81
2024-02-01,0.8,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.8
2024-03-01,0.81,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.81
2024-04-01,0.81,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.81
2024-05-01,0.81,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.81
2024-06-01,0.81,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.81
2024-07-01,0.81,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.81
2024-08-01,0.83,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.83
2024-09-01,0.85,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.85
2024-10-01,0.86,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.86
2024-11-01,0.85,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.85
2024-12-01,0.84,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.84
2025-01-01,0.84,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.84
2025-02-01,0.85,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.85
2025-03-01,0.87,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.87
2025-04-01,0.92,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.92
2025-05-01,0.93,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.93
2025-06-01,0.93,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.93
2025-07-01,0.94,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.94
2025-08-01,0.93,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.93
2025-09-01,0.94,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.94
2025-10-01,0.94,"Milk (pasteurised, 1.5% fat)",Republic of Moldova,National Average,RETAIL,Liter,liter,0.94
