date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2012-01-01,0.54,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.08
2012-02-01,0.53,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.06
2012-03-01,0.51,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.02
2012-04-01,0.54,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.08
2012-05-01,0.55,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.1
2012-06-01,0.52,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.04
2012-07-01,0.53,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.06
2012-08-01,0.53,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.06
2012-09-01,0.56,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.12
2012-10-01,0.54,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.08
2012-11-01,0.53,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.06
2012-12-01,0.53,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.06
2013-01-01,0.56,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.12
2013-02-01,0.56,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.12
2013-03-01,0.56,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.12
2013-04-01,0.55,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.1
2013-05-01,0.57,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.14
2013-06-01,0.56,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.12
2013-07-01,0.59,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.18
2013-08-01,0.57,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.14
2013-09-01,0.56,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.12
2013-10-01,0.56,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.12
2013-11-01,0.55,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.1
2013-12-01,0.57,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.14
2014-01-01,0.58,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.16
2014-02-01,0.58,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.16
2014-03-01,0.57,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.14
2014-04-01,0.56,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.12
2014-05-01,0.54,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.08
2014-06-01,0.55,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.1
2014-07-01,0.56,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.12
2014-08-01,0.55,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.1
2014-09-01,0.55,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.1
2014-10-01,0.54,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.08
2014-11-01,0.55,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.1
2014-12-01,0.55,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.1
2015-01-01,0.54,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.08
2015-02-01,0.51,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.02
2015-03-01,0.51,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.02
2015-04-01,0.55,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.1
2015-05-01,0.57,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.14
2015-06-01,0.58,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.16
2015-07-01,0.57,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.14
2015-08-01,0.58,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.16
2015-09-01,0.59,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.18
2015-10-01,0.59,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.18
2015-11-01,0.57,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.14
2015-12-01,0.59,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.18
2016-01-01,0.6,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.2
2016-02-01,0.6,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.2
2016-03-01,0.61,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.22
2016-04-01,0.57,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.14
2016-05-01,0.6,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.2
2016-06-01,0.61,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.22
2016-07-01,0.59,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.18
2016-08-01,0.61,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.22
2016-09-01,0.61,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.22
2016-10-01,0.59,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.18
2016-11-01,0.59,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.18
2016-12-01,0.55,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.1
2017-01-01,0.56,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.12
2017-02-01,0.57,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.14
2017-03-01,0.57,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.14
2017-04-01,0.58,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.16
2017-05-01,0.6,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.2
2017-06-01,0.61,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.22
2017-07-01,0.6,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.2
2017-08-01,0.58,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.16
2017-09-01,0.59,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.18
2017-10-01,0.54,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.08
2017-11-01,0.56,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.12
2017-12-01,0.56,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.12
2018-01-01,0.59,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.18
2018-02-01,0.64,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.28
2018-03-01,0.61,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.22
2018-04-01,0.56,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.12
2018-05-01,0.57,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.14
2018-06-01,0.48,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,0.96
2018-07-01,0.5,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.0
2018-08-01,0.47,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,0.94
2018-09-01,0.48,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,0.96
2018-10-01,0.48,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,0.96
2018-11-01,0.49,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,0.98
2018-12-01,0.5,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.0
2019-01-01,0.49,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,0.98
2019-02-01,0.46,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,0.92
2019-03-01,0.46,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,0.92
2019-04-01,0.46,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,0.92
2019-05-01,0.49,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,0.98
2019-06-01,0.48,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,0.96
2019-07-01,0.48,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,0.96
2019-08-01,0.47,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,0.94
2019-09-01,0.48,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,0.96
2019-10-01,0.43,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,0.86
2019-11-01,0.43,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,0.86
2019-12-01,0.4,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,0.8
2020-01-01,0.41,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,0.82
2020-02-01,0.4,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,0.8
2020-03-01,0.41,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,0.82
2020-04-01,0.55,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.1
2020-05-01,0.52,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,1.04
2020-06-01,0.48,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,0.96
2020-07-01,0.49,Peas (split),Mauritius,National Average,RETAIL,500 gms,kg,0.98
