date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2011-01-01,0.16,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.16
2011-02-01,0.28,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.28
2011-03-01,,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,
2011-04-01,0.36,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.36
2011-05-01,0.4,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.4
2011-06-01,0.4,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.4
2011-07-01,0.4,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.4
2011-08-01,0.4,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.4
2011-09-01,0.4,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.4
2011-10-01,0.39,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.39
2011-11-01,0.38,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.38
2011-12-01,0.37,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.37
2012-01-01,0.56,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.56
2012-02-01,0.54,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.54
2012-03-01,,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,
2012-04-01,0.72,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.72
2012-05-01,0.47,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.47
2012-06-01,0.7,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.7
2012-07-01,0.69,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.69
2012-08-01,0.68,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.68
2012-09-01,0.65,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.65
2012-10-01,0.67,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.67
2012-11-01,0.67,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.67
2012-12-01,0.65,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.65
2013-01-01,0.36,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.36
2013-02-01,0.22,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.22
2013-03-01,0.29,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.29
2013-04-01,0.25,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.25
2013-05-01,0.36,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.36
2013-06-01,0.33,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.33
2013-07-01,0.29,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.29
2013-08-01,0.28,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.28
2013-09-01,0.26,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.26
2013-10-01,0.28,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.28
2013-11-01,0.32,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.32
2013-12-01,,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,
2014-01-01,,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,
2014-02-01,,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,
2014-03-01,,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,
2014-04-01,,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,
2014-05-01,,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,
2014-06-01,,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,
2014-07-01,,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,
2014-08-01,0.27,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.27
2014-09-01,0.37,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.37
2014-10-01,0.32,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.32
2014-11-01,0.29,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.29
2014-12-01,0.32,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.32
2015-01-01,0.29,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.29
2015-02-01,0.29,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.29
2015-03-01,0.32,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.32
2015-04-01,0.39,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.39
2015-05-01,0.39,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.39
2015-06-01,0.38,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.38
2015-07-01,0.32,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.32
2015-08-01,0.32,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.32
2015-09-01,0.32,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.32
2015-10-01,0.32,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.32
2015-11-01,0.31,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.31
2015-12-01,0.31,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.31
2016-01-01,0.31,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.31
2016-02-01,0.31,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.31
2016-03-01,0.31,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.31
2016-04-01,0.3,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.3
2016-05-01,0.3,Potatoes (sweet),Burundi,Bujumbura Mairie,RETAIL,Kg,kg,0.3
