date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2005-01-01,170.86,Wheat (milling soft),Italy,National Average,WHOLESALE,tonne,kg,0.17086
2005-02-01,164.09,Wheat (milling soft),Italy,National Average,WHOLESALE,tonne,kg,0.16409
2005-03-01,165.39,Wheat (milling soft),Italy,National Average,WHOLESALE,tonne,kg,0.16538999999999998
2005-04-01,161.72,Wheat (milling soft),Italy,National Average,WHOLESALE,tonne,kg,0.16172
2005-05-01,156.61,Wheat (milling soft),Italy,National Average,WHOLESALE,tonne,kg,0.15661000000000003
2005-06-01,151.08,Wheat (milling soft),Italy,National Average,WHOLESALE,tonne,kg,0.15108000000000002
2005-07-01,146.6,Wheat (milling soft),Italy,National Average,WHOLESALE,tonne,kg,0.1466
2005-08-01,150.58,Wheat (milling soft),Italy,National Average,WHOLESALE,tonne,kg,0.15058000000000002
2005-09-01,151.83,Wheat (milling soft),Italy,National Average,WHOLESALE,tonne,kg,0.15183000000000002
2005-10-01,149.82,Wheat (milling soft),Italy,National Average,WHOLESALE,tonne,kg,0.14981999999999998
2005-11-01,148.25,Wheat (milling soft),Italy,National Average,WHOLESALE,tonne,kg,0.14825
2005-12-01,152.11,Wheat (milling soft),Italy,National Average,WHOLESALE,tonne,kg,0.15211000000000002
2006-01-01,158.05,Wheat (milling soft),Italy,National Average,WHOLESALE,tonne,kg,0.15805000000000002
2006-02-01,154.48,Wheat (milling soft),Italy,National Average,WHOLESALE,tonne,kg,0.15447999999999998
2006-03-01,155.77,Wheat (milling soft),Italy,National Average,WHOLESALE,tonne,kg,0.15577000000000002
2006-04-01,163.06,Wheat (milling soft),Italy,National Average,WHOLESALE,tonne,kg,0.16306
2006-05-01,176.47,Wheat (milling soft),Italy,National Average,WHOLESALE,tonne,kg,0.17647
2006-06-01,171.39,Wheat (milling soft),Italy,National Average,WHOLESALE,tonne,kg,0.17139
2006-07-01,162.85,Wheat (milling soft),Italy,National Average,WHOLESALE,tonne,kg,0.16285
2006-08-01,177.82,Wheat (milling soft),Italy,National Average,WHOLESALE,tonne,kg,0.17782
2006-09-01,191.67,Wheat (milling soft),Italy,National Average,WHOLESALE,tonne,kg,0.19166999999999998
2006-10-01,214.13,Wheat (milling soft),Italy,National Average,WHOLESALE,tonne,kg,0.21413
2006-11-01,226.68,Wheat (milling soft),Italy,National Average,WHOLESALE,tonne,kg,0.22668000000000002
2006-12-01,231.22,Wheat (milling soft),Italy,National Average,WHOLESALE,tonne,kg,0.23122
2007-01-01,228.63,Wheat (milling soft),Italy,National Average,WHOLESALE,tonne,kg,0.22863
2007-02-01,228.53,Wheat (milling soft),Italy,National Average,WHOLESALE,tonne,kg,0.22853
2007-03-01,230.0,Wheat (milling soft),Italy,National Average,WHOLESALE,tonne,kg,0.23
2007-04-01,232.46,Wheat (milling soft),Italy,National Average,WHOLESALE,tonne,kg,0.23246
2007-05-01,239.01,Wheat (milling soft),Italy,National Average,WHOLESALE,tonne,kg,0.23901
