date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
1996-01-01,959.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.959
1996-02-01,925.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.925
1996-03-01,911.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.911
1996-04-01,895.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.895
1996-05-01,897.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.897
1996-06-01,904.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.904
1996-07-01,902.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.902
1996-08-01,885.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.885
1996-09-01,879.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.879
1996-10-01,874.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.874
1996-11-01,868.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.868
1996-12-01,868.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.868
1997-01-01,874.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.874
1997-02-01,886.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.886
1997-03-01,896.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.896
1997-04-01,938.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.938
1997-05-01,981.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.981
1997-06-01,1047.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.047
1997-07-01,1096.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.096
1997-08-01,1093.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.093
1997-09-01,1083.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.083
1997-10-01,1083.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.083
1997-11-01,1090.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.09
1997-12-01,1058.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.058
1998-01-01,1055.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.055
1998-02-01,1029.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.029
1998-03-01,949.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.949
1998-04-01,928.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.928
1998-05-01,900.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.9
1998-06-01,891.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.891
1998-07-01,874.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.874
1998-08-01,862.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.862
1998-09-01,852.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.852
1998-10-01,850.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.85
1998-11-01,862.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.862
1998-12-01,861.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.861
1999-01-01,835.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.835
1999-02-01,813.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.813
1999-03-01,776.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.776
1999-04-01,763.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.763
1999-05-01,751.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.751
1999-06-01,753.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.753
1999-07-01,766.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.766
1999-08-01,782.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.782
1999-09-01,797.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.797
1999-10-01,804.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.804
1999-11-01,807.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.807
1999-12-01,805.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.805
2000-01-01,789.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.789
2000-02-01,774.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.774
2000-03-01,756.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.756
2000-04-01,742.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.742
2000-05-01,727.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.727
2000-06-01,717.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.717
2000-07-01,681.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.681
2000-08-01,667.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.667
2000-09-01,656.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.656
2000-10-01,674.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.674
2000-11-01,684.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.684
2000-12-01,697.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.697
2001-01-01,688.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.688
2001-02-01,690.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.69
2001-03-01,693.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.693
2001-04-01,699.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.699
2001-05-01,695.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.695
2001-06-01,699.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.699
2001-07-01,668.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.668
2001-08-01,664.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.664
2001-09-01,665.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.665
2001-10-01,666.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.666
2001-11-01,668.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.668
2001-12-01,668.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.668
2002-01-01,665.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.665
2002-02-01,665.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.665
2002-03-01,671.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.671
2002-04-01,656.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.656
2002-05-01,647.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.647
2002-06-01,641.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.641
2002-07-01,635.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.635
2002-08-01,635.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.635
2002-09-01,696.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.696
2002-10-01,718.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.718
2002-11-01,771.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.771
2002-12-01,845.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.845
2003-01-01,889.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.889
2003-02-01,986.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.986
2003-03-01,1195.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.195
2003-04-01,1284.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.284
2003-05-01,1287.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.287
2003-06-01,1352.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.352
2003-07-01,1397.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.397
2003-08-01,1468.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.468
2003-09-01,1470.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.47
2003-10-01,1293.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.293
2003-11-01,1149.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.149
2003-12-01,1148.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.148
2004-01-01,1162.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.162
2004-02-01,1194.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.194
2004-03-01,1236.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.236
2004-04-01,1237.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.237
2004-05-01,1209.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.209
2004-06-01,1150.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.15
2004-07-01,1117.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.117
2004-08-01,1111.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.111
2004-09-01,1125.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.125
2004-10-01,1127.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.127
2004-11-01,1133.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.133
2004-12-01,1131.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.131
2005-01-01,1162.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.162
2005-02-01,1149.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.149
2005-03-01,1146.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.146
2005-04-01,1137.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.137
2005-05-01,1102.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.102
2005-06-01,1065.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.065
2005-07-01,1050.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.05
2005-08-01,1023.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.023
2005-09-01,1002.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.002
2005-10-01,982.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.982
2005-11-01,960.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.96
2005-12-01,947.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.947
2006-01-01,930.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.93
2006-02-01,921.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.921
2006-03-01,902.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.902
2006-04-01,899.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.899
2006-05-01,892.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.892
2006-06-01,898.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.898
2006-07-01,928.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.928
2006-08-01,944.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.944
2006-09-01,965.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.965
2006-10-01,1068.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.068
2006-11-01,1120.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.12
2006-12-01,1174.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.174
2007-01-01,1180.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.18
2007-02-01,1173.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.173
2007-03-01,1157.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.157
2007-04-01,1150.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.15
2007-05-01,1159.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.159
2007-06-01,1209.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.209
2007-07-01,1342.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.342
2007-08-01,1404.0,"Groundnut oil (Any origin, c.i.f. Rotterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,1.404
