date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2004-01-01,230.0,"Jute BWD (f.o.b. Mongla, at sight)/from 2006 Jute BTD (f.o.b Bangladesh Port)",INTERNATIONAL PRICES,Bangladesh,EXPORT,tonne,kg,0.23
2004-02-01,245.0,"Jute BWD (f.o.b. Mongla, at sight)/from 2006 Jute BTD (f.o.b Bangladesh Port)",INTERNATIONAL PRICES,Bangladesh,EXPORT,tonne,kg,0.245
2004-03-01,245.0,"Jute BWD (f.o.b. Mongla, at sight)/from 2006 Jute BTD (f.o.b Bangladesh Port)",INTERNATIONAL PRICES,Bangladesh,EXPORT,tonne,kg,0.245
2004-04-01,290.0,"Jute BWD (f.o.b. Mongla, at sight)/from 2006 Jute BTD (f.o.b Bangladesh Port)",INTERNATIONAL PRICES,Bangladesh,EXPORT,tonne,kg,0.29
2004-05-01,290.0,"Jute BWD (f.o.b. Mongla, at sight)/from 2006 Jute BTD (f.o.b Bangladesh Port)",INTERNATIONAL PRICES,Bangladesh,EXPORT,tonne,kg,0.29
2004-06-01,290.0,"Jute BWD (f.o.b. Mongla, at sight)/from 2006 Jute BTD (f.o.b Bangladesh Port)",INTERNATIONAL PRICES,Bangladesh,EXPORT,tonne,kg,0.29
2004-07-01,290.0,"Jute BWD (f.o.b. Mongla, at sight)/from 2006 Jute BTD (f.o.b Bangladesh Port)",INTERNATIONAL PRICES,Bangladesh,EXPORT,tonne,kg,0.29
2004-08-01,290.0,"Jute BWD (f.o.b. Mongla, at sight)/from 2006 Jute BTD (f.o.b Bangladesh Port)",INTERNATIONAL PRICES,Bangladesh,EXPORT,tonne,kg,0.29
2004-09-01,350.0,"Jute BWD (f.o.b. Mongla, at sight)/from 2006 Jute BTD (f.o.b Bangladesh Port)",INTERNATIONAL PRICES,Bangladesh,EXPORT,tonne,kg,0.35
2004-10-01,350.0,"Jute BWD (f.o.b. Mongla, at sight)/from 2006 Jute BTD (f.o.b Bangladesh Port)",INTERNATIONAL PRICES,Bangladesh,EXPORT,tonne,kg,0.35
