date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2000-01-01,90.75,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.09075
2000-02-01,92.8,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.0928
2000-03-01,91.25,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.09125
2000-04-01,90.75,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.09075
2000-05-01,90.8,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.09079999999999999
2000-06-01,83.67,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.08367000000000001
2000-07-01,78.5,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.0785
2000-08-01,79.6,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.07959999999999999
2000-09-01,78.75,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.07875
2000-10-01,82.0,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.082
2000-11-01,85.0,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.085
2000-12-01,94.5,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.0945
2001-01-01,91.4,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.09140000000000001
2001-02-01,86.25,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.08625
2001-03-01,84.75,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.08475
2001-04-01,80.0,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.08
2001-05-01,81.4,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.0814
2001-06-01,82.5,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.0825
2001-07-01,88.2,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.0882
2001-08-01,89.5,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.0895
2001-09-01,88.25,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.08825
2001-10-01,88.6,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.0886
2001-11-01,93.0,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.093
2001-12-01,96.67,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.09667
2002-01-01,88.67,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.08867
2002-02-01,86.0,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.086
2002-03-01,85.25,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.08525
2002-04-01,85.8,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.0858
2002-05-01,89.75,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.08975
2002-06-01,92.0,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.092
2002-07-01,96.6,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.09659999999999999
2002-08-01,105.5,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.1055
2002-09-01,107.75,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.10775
2002-10-01,105.4,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.10540000000000001
2002-11-01,108.25,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.10825
2002-12-01,104.0,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.104
2003-01-01,102.25,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.10225
2003-02-01,99.5,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.0995
2003-03-01,94.75,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.09475
2003-04-01,98.6,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.0986
2003-05-01,104.25,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.10425
2003-06-01,103.0,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.103
2003-07-01,96.8,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.0968
2003-08-01,98.0,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.098
2003-09-01,101.2,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.1012
2003-10-01,101.25,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.10125
2003-11-01,109.75,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.10975
2003-12-01,116.33,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.11633
2004-01-01,113.75,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.11375
2004-02-01,112.75,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.11275
2004-03-01,109.6,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.10959999999999999
2004-04-01,120.75,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.12075
2004-05-01,118.0,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.118
2004-06-01,113.2,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.11320000000000001
2004-07-01,102.5,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.1025
2004-08-01,99.8,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.0998
2004-09-01,95.5,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.0955
2004-10-01,93.0,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.093
2004-11-01,86.4,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.0864
2004-12-01,89.0,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.089
2005-01-01,81.75,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.08175
2005-02-01,80.5,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.0805
2005-03-01,85.4,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.0854
2005-04-01,84.0,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.084
2005-05-01,86.8,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.0868
2005-06-01,91.0,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.091
2005-07-01,100.25,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.10025
2005-08-01,98.2,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.09820000000000001
2005-09-01,96.5,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.0965
2005-10-01,94.75,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.09475
2005-11-01,91.0,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.091
2005-12-01,95.25,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.09525
2006-01-01,103.0,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.103
2006-02-01,104.5,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.1045
2006-03-01,99.5,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.0995
2006-04-01,105.75,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.10575
2006-05-01,111.6,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.11159999999999999
2006-06-01,107.5,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.1075
2006-07-01,113.75,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.11375
2006-08-01,111.2,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.11120000000000001
2006-09-01,113.75,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.11375
2006-10-01,135.2,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.1352
2006-11-01,171.5,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.1715
2006-12-01,161.75,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.16175
2007-01-01,160.8,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.1608
2007-02-01,165.25,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.16525
2007-03-01,160.25,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.16025
2007-04-01,143.5,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.1435
2007-05-01,147.0,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.147
2007-06-01,155.75,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.15575
2007-07-01,143.33,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.14333
2007-08-01,156.5,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.1565
2007-09-01,169.5,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.1695
2007-10-01,176.2,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.1762
2007-11-01,179.25,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.17925
2007-12-01,170.67,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.17067
2008-01-01,205.04,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.20504
2008-02-01,206.5,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.2065
2008-03-01,215.75,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.21575
2008-04-01,224.0,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.224
2008-05-01,207.0,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.207
2008-06-01,258.25,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.25825
2008-07-01,251.6,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.2516
2008-08-01,216.5,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.2165
2008-09-01,202.8,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.2028
2008-10-01,169.25,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.16925
2008-11-01,156.25,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.15625
2008-12-01,151.8,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.15180000000000002
2009-01-01,159.5,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.1595
2009-02-01,157.75,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.15775
2009-03-01,163.0,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.163
2009-04-01,165.75,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.16575
2009-05-01,185.5,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.1855
2009-06-01,184.6,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.1846
2009-07-01,164.0,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.164
2009-08-01,166.5,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.1665
2009-09-01,162.8,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.1628
2009-10-01,175.5,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.1755
2009-11-01,175.25,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.17525
2009-12-01,176.8,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.1768
2010-01-01,177.5,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.1775
2010-02-01,164.25,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.16425
2010-03-01,160.0,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.16
2010-04-01,161.25,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.16125
2010-05-01,170.0,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.17
2010-06-01,162.6,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.1626
2010-07-01,171.25,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.17125
2010-08-01,198.4,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.1984
2010-09-01,229.25,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.22925
2010-10-01,248.5,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.2485
2010-11-01,246.4,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.2464
2010-12-01,259.75,Maize (Up River),INTERNATIONAL PRICES,Argentina,EXPORT,tonne,kg,0.25975
