date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
1990-01-01,313.06,Sugar,INTERNATIONAL PRICES,ICE futures US,EXPORT,tonne,kg,0.31306
1990-02-01,322.98,Sugar,INTERNATIONAL PRICES,ICE futures US,EXPORT,tonne,kg,0.32298000000000004
1990-03-01,338.63,Sugar,INTERNATIONAL PRICES,ICE futures US,EXPORT,tonne,kg,0.33863
1990-04-01,335.98,Sugar,INTERNATIONAL PRICES,ICE futures US,EXPORT,tonne,kg,0.33598
1990-05-01,321.87,Sugar,INTERNATIONAL PRICES,ICE futures US,EXPORT,tonne,kg,0.32187
1990-06-01,285.94,Sugar,INTERNATIONAL PRICES,ICE futures US,EXPORT,tonne,kg,0.28593999999999997
1990-07-01,264.33,Sugar,INTERNATIONAL PRICES,ICE futures US,EXPORT,tonne,kg,0.26433
1990-08-01,240.96,Sugar,INTERNATIONAL PRICES,ICE futures US,EXPORT,tonne,kg,0.24096
1990-09-01,244.05,Sugar,INTERNATIONAL PRICES,ICE futures US,EXPORT,tonne,kg,0.24405000000000002
1990-10-01,216.49,Sugar,INTERNATIONAL PRICES,ICE futures US,EXPORT,tonne,kg,0.21649000000000002
1990-11-01,222.01,Sugar,INTERNATIONAL PRICES,ICE futures US,EXPORT,tonne,kg,0.22200999999999999
1990-12-01,214.73,Sugar,INTERNATIONAL PRICES,ICE futures US,EXPORT,tonne,kg,0.21472999999999998
1991-01-01,194.01,Sugar,INTERNATIONAL PRICES,ICE futures US,EXPORT,tonne,kg,0.19401
1991-02-01,187.61,Sugar,INTERNATIONAL PRICES,ICE futures US,EXPORT,tonne,kg,0.18761000000000003
1991-03-01,201.5,Sugar,INTERNATIONAL PRICES,ICE futures US,EXPORT,tonne,kg,0.2015
1991-04-01,187.61,Sugar,INTERNATIONAL PRICES,ICE futures US,EXPORT,tonne,kg,0.18761000000000003
1991-05-01,167.11,Sugar,INTERNATIONAL PRICES,ICE futures US,EXPORT,tonne,kg,0.16711
1991-06-01,202.83,Sugar,INTERNATIONAL PRICES,ICE futures US,EXPORT,tonne,kg,0.20283
