date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2006-01-01,269.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.269
2006-02-01,266.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.266
2006-03-01,284.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.284
2006-04-01,299.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.299
2006-05-01,306.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.306
2006-06-01,306.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.306
2006-07-01,312.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.312
2006-08-01,312.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.312
2006-09-01,301.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.301
2006-10-01,295.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.295
2006-11-01,325.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.325
2006-12-01,340.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.34
2007-01-01,338.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.338
2007-02-01,339.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.339
2007-03-01,347.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.347
2007-04-01,369.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.369
2007-05-01,395.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.395
2007-06-01,417.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.417
2007-07-01,462.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.462
2007-08-01,542.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.542
2007-09-01,645.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.645
2007-10-01,693.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.693
2007-11-01,712.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.712
2007-12-01,711.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.711
2008-01-01,772.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.772
2008-02-01,826.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.826
2008-03-01,922.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.922
2008-04-01,928.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.928
2008-05-01,749.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.749
2008-06-01,767.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.767
2008-07-01,763.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.763
2008-08-01,589.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.589
2008-09-01,511.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.511
2008-10-01,389.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.389
2008-11-01,337.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.337
2008-12-01,316.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.316
2009-01-01,344.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.344
2009-02-01,369.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.369
2009-03-01,350.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.35
2009-04-01,350.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.35
2009-05-01,413.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.413
2009-06-01,413.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.413
2009-07-01,370.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.37
2009-08-01,365.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.365
2009-09-01,348.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.348
2009-10-01,373.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.373
2009-11-01,406.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.406
2009-12-01,448.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.448
2010-01-01,434.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.434
2010-02-01,444.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.444
2010-03-01,463.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.463
2010-04-01,479.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.479
2010-05-01,485.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.485
2010-06-01,423.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.423
2010-07-01,443.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.443
2010-08-01,491.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.491
2010-09-01,534.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.534
2010-10-01,634.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.634
2010-11-01,693.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.693
2010-12-01,689.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.689
2011-01-01,716.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.716
2011-02-01,714.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.714
2011-03-01,684.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.684
2011-04-01,684.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.684
2011-05-01,693.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.693
2011-06-01,663.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.663
2011-07-01,615.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.615
2011-08-01,594.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.594
2011-09-01,555.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.555
2011-10-01,524.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.524
2011-11-01,545.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.545
2011-12-01,545.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.545
2012-01-01,540.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.54
2012-02-01,577.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.577
2012-03-01,589.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.589
2012-04-01,620.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.62
2012-05-01,603.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.603
2012-06-01,575.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.575
2012-07-01,629.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.629
2012-08-01,660.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.66
2012-09-01,704.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.704
2012-10-01,677.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.677
2012-11-01,652.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.652
2012-12-01,670.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.67
2013-01-01,672.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.672
2013-02-01,686.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.686
2013-03-01,649.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.649
2013-04-01,568.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.568
2013-05-01,561.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.561
2013-06-01,535.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.535
2013-07-01,446.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.446
2013-08-01,407.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.407
2013-09-01,440.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.44
2013-10-01,468.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.468
2013-11-01,478.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.478
2013-12-01,495.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.495
2014-01-01,477.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.477
2014-02-01,492.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.492
2014-03-01,524.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.524
2014-04-01,515.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.515
2014-05-01,468.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.468
2014-06-01,449.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.449
2014-07-01,425.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.425
2014-08-01,401.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.401
2014-09-01,403.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.403
2014-10-01,419.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.419
2014-11-01,443.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.443
2014-12-01,464.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.464
2015-01-01,438.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.438
2015-02-01,438.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.438
2015-03-01,433.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.433
2015-04-01,426.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.426
2015-05-01,406.0,"Sunflowerseed (EU, c.i.f. Amsterdam)",INTERNATIONAL PRICES,Unspecified,EXPORT,tonne,kg,0.406
