date,price_usd,commodity_name,country,market,price_type,unit
1997-10-01,23.53,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
1997-11-01,13.59,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
1997-12-01,15.9,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
1998-01-01,18.08,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
1998-02-01,19.23,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
1998-03-01,17.68,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
1998-04-01,15.07,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
1998-05-01,10.78,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
1998-06-01,11.03,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
1998-07-01,14.18,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
1998-08-01,10.38,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
1998-09-01,12.95,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
1998-10-01,12.48,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
1998-11-01,10.48,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
1998-12-01,8.52,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
1999-01-01,,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
1999-02-01,,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
1999-03-01,,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
1999-04-01,,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
1999-05-01,,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
1999-06-01,8.63,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
1999-07-01,8.68,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
1999-08-01,13.42,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
1999-09-01,,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
1999-10-01,11.08,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
1999-11-01,,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
1999-12-01,,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2000-01-01,,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2000-02-01,,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2000-03-01,,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2000-04-01,,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2000-05-01,,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2000-06-01,10.82,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2000-07-01,13.81,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2000-08-01,14.01,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2000-09-01,,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2000-10-01,11.99,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2000-11-01,11.12,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2000-12-01,11.02,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2001-01-01,10.76,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2001-02-01,10.83,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2001-03-01,9.32,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2001-04-01,9.01,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2001-05-01,11.14,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2001-06-01,,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2001-07-01,7.28,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2001-08-01,7.05,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2001-09-01,9.59,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2001-10-01,10.08,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2001-11-01,8.64,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2001-12-01,13.04,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2002-01-01,12.96,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2002-02-01,12.09,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2002-03-01,12.0,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2002-04-01,14.0,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2002-05-01,15.9,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2002-06-01,16.19,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2002-07-01,,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2002-08-01,,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2002-09-01,,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2002-10-01,,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2002-11-01,23.17,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2002-12-01,16.31,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2003-01-01,,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2003-02-01,16.0,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2003-03-01,19.9,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2003-04-01,21.36,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2003-05-01,20.83,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2003-06-01,,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2003-07-01,17.52,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2003-08-01,18.97,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2003-09-01,19.12,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2003-10-01,,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2003-11-01,23.52,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2003-12-01,,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2004-01-01,24.44,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2004-02-01,22.42,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2004-03-01,26.15,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2004-04-01,27.35,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2004-05-01,25.48,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2004-06-01,23.92,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2004-07-01,24.3,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2004-08-01,26.64,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2004-09-01,28.61,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2004-10-01,30.11,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2004-11-01,32.22,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2004-12-01,28.57,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2005-01-01,,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2005-02-01,25.64,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2005-03-01,20.08,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2005-04-01,21.52,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2005-05-01,24.32,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2005-06-01,24.18,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2005-07-01,26.79,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2005-08-01,26.59,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2005-09-01,24.99,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2005-10-01,26.09,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2005-11-01,25.21,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2005-12-01,25.99,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2006-01-01,28.87,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2006-02-01,29.78,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2006-03-01,29.53,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2006-04-01,32.05,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2006-05-01,32.62,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2006-06-01,28.37,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2006-07-01,26.59,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2006-08-01,28.37,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2006-09-01,31.26,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2006-10-01,37.06,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2006-11-01,39.6,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
2006-12-01,37.4,Goat (Local Quality),Somalia,Galkayo,RETAIL,1 unit
