date,price_usd,commodity_name,country,market,price_type,unit
2016-06-01,1.75,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2016-07-01,,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2016-08-01,,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2016-09-01,,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2016-10-01,,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2016-11-01,,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2016-12-01,,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2017-01-01,1.83,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2017-02-01,1.96,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2017-03-01,1.75,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2017-04-01,1.74,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2017-05-01,1.75,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2017-06-01,1.62,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2017-07-01,1.54,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2017-08-01,1.54,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2017-09-01,1.54,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2017-10-01,1.54,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2017-11-01,1.54,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2017-12-01,1.78,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2018-01-01,1.54,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2018-02-01,1.54,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2018-03-01,1.54,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2018-04-01,1.54,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2018-05-01,1.51,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2018-06-01,1.51,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2018-07-01,1.51,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2018-08-01,1.51,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2018-09-01,1.54,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2018-10-01,1.54,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2018-11-01,1.64,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2018-12-01,1.63,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2019-01-01,1.66,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2019-02-01,1.66,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2019-03-01,1.66,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2019-04-01,1.66,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2019-05-01,1.41,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2019-06-01,1.51,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2019-07-01,1.41,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2019-08-01,1.41,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2019-09-01,1.41,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2019-10-01,1.41,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2019-11-01,1.35,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2019-12-01,1.35,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2020-01-01,1.35,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2020-02-01,1.35,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2020-03-01,1.35,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2020-04-01,1.35,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2020-05-01,1.35,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2020-06-01,1.35,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2020-07-01,1.27,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2020-08-01,1.23,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2020-09-01,1.21,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2020-10-01,1.21,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2020-11-01,1.21,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2020-12-01,1.21,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2021-01-01,1.21,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2021-02-01,1.21,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2021-03-01,1.21,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2021-04-01,1.21,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2021-05-01,1.21,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2021-06-01,1.21,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2021-07-01,1.3,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2021-08-01,1.3,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2021-09-01,1.52,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2021-10-01,1.61,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2021-11-01,1.61,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2021-12-01,1.61,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2022-01-01,1.61,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2022-02-01,1.61,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2022-03-01,1.68,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2022-04-01,1.69,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2022-05-01,1.69,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2022-06-01,1.68,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2022-07-01,1.69,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2022-08-01,1.7,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2022-09-01,1.7,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2022-10-01,1.7,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2022-11-01,1.7,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2022-12-01,1.75,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2023-01-01,1.76,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2023-02-01,1.76,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2023-03-01,1.75,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2023-04-01,1.76,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2023-05-01,1.75,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2023-06-01,1.75,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2023-07-01,1.75,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2023-08-01,1.76,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2023-09-01,1.38,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2023-10-01,1.38,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2023-11-01,1.38,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2023-12-01,1.39,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2024-01-01,1.51,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2024-02-01,1.51,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2024-03-01,1.51,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2024-04-01,1.51,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2024-05-01,1.51,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2024-06-01,1.58,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2024-07-01,1.61,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2024-08-01,1.61,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2024-09-01,1.62,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2024-10-01,1.62,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2024-11-01,1.62,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2024-12-01,1.62,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2025-01-01,1.7,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2025-02-01,1.51,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2025-03-01,1.49,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2025-04-01,1.49,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2025-05-01,1.49,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2025-06-01,1.49,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2025-07-01,1.49,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2025-08-01,1.5,Lentils,Jordan,Al Mafraq,RETAIL,Kg
2016-06-01,1.58,Lentils,Jordan,Amman,RETAIL,Kg
2016-07-01,,Lentils,Jordan,Amman,RETAIL,Kg
2016-08-01,,Lentils,Jordan,Amman,RETAIL,Kg
2016-09-01,,Lentils,Jordan,Amman,RETAIL,Kg
2016-10-01,,Lentils,Jordan,Amman,RETAIL,Kg
2016-11-01,,Lentils,Jordan,Amman,RETAIL,Kg
2016-12-01,,Lentils,Jordan,Amman,RETAIL,Kg
2017-01-01,2.02,Lentils,Jordan,Amman,RETAIL,Kg
2017-02-01,2.06,Lentils,Jordan,Amman,RETAIL,Kg
2017-03-01,1.82,Lentils,Jordan,Amman,RETAIL,Kg
2017-04-01,1.82,Lentils,Jordan,Amman,RETAIL,Kg
2017-05-01,1.82,Lentils,Jordan,Amman,RETAIL,Kg
2017-06-01,1.82,Lentils,Jordan,Amman,RETAIL,Kg
2017-07-01,1.82,Lentils,Jordan,Amman,RETAIL,Kg
2017-08-01,1.82,Lentils,Jordan,Amman,RETAIL,Kg
2017-09-01,1.82,Lentils,Jordan,Amman,RETAIL,Kg
2017-10-01,1.79,Lentils,Jordan,Amman,RETAIL,Kg
2017-11-01,1.79,Lentils,Jordan,Amman,RETAIL,Kg
2017-12-01,1.82,Lentils,Jordan,Amman,RETAIL,Kg
2018-01-01,1.75,Lentils,Jordan,Amman,RETAIL,Kg
2018-02-01,1.71,Lentils,Jordan,Amman,RETAIL,Kg
2018-03-01,1.71,Lentils,Jordan,Amman,RETAIL,Kg
2018-04-01,1.71,Lentils,Jordan,Amman,RETAIL,Kg
2018-05-01,1.69,Lentils,Jordan,Amman,RETAIL,Kg
2018-06-01,1.69,Lentils,Jordan,Amman,RETAIL,Kg
2018-07-01,1.69,Lentils,Jordan,Amman,RETAIL,Kg
2018-08-01,1.65,Lentils,Jordan,Amman,RETAIL,Kg
2018-09-01,1.66,Lentils,Jordan,Amman,RETAIL,Kg
2018-10-01,1.71,Lentils,Jordan,Amman,RETAIL,Kg
2018-11-01,1.74,Lentils,Jordan,Amman,RETAIL,Kg
2018-12-01,1.73,Lentils,Jordan,Amman,RETAIL,Kg
2019-01-01,1.73,Lentils,Jordan,Amman,RETAIL,Kg
2019-02-01,1.73,Lentils,Jordan,Amman,RETAIL,Kg
2019-03-01,1.62,Lentils,Jordan,Amman,RETAIL,Kg
2019-04-01,1.61,Lentils,Jordan,Amman,RETAIL,Kg
2019-05-01,1.61,Lentils,Jordan,Amman,RETAIL,Kg
2019-06-01,1.69,Lentils,Jordan,Amman,RETAIL,Kg
2019-07-01,1.56,Lentils,Jordan,Amman,RETAIL,Kg
2019-08-01,1.58,Lentils,Jordan,Amman,RETAIL,Kg
2019-09-01,1.54,Lentils,Jordan,Amman,RETAIL,Kg
2019-10-01,1.55,Lentils,Jordan,Amman,RETAIL,Kg
2019-11-01,1.54,Lentils,Jordan,Amman,RETAIL,Kg
2019-12-01,1.55,Lentils,Jordan,Amman,RETAIL,Kg
2020-01-01,1.55,Lentils,Jordan,Amman,RETAIL,Kg
2020-02-01,1.52,Lentils,Jordan,Amman,RETAIL,Kg
2020-03-01,1.52,Lentils,Jordan,Amman,RETAIL,Kg
2020-04-01,1.52,Lentils,Jordan,Amman,RETAIL,Kg
2020-05-01,1.52,Lentils,Jordan,Amman,RETAIL,Kg
2020-06-01,1.52,Lentils,Jordan,Amman,RETAIL,Kg
2020-07-01,1.54,Lentils,Jordan,Amman,RETAIL,Kg
2020-08-01,1.61,Lentils,Jordan,Amman,RETAIL,Kg
2020-09-01,1.61,Lentils,Jordan,Amman,RETAIL,Kg
2020-10-01,1.61,Lentils,Jordan,Amman,RETAIL,Kg
2020-11-01,1.61,Lentils,Jordan,Amman,RETAIL,Kg
2020-12-01,1.61,Lentils,Jordan,Amman,RETAIL,Kg
2021-01-01,1.61,Lentils,Jordan,Amman,RETAIL,Kg
2021-02-01,1.61,Lentils,Jordan,Amman,RETAIL,Kg
2021-03-01,1.61,Lentils,Jordan,Amman,RETAIL,Kg
2021-04-01,1.61,Lentils,Jordan,Amman,RETAIL,Kg
2021-05-01,1.61,Lentils,Jordan,Amman,RETAIL,Kg
2021-06-01,1.61,Lentils,Jordan,Amman,RETAIL,Kg
