date,price_usd,commodity_name,country,market,price_type,unit
2011-01-01,1.0,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2011-02-01,0.98,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2011-03-01,1.01,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2011-04-01,1.03,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2011-05-01,1.06,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2011-06-01,1.06,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2011-07-01,1.03,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2011-08-01,1.1,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2011-09-01,1.04,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2011-10-01,1.02,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2011-11-01,1.04,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2011-12-01,1.01,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2012-01-01,0.94,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2012-02-01,0.94,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2012-03-01,0.94,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2012-04-01,0.94,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2012-05-01,0.93,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2012-06-01,0.9,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2012-07-01,0.88,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2012-08-01,0.9,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2012-09-01,0.94,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2012-10-01,0.96,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2012-11-01,0.96,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2012-12-01,0.96,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2013-01-01,0.94,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2013-02-01,0.94,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2013-03-01,0.92,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2013-04-01,0.91,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2013-05-01,0.89,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2013-06-01,0.89,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2013-07-01,0.85,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2013-08-01,0.86,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2013-09-01,0.87,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2013-10-01,0.87,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2013-11-01,0.87,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2013-12-01,0.84,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2014-01-01,0.84,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2014-02-01,0.84,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2014-03-01,0.88,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2014-04-01,0.89,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2014-05-01,0.87,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2014-06-01,0.87,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2014-07-01,0.92,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2014-08-01,0.93,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2014-09-01,0.93,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2014-10-01,0.92,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2014-11-01,0.89,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2014-12-01,0.89,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2015-01-01,0.89,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2015-02-01,0.86,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2015-03-01,0.87,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2015-04-01,0.84,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2015-05-01,0.82,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2015-06-01,0.84,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2015-07-01,0.78,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2015-08-01,0.77,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2015-09-01,0.78,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2015-10-01,0.78,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2015-11-01,0.78,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2015-12-01,0.77,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2016-01-01,0.79,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2016-02-01,0.84,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2016-03-01,0.88,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2016-04-01,0.92,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2016-05-01,0.99,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2016-06-01,1.01,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2016-07-01,1.02,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2016-08-01,1.01,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2016-09-01,1.04,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2016-10-01,0.95,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2016-11-01,0.93,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2016-12-01,0.9,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2017-01-01,0.89,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2017-02-01,0.9,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2017-03-01,0.92,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2017-04-01,0.92,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2017-05-01,0.92,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2017-06-01,0.92,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2017-07-01,0.92,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2017-08-01,0.92,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2017-09-01,0.92,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2017-10-01,0.92,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2017-11-01,0.98,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2017-12-01,1.03,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2018-01-01,1.04,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2018-02-01,1.05,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2018-03-01,1.05,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2018-04-01,1.05,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2018-05-01,1.07,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2018-06-01,1.1,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2018-07-01,1.06,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2018-08-01,1.02,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2018-09-01,0.97,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2018-10-01,1.01,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2018-11-01,0.99,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2018-12-01,0.98,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2019-01-01,0.88,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2019-02-01,0.79,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2019-03-01,0.79,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2019-04-01,0.79,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2019-05-01,0.78,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2019-06-01,0.79,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2019-07-01,0.79,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2019-08-01,0.79,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2019-09-01,0.78,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2019-10-01,0.79,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
2019-11-01,0.79,"Rice (Emata, Medium)",Myanmar,Yangon,RETAIL,pyi (2.13 kg)
