date,price_usd,commodity_name,country,market,price_type,unit
2010-03-01,4.66,Sausages,Tonga,National Average,RETAIL,Kg
2010-04-01,4.59,Sausages,Tonga,National Average,RETAIL,Kg
2010-05-01,4.52,Sausages,Tonga,National Average,RETAIL,Kg
2010-06-01,4.61,Sausages,Tonga,National Average,RETAIL,Kg
2010-07-01,4.64,Sausages,Tonga,National Average,RETAIL,Kg
2010-08-01,4.59,Sausages,Tonga,National Average,RETAIL,Kg
2010-09-01,4.69,Sausages,Tonga,National Average,RETAIL,Kg
2010-10-01,3.49,Sausages,Tonga,National Average,RETAIL,Kg
2010-11-01,3.5,Sausages,Tonga,National Average,RETAIL,Kg
2010-12-01,3.55,Sausages,Tonga,National Average,RETAIL,Kg
2011-01-01,3.57,Sausages,Tonga,National Average,RETAIL,Kg
2011-02-01,3.59,Sausages,Tonga,National Average,RETAIL,Kg
2011-03-01,3.57,Sausages,Tonga,National Average,RETAIL,Kg
2011-04-01,3.67,Sausages,Tonga,National Average,RETAIL,Kg
2011-05-01,3.84,Sausages,Tonga,National Average,RETAIL,Kg
2011-06-01,4.16,Sausages,Tonga,National Average,RETAIL,Kg
2011-07-01,4.27,Sausages,Tonga,National Average,RETAIL,Kg
2011-08-01,4.24,Sausages,Tonga,National Average,RETAIL,Kg
2011-09-01,4.1,Sausages,Tonga,National Average,RETAIL,Kg
2011-10-01,3.92,Sausages,Tonga,National Average,RETAIL,Kg
2011-11-01,3.95,Sausages,Tonga,National Average,RETAIL,Kg
2011-12-01,3.99,Sausages,Tonga,National Average,RETAIL,Kg
2012-01-01,4.06,Sausages,Tonga,National Average,RETAIL,Kg
2012-02-01,4.13,Sausages,Tonga,National Average,RETAIL,Kg
2012-03-01,4.23,Sausages,Tonga,National Average,RETAIL,Kg
2012-04-01,4.18,Sausages,Tonga,National Average,RETAIL,Kg
2012-05-01,4.11,Sausages,Tonga,National Average,RETAIL,Kg
2012-06-01,4.09,Sausages,Tonga,National Average,RETAIL,Kg
2012-07-01,4.11,Sausages,Tonga,National Average,RETAIL,Kg
2012-08-01,4.19,Sausages,Tonga,National Average,RETAIL,Kg
2012-09-01,4.19,Sausages,Tonga,National Average,RETAIL,Kg
2012-10-01,4.11,Sausages,Tonga,National Average,RETAIL,Kg
2012-11-01,4.09,Sausages,Tonga,National Average,RETAIL,Kg
2012-12-01,4.11,Sausages,Tonga,National Average,RETAIL,Kg
2013-01-01,4.07,Sausages,Tonga,National Average,RETAIL,Kg
2013-02-01,4.07,Sausages,Tonga,National Average,RETAIL,Kg
