date,price_usd,commodity_name,country,market,price_type,unit
2014-12-01,7.49,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2015-01-01,7.48,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2015-02-01,7.45,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2015-03-01,7.43,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2015-04-01,7.41,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2015-05-01,7.33,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2015-06-01,7.18,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2015-07-01,6.69,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2015-08-01,7.11,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2015-09-01,7.14,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2015-10-01,7.0,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2015-11-01,6.73,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2015-12-01,6.54,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2016-01-01,6.38,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2016-02-01,6.2,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2016-03-01,6.08,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2016-04-01,6.07,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2016-05-01,6.04,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2016-06-01,6.05,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2016-07-01,6.0,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2016-08-01,5.87,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2016-09-01,5.71,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2016-10-01,5.71,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2016-11-01,5.69,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2016-12-01,5.95,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2017-01-01,5.92,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2017-02-01,5.87,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2017-03-01,5.8,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2017-04-01,5.81,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2017-05-01,6.24,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2017-06-01,6.43,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2017-07-01,6.4,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2017-08-01,7.19,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2017-09-01,7.17,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2017-10-01,6.36,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
2017-11-01,6.34,"Vegetable oil (Alberto, imported)",Haiti,Cap Haitien,RETAIL,Gallon
