date,price_usd,commodity_name,country,market,price_type,unit
1990-01-01,1191.84,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",INTERNATIONAL PRICES,Australia,EXPORT,tonne
1990-02-01,1283.67,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",INTERNATIONAL PRICES,Australia,EXPORT,tonne
1990-03-01,1236.82,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",INTERNATIONAL PRICES,Australia,EXPORT,tonne
1990-04-01,1354.89,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",INTERNATIONAL PRICES,Australia,EXPORT,tonne
1990-05-01,1425.17,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",INTERNATIONAL PRICES,Australia,EXPORT,tonne
1990-06-01,1406.43,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",INTERNATIONAL PRICES,Australia,EXPORT,tonne
1990-07-01,1427.98,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",INTERNATIONAL PRICES,Australia,EXPORT,tonne
1990-08-01,1427.98,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",INTERNATIONAL PRICES,Australia,EXPORT,tonne
1990-09-01,1427.98,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",INTERNATIONAL PRICES,Australia,EXPORT,tonne
1990-10-01,1436.42,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",INTERNATIONAL PRICES,Australia,EXPORT,tonne
1990-11-01,1436.42,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",INTERNATIONAL PRICES,Australia,EXPORT,tonne
1990-12-01,1436.42,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",INTERNATIONAL PRICES,Australia,EXPORT,tonne
1991-01-01,1202.13,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",INTERNATIONAL PRICES,Australia,EXPORT,tonne
1991-02-01,1159.23,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",INTERNATIONAL PRICES,Australia,EXPORT,tonne
1991-03-01,1093.51,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",INTERNATIONAL PRICES,Australia,EXPORT,tonne
1991-04-01,1003.58,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",INTERNATIONAL PRICES,Australia,EXPORT,tonne
1991-05-01,1004.97,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",INTERNATIONAL PRICES,Australia,EXPORT,tonne
1991-06-01,1007.93,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",INTERNATIONAL PRICES,Australia,EXPORT,tonne
1991-07-01,934.4,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",INTERNATIONAL PRICES,Australia,EXPORT,tonne
1991-08-01,935.86,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",INTERNATIONAL PRICES,Australia,EXPORT,tonne
1991-09-01,946.92,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",INTERNATIONAL PRICES,Australia,EXPORT,tonne
1991-10-01,938.48,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",INTERNATIONAL PRICES,Australia,EXPORT,tonne
1991-11-01,1025.02,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",INTERNATIONAL PRICES,Australia,EXPORT,tonne
1991-12-01,1020.63,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",INTERNATIONAL PRICES,Australia,EXPORT,tonne
1992-01-01,1056.0,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",INTERNATIONAL PRICES,Australia,EXPORT,tonne
1992-02-01,1106.05,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",INTERNATIONAL PRICES,Australia,EXPORT,tonne
1992-03-01,1127.68,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",INTERNATIONAL PRICES,Australia,EXPORT,tonne
1992-04-01,1093.42,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",INTERNATIONAL PRICES,Australia,EXPORT,tonne
1992-05-01,1132.0,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",INTERNATIONAL PRICES,Australia,EXPORT,tonne
1992-06-01,1243.34,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",INTERNATIONAL PRICES,Australia,EXPORT,tonne
1992-07-01,1252.6,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",INTERNATIONAL PRICES,Australia,EXPORT,tonne
