date,price_usd,commodity_name,country,market,price_type,unit
2000-01-01,100.5,"Wheat (12%, Up River)",INTERNATIONAL PRICES,Argentina,EXPORT,tonne
2000-02-01,100.25,"Wheat (12%, Up River)",INTERNATIONAL PRICES,Argentina,EXPORT,tonne
2000-03-01,102.2,"Wheat (12%, Up River)",INTERNATIONAL PRICES,Argentina,EXPORT,tonne
2000-04-01,110.25,"Wheat (12%, Up River)",INTERNATIONAL PRICES,Argentina,EXPORT,tonne
2000-05-01,124.0,"Wheat (12%, Up River)",INTERNATIONAL PRICES,Argentina,EXPORT,tonne
2000-06-01,124.8,"Wheat (12%, Up River)",INTERNATIONAL PRICES,Argentina,EXPORT,tonne
2000-07-01,123.0,"Wheat (12%, Up River)",INTERNATIONAL PRICES,Argentina,EXPORT,tonne
2000-08-01,127.5,"Wheat (12%, Up River)",INTERNATIONAL PRICES,Argentina,EXPORT,tonne
2000-09-01,122.6,"Wheat (12%, Up River)",INTERNATIONAL PRICES,Argentina,EXPORT,tonne
2000-10-01,131.75,"Wheat (12%, Up River)",INTERNATIONAL PRICES,Argentina,EXPORT,tonne
2000-11-01,128.25,"Wheat (12%, Up River)",INTERNATIONAL PRICES,Argentina,EXPORT,tonne
2000-12-01,115.8,"Wheat (12%, Up River)",INTERNATIONAL PRICES,Argentina,EXPORT,tonne
2001-01-01,121.6,"Wheat (12%, Up River)",INTERNATIONAL PRICES,Argentina,EXPORT,tonne
2001-02-01,124.5,"Wheat (12%, Up River)",INTERNATIONAL PRICES,Argentina,EXPORT,tonne
2001-03-01,121.6,"Wheat (12%, Up River)",INTERNATIONAL PRICES,Argentina,EXPORT,tonne
2001-04-01,120.0,"Wheat (12%, Up River)",INTERNATIONAL PRICES,Argentina,EXPORT,tonne
2001-05-01,129.2,"Wheat (12%, Up River)",INTERNATIONAL PRICES,Argentina,EXPORT,tonne
2001-06-01,127.0,"Wheat (12%, Up River)",INTERNATIONAL PRICES,Argentina,EXPORT,tonne
