date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2017-01-01,3.28,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.28
2017-02-01,3.26,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.26
2017-03-01,3.3,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.3
2017-04-01,3.38,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.38
2017-05-01,3.68,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.68
2017-06-01,3.7,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.7
2017-07-01,3.7,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.7
2017-08-01,3.77,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.77
2017-09-01,3.53,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.53
2017-10-01,3.54,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.54
2017-11-01,3.49,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.49
2017-12-01,3.49,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.49
2018-01-01,3.42,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.42
2018-02-01,3.33,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.33
2018-03-01,3.36,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.36
2018-04-01,3.21,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.21
2018-05-01,3.31,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.31
2018-06-01,3.39,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.39
2018-07-01,3.37,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.37
2018-08-01,3.47,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.47
2018-09-01,3.36,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.36
2018-10-01,3.28,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.28
2018-11-01,3.26,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.26
2018-12-01,3.26,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.26
2019-01-01,3.25,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.25
2019-02-01,3.2,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.2
2019-03-01,3.2,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.2
2019-04-01,3.35,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.35
2019-05-01,3.34,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.34
2019-06-01,3.27,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.27
2019-07-01,3.29,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.29
2019-08-01,3.29,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.29
2019-09-01,3.33,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.33
2019-10-01,3.35,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.35
2019-11-01,3.35,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.35
2019-12-01,3.41,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.41
2020-01-01,3.37,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.37
2020-02-01,3.38,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.38
2020-03-01,3.14,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,3.14
2020-04-01,2.9,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,2.9
2020-05-01,2.92,Beef (bone-in),Nigeria,National Average,RETAIL,Kg,kg,2.92
