date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2000-01-01,0.34,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.34
2000-02-01,0.35,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.35
2000-03-01,0.35,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.35
2000-04-01,0.35,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.35
2000-05-01,0.36,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.36
2000-06-01,0.33,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.33
2000-07-01,0.31,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.31
2000-08-01,0.31,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.31
2000-09-01,0.29,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.29
2000-10-01,0.28,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.28
2000-11-01,0.26,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.26
2000-12-01,0.25,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.25
2001-01-01,0.25,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.25
2001-02-01,0.27,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.27
2001-03-01,0.3,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.3
2001-04-01,0.29,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.29
2001-05-01,0.28,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.28
2001-06-01,0.25,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.25
2001-07-01,0.22,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.22
2001-08-01,0.23,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.23
2001-09-01,0.23,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.23
2001-10-01,0.21,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.21
2001-11-01,0.22,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.22
2001-12-01,0.22,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.22
2002-01-01,0.25,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.25
2002-02-01,0.27,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.27
2002-03-01,,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,
2002-04-01,0.33,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.33
2002-05-01,0.3,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.3
2002-06-01,0.26,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.26
2002-07-01,0.26,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.26
2002-08-01,0.25,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.25
2002-09-01,0.24,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.24
2002-10-01,0.24,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.24
2002-11-01,0.25,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.25
2002-12-01,0.23,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.23
2003-01-01,0.24,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.24
2003-02-01,0.25,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.25
2003-03-01,0.25,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.25
2003-04-01,0.26,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.26
2003-05-01,0.26,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.26
2003-06-01,0.25,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.25
2003-07-01,0.27,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.27
2003-08-01,0.26,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.26
2003-09-01,0.24,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.24
2003-10-01,0.25,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.25
2003-11-01,0.25,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.25
2003-12-01,0.25,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.25
2004-01-01,0.27,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.27
2004-02-01,,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,
2004-03-01,0.27,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.27
2004-04-01,0.32,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.32
2004-05-01,0.31,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.31
2004-06-01,0.29,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.29
2004-07-01,0.29,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.29
2004-08-01,0.3,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.3
2004-09-01,0.29,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.29
2004-10-01,0.3,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.3
2004-11-01,0.3,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.3
2004-12-01,0.31,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.31
2005-01-01,0.31,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.31
2005-02-01,0.3,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.3
2005-03-01,0.34,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.34
2005-04-01,0.35,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.35
2005-05-01,0.35,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.35
2005-06-01,0.34,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.34
2005-07-01,0.3,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.3
2005-08-01,0.26,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.26
2005-09-01,0.25,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.25
2005-10-01,0.24,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.24
2005-11-01,0.26,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.26
2005-12-01,0.27,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.27
2006-01-01,0.31,"Maize (white, flour)",Philippines,Cebu,WHOLESALE,Kg,kg,0.31
