date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2020-04-01,50.27,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.5027
2020-05-01,54.78,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.5478000000000001
2020-06-01,51.19,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.5119
2020-07-01,49.67,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.49670000000000003
2020-08-01,47.69,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.4769
2020-09-01,41.8,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.418
2020-10-01,44.31,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.44310000000000005
2020-11-01,44.73,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.4473
2020-12-01,41.02,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.4102
2021-01-01,41.29,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.4129
2021-02-01,43.62,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.4362
2021-03-01,43.49,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.4349
2021-04-01,44.49,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.4449
2021-05-01,45.95,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.4595
2021-06-01,45.45,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.4545
2021-07-01,44.05,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.44049999999999995
2021-08-01,46.24,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.46240000000000003
2021-09-01,47.83,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.4783
2021-10-01,50.5,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.505
2021-11-01,52.15,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.5215
2021-12-01,52.77,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.5277000000000001
2022-01-01,49.68,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.4968
2022-02-01,46.51,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.46509999999999996
2022-03-01,51.64,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.5164
2022-04-01,54.18,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.5418
2022-05-01,59.69,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.5969
2022-06-01,53.75,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.5375
2022-07-01,51.15,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.5115
2022-08-01,53.97,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.5397
2022-09-01,56.25,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.5625
2022-10-01,59.46,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.5946
2022-11-01,58.31,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.5831000000000001
2022-12-01,59.55,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.5954999999999999
2023-01-01,64.59,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.6459
2023-02-01,58.99,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.5899
2023-03-01,66.63,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.6663
2023-04-01,63.38,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.6338
2023-05-01,64.59,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.6459
2023-06-01,61.3,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.613
2023-07-01,62.38,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.6238
2023-08-01,58.14,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.5814
2023-09-01,,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,
2023-10-01,55.0,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.55
2023-11-01,48.79,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.4879
2023-12-01,56.46,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.5646
2024-01-01,57.05,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.5705
2024-02-01,51.64,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.5164
2024-03-01,53.28,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.5328
2024-04-01,51.75,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.5175
2024-05-01,54.0,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.54
2024-06-01,51.26,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.5126
2024-07-01,54.2,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.542
2024-08-01,50.43,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.5043
2024-09-01,52.8,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.528
2024-10-01,49.55,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.4955
2024-11-01,54.65,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.5465
2024-12-01,57.53,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.5753
2025-01-01,57.5,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.575
2025-02-01,57.9,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.579
2025-03-01,55.06,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.5506
2025-04-01,54.99,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.5499
2025-05-01,56.25,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.5625
2025-06-01,53.7,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.537
2025-07-01,54.25,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.5425
2025-08-01,62.34,Millet (bulrush),United Republic of Tanzania,National Average,WHOLESALE,100 kg,kg,0.6234000000000001
