date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2020-10-01,0.57,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.57
2020-11-01,0.42,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.42
2020-12-01,0.4,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.4
2021-01-01,0.39,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.39
2021-02-01,0.41,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.41
2021-03-01,0.5,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.5
2021-04-01,0.61,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.61
2021-05-01,,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,
2021-06-01,,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,
2021-07-01,,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,
2021-08-01,,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,
2021-09-01,,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,
2021-10-01,0.73,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.73
2021-11-01,0.52,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.52
2021-12-01,0.47,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.47
2022-01-01,0.45,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.45
2022-02-01,0.47,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.47
2022-03-01,0.51,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.51
2022-04-01,0.51,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.51
2022-05-01,,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,
2022-06-01,,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,
2022-07-01,,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,
2022-08-01,,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,
2022-09-01,1.08,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,1.08
2022-10-01,0.53,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.53
2022-11-01,0.34,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.34
2022-12-01,0.31,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.31
2023-01-01,0.26,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.26
2023-02-01,0.28,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.28
2023-03-01,0.31,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.31
2023-04-01,0.33,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.33
2023-05-01,0.41,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.41
2023-06-01,0.4,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.4
2023-07-01,0.42,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.42
2023-08-01,,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,
2023-09-01,,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,
2023-10-01,0.48,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.48
2023-11-01,0.47,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.47
2023-12-01,0.42,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.42
2024-01-01,0.4,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.4
2024-02-01,0.42,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.42
2024-03-01,0.28,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.28
2024-04-01,0.28,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.28
2024-05-01,0.35,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.35
2024-06-01,0.36,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.36
2024-07-01,0.35,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.35
2024-08-01,,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,
2024-09-01,0.4,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.4
2024-10-01,0.41,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.41
2024-11-01,0.39,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.39
2024-12-01,0.35,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.35
2025-01-01,0.35,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.35
2025-02-01,0.39,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.39
2025-03-01,0.51,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.51
2025-04-01,0.56,Oranges (Navel),Egypt,National Average,RETAIL,Kg,kg,0.56
