date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2017-01-01,1.24,"Rice (broken, Ofada)",Nigeria,National Average,RETAIL,Kg,kg,1.24
2017-02-01,1.28,"Rice (broken, Ofada)",Nigeria,National Average,RETAIL,Kg,kg,1.28
2017-03-01,1.38,"Rice (broken, Ofada)",Nigeria,National Average,RETAIL,Kg,kg,1.38
2017-04-01,1.39,"Rice (broken, Ofada)",Nigeria,National Average,RETAIL,Kg,kg,1.39
2017-05-01,1.51,"Rice (broken, Ofada)",Nigeria,National Average,RETAIL,Kg,kg,1.51
2017-06-01,1.55,"Rice (broken, Ofada)",Nigeria,National Average,RETAIL,Kg,kg,1.55
2017-07-01,1.55,"Rice (broken, Ofada)",Nigeria,National Average,RETAIL,Kg,kg,1.55
2017-08-01,1.36,"Rice (broken, Ofada)",Nigeria,National Average,RETAIL,Kg,kg,1.36
2017-09-01,1.41,"Rice (broken, Ofada)",Nigeria,National Average,RETAIL,Kg,kg,1.41
2017-10-01,1.36,"Rice (broken, Ofada)",Nigeria,National Average,RETAIL,Kg,kg,1.36
2017-11-01,1.37,"Rice (broken, Ofada)",Nigeria,National Average,RETAIL,Kg,kg,1.37
2017-12-01,1.05,"Rice (broken, Ofada)",Nigeria,National Average,RETAIL,Kg,kg,1.05
2018-01-01,1.35,"Rice (broken, Ofada)",Nigeria,National Average,RETAIL,Kg,kg,1.35
2018-02-01,1.33,"Rice (broken, Ofada)",Nigeria,National Average,RETAIL,Kg,kg,1.33
2018-03-01,1.31,"Rice (broken, Ofada)",Nigeria,National Average,RETAIL,Kg,kg,1.31
2018-04-01,1.31,"Rice (broken, Ofada)",Nigeria,National Average,RETAIL,Kg,kg,1.31
2018-05-01,1.33,"Rice (broken, Ofada)",Nigeria,National Average,RETAIL,Kg,kg,1.33
2018-06-01,1.32,"Rice (broken, Ofada)",Nigeria,National Average,RETAIL,Kg,kg,1.32
2018-07-01,1.32,"Rice (broken, Ofada)",Nigeria,National Average,RETAIL,Kg,kg,1.32
2018-08-01,1.3,"Rice (broken, Ofada)",Nigeria,National Average,RETAIL,Kg,kg,1.3
2018-09-01,1.26,"Rice (broken, Ofada)",Nigeria,National Average,RETAIL,Kg,kg,1.26
