date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2018-03-01,47.2,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,47.2
2018-04-01,37.61,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,37.61
2018-05-01,,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,
2018-06-01,97.94,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,97.94
2018-07-01,127.57,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,127.57
2018-08-01,83.88,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,83.88
2018-09-01,138.69,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,138.69
2018-10-01,,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,
2018-11-01,,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,
2018-12-01,,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,
2019-01-01,,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,
2019-02-01,,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,
2019-03-01,110.44,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,110.44
2019-04-01,106.25,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,106.25
2019-05-01,103.7,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,103.7
2019-06-01,78.48,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,78.48
2019-07-01,99.26,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,99.26
2019-08-01,96.55,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,96.55
2019-09-01,89.36,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,89.36
2019-10-01,88.89,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,88.89
2019-11-01,,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,
2019-12-01,,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,
2020-01-01,87.85,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,87.85
2020-02-01,91.96,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,91.96
2020-03-01,103.2,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,103.2
2020-04-01,107.4,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,107.4
2020-05-01,102.15,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,102.15
2020-06-01,93.75,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,93.75
2020-07-01,88.69,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,88.69
2020-08-01,83.98,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,83.98
2020-09-01,84.26,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,84.26
2020-10-01,75.8,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,75.8
2020-11-01,77.86,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,77.86
2020-12-01,87.27,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,87.27
2021-01-01,86.62,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,86.62
2021-02-01,121.52,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,121.52
2021-03-01,124.91,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,124.91
2021-04-01,139.26,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,139.26
2021-05-01,173.81,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,173.81
2021-06-01,274.79,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,274.79
2021-07-01,221.91,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,221.91
2021-08-01,175.0,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,175.0
2021-09-01,171.8,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,171.8
2021-10-01,123.88,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,123.88
2021-11-01,121.27,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,121.27
2021-12-01,118.88,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,118.88
2022-01-01,115.03,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,115.03
2022-02-01,115.53,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,115.53
2022-03-01,116.22,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,116.22
2022-04-01,126.44,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,126.44
2022-05-01,157.27,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,157.27
2022-06-01,141.02,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,141.02
2022-07-01,106.0,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,106.0
2022-08-01,91.88,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,91.88
2022-09-01,93.52,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,93.52
2022-10-01,97.84,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,97.84
2022-11-01,96.65,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,96.65
2022-12-01,89.9,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,89.9
2023-01-01,85.21,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,85.21
2023-02-01,84.31,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,84.31
2023-03-01,80.62,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,80.62
2023-04-01,77.04,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,77.04
2023-05-01,47.54,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,47.54
2023-06-01,69.24,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,69.24
2023-07-01,65.19,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,65.19
2023-08-01,85.28,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,85.28
2023-09-01,82.79,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,82.79
2023-10-01,76.24,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,76.24
2023-11-01,82.74,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,82.74
2023-12-01,92.1,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,92.1
2024-01-01,43.31,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,43.31
2024-02-01,23.97,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,23.97
2024-03-01,57.99,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,57.99
2024-04-01,60.04,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,60.04
2024-05-01,56.45,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,56.45
2024-06-01,44.6,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,44.6
2024-07-01,68.37,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,68.37
2024-08-01,52.97,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,52.97
2024-09-01,80.66,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,80.66
2024-10-01,77.75,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,77.75
2024-11-01,55.85,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,55.85
2024-12-01,99.35,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,99.35
2025-01-01,72.27,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,72.27
2025-02-01,69.63,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,69.63
2025-03-01,48.94,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,48.94
2025-04-01,,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,
2025-05-01,36.17,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,36.17
2025-06-01,49.66,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,49.66
2025-07-01,50.6,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,50.6
2025-08-01,51.1,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,51.1
2025-09-01,51.72,"Sheep (medium size, male)",South Sudan,Juba (Konyokonyo),RETAIL,1 unit,unit,51.72
