date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2016-02-01,1.22,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,1.22
2016-03-01,1.1,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,1.1
2016-04-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2016-05-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2016-06-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2016-07-01,0.63,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,0.63
2016-08-01,0.64,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,0.64
2016-09-01,0.64,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,0.64
2016-10-01,0.64,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,0.64
2016-11-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2016-12-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2017-01-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2017-02-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2017-03-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2017-04-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2017-05-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2017-06-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2017-07-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2017-08-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2017-09-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2017-10-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2017-11-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2017-12-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2018-01-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2018-02-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2018-03-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2018-04-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2018-05-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2018-06-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2018-07-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2018-08-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2018-09-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2018-10-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2018-11-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2018-12-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2019-01-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2019-02-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2019-03-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2019-04-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2019-05-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2019-06-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2019-07-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2019-08-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2019-09-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2019-10-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2019-11-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2019-12-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2020-01-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2020-02-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2020-03-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2020-04-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2020-05-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2020-06-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2020-07-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2020-08-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2020-09-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2020-10-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2020-11-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2020-12-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2021-01-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2021-02-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2021-03-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2021-04-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2021-05-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2021-06-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2021-07-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2021-08-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2021-09-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2021-10-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2021-11-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2021-12-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2022-01-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2022-02-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2022-03-01,0.81,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,0.81
2022-04-01,1.04,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,1.04
2022-05-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2022-06-01,1.03,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,1.03
2022-07-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2022-08-01,0.88,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,0.88
2022-09-01,0.89,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,0.89
2022-10-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2022-11-01,0.97,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,0.97
2022-12-01,1.05,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,1.05
2023-01-01,1.03,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,1.03
2023-02-01,1.25,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,1.25
2023-03-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2023-04-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2023-05-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2023-06-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2023-07-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2023-08-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2023-09-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2023-10-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2023-11-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2023-12-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2024-01-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2024-02-01,1.26,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,1.26
2024-03-01,1.04,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,1.04
2024-04-01,0.97,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,0.97
2024-05-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2024-06-01,1.12,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,1.12
2024-07-01,1.19,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,1.19
2024-08-01,1.12,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,1.12
2024-09-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2024-10-01,1.54,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,1.54
2024-11-01,1.35,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,1.35
2024-12-01,1.19,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,1.19
2025-01-01,1.11,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,1.11
2025-02-01,1.33,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,1.33
2025-03-01,0.86,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,0.86
2025-04-01,1.51,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,1.51
2025-05-01,1.32,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,1.32
2025-06-01,,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,
2025-07-01,1.54,Tomatoes,Algeria,Awserd,RETAIL,Kg,kg,1.54
2016-07-01,0.9,Tomatoes,Algeria,Boujdour,RETAIL,Kg,kg,0.9
