date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2000-01-01,0.19,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.19
2000-02-01,0.18,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.18
2000-03-01,0.19,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.19
2000-04-01,0.22,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.22
2000-05-01,0.21,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.21
2000-06-01,0.23,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.23
2000-07-01,0.23,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.23
2000-08-01,0.2,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.2
2000-09-01,0.18,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.18
2000-10-01,0.17,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.17
2000-11-01,0.16,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.16
2000-12-01,0.16,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.16
2001-01-01,0.16,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.16
2001-02-01,0.16,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.16
2001-03-01,0.18,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.18
2001-04-01,0.19,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.19
2001-05-01,0.16,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.16
2001-06-01,0.15,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.15
2001-07-01,0.14,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.14
2001-08-01,0.15,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.15
2001-09-01,0.15,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.15
2001-10-01,0.22,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.22
2001-11-01,0.21,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.21
2001-12-01,0.23,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.23
2002-01-01,0.18,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.18
2002-02-01,0.22,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.22
2002-03-01,0.17,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.17
2002-04-01,0.17,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.17
2002-05-01,0.16,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.16
2002-06-01,0.17,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.17
2002-07-01,0.17,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.17
2002-08-01,0.16,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.16
2002-09-01,0.19,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.19
2002-10-01,0.19,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.19
2002-11-01,0.19,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.19
2002-12-01,0.21,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.21
2003-01-01,0.19,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.19
2003-02-01,0.19,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.19
2003-03-01,0.18,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.18
2003-04-01,0.16,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.16
2003-05-01,0.17,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.17
2003-06-01,0.21,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.21
2003-07-01,0.21,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.21
2003-08-01,0.2,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.2
2003-09-01,0.2,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.2
2003-10-01,0.21,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.21
2003-11-01,0.22,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.22
2003-12-01,0.23,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.23
2004-01-01,0.24,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.24
2004-02-01,0.24,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.24
2004-03-01,0.28,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.28
2004-04-01,0.26,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.26
2004-05-01,0.25,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.25
2004-06-01,0.24,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.24
2004-07-01,0.25,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.25
2004-08-01,0.26,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.26
2004-09-01,0.27,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.27
2004-10-01,0.27,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.27
2004-11-01,0.27,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.27
2004-12-01,0.28,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.28
2005-01-01,0.28,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.28
2005-02-01,0.29,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.29
2005-03-01,0.28,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.28
2005-04-01,0.28,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.28
2005-05-01,0.3,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.3
2005-06-01,0.29,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.29
2005-07-01,0.28,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.28
2005-08-01,0.29,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.29
2005-09-01,0.29,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.29
2005-10-01,0.3,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.3
2005-11-01,0.29,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.29
2005-12-01,0.29,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.29
2006-01-01,0.28,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.28
2006-02-01,0.29,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.29
2006-03-01,0.28,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.28
2006-04-01,0.28,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.28
2006-05-01,0.27,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.27
2006-06-01,0.27,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.27
2006-07-01,0.27,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.27
2006-08-01,0.28,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.28
2006-09-01,0.28,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.28
2006-10-01,0.28,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.28
2006-11-01,0.28,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.28
2006-12-01,0.28,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.28
2007-01-01,0.27,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.27
2007-02-01,0.28,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.28
2007-03-01,0.29,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.29
2007-04-01,0.3,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.3
2007-05-01,0.28,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.28
2007-06-01,0.27,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.27
2007-07-01,0.28,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.28
2007-08-01,0.29,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.29
2007-09-01,0.31,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.31
2007-10-01,0.33,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.33
2007-11-01,0.36,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.36
2007-12-01,0.42,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.42
2008-01-01,0.56,Wheat (flour),Afghanistan,Herat,RETAIL,Kg,kg,0.56
