date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
1987-01-01,440.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.44
1987-02-01,440.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.44
1987-03-01,440.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.44
1987-04-01,440.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.44
1987-05-01,440.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.44
1987-06-01,440.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.44
1987-07-01,430.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.43
1987-08-01,430.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.43
1987-09-01,430.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.43
1987-10-01,420.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.42
1987-11-01,445.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.445
1987-12-01,445.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.445
1988-01-01,450.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.45
1988-02-01,450.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.45
1988-03-01,450.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.45
1988-04-01,470.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.47
1988-05-01,470.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.47
1988-06-01,470.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.47
1988-07-01,500.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.5
1988-08-01,500.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.5
1988-09-01,528.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.528
1988-10-01,530.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.53
1988-11-01,530.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.53
1988-12-01,530.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.53
1989-01-01,515.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.515
1989-02-01,500.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.5
1989-03-01,494.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.494
1989-04-01,490.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.49
1989-05-01,508.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.508
1989-06-01,515.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.515
1989-07-01,506.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.506
1989-08-01,490.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.49
1989-09-01,480.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.48
1989-10-01,500.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.5
1989-11-01,548.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.548
1989-12-01,590.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.59
1990-01-01,600.0,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",INTERNATIONAL PRICES,Brazil,EXPORT,tonne,kg,0.6
