date,price_usd,commodity_name,country,market,price_type,unit
2017-01-01,1.0,Beans (black-eyed),Nigeria,National Average,RETAIL,Kg
2017-02-01,1.01,Beans (black-eyed),Nigeria,National Average,RETAIL,Kg
2017-03-01,1.04,Beans (black-eyed),Nigeria,National Average,RETAIL,Kg
2017-04-01,1.06,Beans (black-eyed),Nigeria,National Average,RETAIL,Kg
2017-05-01,1.09,Beans (black-eyed),Nigeria,National Average,RETAIL,Kg
2017-06-01,1.11,Beans (black-eyed),Nigeria,National Average,RETAIL,Kg
2017-07-01,1.13,Beans (black-eyed),Nigeria,National Average,RETAIL,Kg
2017-08-01,1.1,Beans (black-eyed),Nigeria,National Average,RETAIL,Kg
2017-09-01,1.17,Beans (black-eyed),Nigeria,National Average,RETAIL,Kg
2017-10-01,1.12,Beans (black-eyed),Nigeria,National Average,RETAIL,Kg
2017-11-01,1.1,Beans (black-eyed),Nigeria,National Average,RETAIL,Kg
2017-12-01,1.03,Beans (black-eyed),Nigeria,National Average,RETAIL,Kg
2018-01-01,1.13,Beans (black-eyed),Nigeria,National Average,RETAIL,Kg
2018-02-01,1.14,Beans (black-eyed),Nigeria,National Average,RETAIL,Kg
2018-03-01,1.17,Beans (black-eyed),Nigeria,National Average,RETAIL,Kg
2018-04-01,1.16,Beans (black-eyed),Nigeria,National Average,RETAIL,Kg
2018-05-01,1.2,Beans (black-eyed),Nigeria,National Average,RETAIL,Kg
2018-06-01,1.21,Beans (black-eyed),Nigeria,National Average,RETAIL,Kg
2018-07-01,1.18,Beans (black-eyed),Nigeria,National Average,RETAIL,Kg
2018-08-01,1.18,Beans (black-eyed),Nigeria,National Average,RETAIL,Kg
2018-09-01,1.19,Beans (black-eyed),Nigeria,National Average,RETAIL,Kg
2018-10-01,1.16,Beans (black-eyed),Nigeria,National Average,RETAIL,Kg
2018-11-01,1.13,Beans (black-eyed),Nigeria,National Average,RETAIL,Kg
2018-12-01,1.12,Beans (black-eyed),Nigeria,National Average,RETAIL,Kg
2019-01-01,1.1,Beans (black-eyed),Nigeria,National Average,RETAIL,Kg
2019-02-01,1.1,Beans (black-eyed),Nigeria,National Average,RETAIL,Kg
