date,price_usd,commodity_name,country,market,price_type,unit
2005-01-01,0.78,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2005-02-01,0.77,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2005-03-01,0.75,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2005-04-01,0.7,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2005-05-01,0.69,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2005-06-01,0.66,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2005-07-01,0.66,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2005-08-01,0.66,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2005-09-01,0.69,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2005-10-01,0.68,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2005-11-01,0.67,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2005-12-01,0.67,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2006-01-01,0.71,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2006-02-01,0.7,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2006-03-01,0.69,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2006-04-01,0.7,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2006-05-01,0.73,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2006-06-01,0.68,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2006-07-01,0.79,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2006-08-01,0.71,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2006-09-01,0.76,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2006-10-01,0.77,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2006-11-01,0.82,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2006-12-01,0.75,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2007-01-01,0.83,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2007-02-01,0.84,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2007-03-01,0.95,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2007-04-01,1.14,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2007-05-01,1.13,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2007-06-01,0.87,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2007-07-01,0.85,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2007-08-01,0.84,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2007-09-01,0.9,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2007-10-01,0.89,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2007-11-01,0.86,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2007-12-01,0.8,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2008-01-01,0.82,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
2008-02-01,0.77,Beans (red),Cameroon,Bafoussam,RETAIL,Kg
