date,price_usd,commodity_name,country,market,price_type,unit
2019-01-01,0.78,"Beans (red, kidney)",Belize,Belize City,RETAIL,lb
2019-02-01,0.75,"Beans (red, kidney)",Belize,Belize City,RETAIL,lb
2019-03-01,0.63,"Beans (red, kidney)",Belize,Belize City,RETAIL,lb
2019-04-01,0.65,"Beans (red, kidney)",Belize,Belize City,RETAIL,lb
2019-05-01,0.63,"Beans (red, kidney)",Belize,Belize City,RETAIL,lb
2019-06-01,0.63,"Beans (red, kidney)",Belize,Belize City,RETAIL,lb
2019-07-01,0.63,"Beans (red, kidney)",Belize,Belize City,RETAIL,lb
2019-08-01,0.63,"Beans (red, kidney)",Belize,Belize City,RETAIL,lb
2019-09-01,0.63,"Beans (red, kidney)",Belize,Belize City,RETAIL,lb
2019-10-01,0.63,"Beans (red, kidney)",Belize,Belize City,RETAIL,lb
2019-11-01,0.63,"Beans (red, kidney)",Belize,Belize City,RETAIL,lb
2019-12-01,0.63,"Beans (red, kidney)",Belize,Belize City,RETAIL,lb
2020-01-01,0.66,"Beans (red, kidney)",Belize,Belize City,RETAIL,lb
2020-02-01,0.75,"Beans (red, kidney)",Belize,Belize City,RETAIL,lb
2020-03-01,0.75,"Beans (red, kidney)",Belize,Belize City,RETAIL,lb
2020-04-01,,"Beans (red, kidney)",Belize,Belize City,RETAIL,lb
2020-05-01,0.63,"Beans (red, kidney)",Belize,Belize City,RETAIL,lb
2020-06-01,0.65,"Beans (red, kidney)",Belize,Belize City,RETAIL,lb
2020-07-01,0.63,"Beans (red, kidney)",Belize,Belize City,RETAIL,lb
2020-08-01,1.0,"Beans (red, kidney)",Belize,Belize City,RETAIL,lb
2020-09-01,1.05,"Beans (red, kidney)",Belize,Belize City,RETAIL,lb
2020-10-01,1.19,"Beans (red, kidney)",Belize,Belize City,RETAIL,lb
2020-11-01,1.0,"Beans (red, kidney)",Belize,Belize City,RETAIL,lb
2020-12-01,1.5,"Beans (red, kidney)",Belize,Belize City,RETAIL,lb
2021-01-01,1.31,"Beans (red, kidney)",Belize,Belize City,RETAIL,lb
2021-02-01,1.13,"Beans (red, kidney)",Belize,Belize City,RETAIL,lb
2021-03-01,1.2,"Beans (red, kidney)",Belize,Belize City,RETAIL,lb
2021-04-01,0.91,"Beans (red, kidney)",Belize,Belize City,RETAIL,lb
2021-05-01,0.75,"Beans (red, kidney)",Belize,Belize City,RETAIL,lb
2021-06-01,0.75,"Beans (red, kidney)",Belize,Belize City,RETAIL,lb
