date,price_usd,commodity_name,country,market,price_type,unit
2018-01-01,1.51,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2018-02-01,1.5,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2018-03-01,1.5,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2018-04-01,1.52,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2018-05-01,1.45,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2018-06-01,1.43,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2018-07-01,1.41,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2018-08-01,1.37,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2018-09-01,1.39,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2018-10-01,1.4,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2018-11-01,1.38,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2018-12-01,1.37,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2019-01-01,1.41,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2019-02-01,1.47,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2019-03-01,1.49,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2019-04-01,1.45,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2019-05-01,1.44,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2019-06-01,1.38,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2019-07-01,1.4,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2019-08-01,1.34,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2019-09-01,1.31,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2019-10-01,1.33,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2019-11-01,1.35,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2019-12-01,1.41,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2020-01-01,1.39,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2020-02-01,1.38,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2020-03-01,1.31,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2020-04-01,1.31,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2020-05-01,1.31,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2020-06-01,1.33,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2020-07-01,1.33,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2020-08-01,1.39,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
2020-09-01,1.38,"Bread (wholemeal, sliced)",United Kingdom,National Average,RETAIL,750-800 gms
