date,price_usd,commodity_name,country,market,price_type,unit
2020-03-01,3.9,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2020-04-01,4.14,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2020-05-01,8.86,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2020-06-01,4.58,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2020-07-01,,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2020-08-01,,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2020-09-01,2.7,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2020-10-01,2.81,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2020-11-01,8.42,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2020-12-01,8.66,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2021-01-01,8.66,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2021-02-01,8.61,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2021-03-01,6.65,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2021-04-01,5.78,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2021-05-01,6.48,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2021-06-01,7.65,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2021-07-01,6.61,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2021-08-01,7.78,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2021-09-01,6.58,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2021-10-01,6.49,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2021-11-01,6.38,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2021-12-01,6.89,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2022-01-01,6.61,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2022-02-01,7.2,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2022-03-01,5.6,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2022-04-01,4.12,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2022-05-01,6.06,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2022-06-01,7.78,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2022-07-01,6.47,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2022-08-01,6.18,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2022-09-01,6.07,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2022-10-01,5.99,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2022-11-01,6.22,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2022-12-01,7.26,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2023-01-01,7.39,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2023-02-01,7.24,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2023-03-01,7.07,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2023-04-01,7.25,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2023-05-01,5.8,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2023-06-01,5.51,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2023-07-01,5.62,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2023-08-01,5.82,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2023-09-01,6.27,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2023-10-01,5.64,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2023-11-01,6.32,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2023-12-01,6.65,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2024-01-01,4.02,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2024-02-01,5.76,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2024-03-01,4.97,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2024-04-01,4.91,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2024-05-01,5.77,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2024-06-01,6.56,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2024-07-01,6.61,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2024-08-01,5.88,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2024-09-01,5.93,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2024-10-01,5.82,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2024-11-01,7.29,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2024-12-01,5.59,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2025-01-01,,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2025-02-01,,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2025-03-01,5.77,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2025-04-01,,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2025-05-01,,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2025-06-01,5.27,Cashew nuts,Guinea-Bissau,Bissau-Bandim,RETAIL,Kg
2020-09-01,2.21,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2020-10-01,2.42,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2020-11-01,8.35,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2020-12-01,8.58,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2021-01-01,5.52,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2021-02-01,6.74,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2021-03-01,4.69,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2021-04-01,3.99,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2021-05-01,4.25,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2021-06-01,6.72,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2021-07-01,6.44,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2021-08-01,7.41,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2021-09-01,7.12,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2021-10-01,7.32,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2021-11-01,7.5,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2021-12-01,7.82,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2022-01-01,7.08,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2022-02-01,7.74,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2022-03-01,6.57,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2022-04-01,4.22,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2022-05-01,4.8,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2022-06-01,5.95,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2022-07-01,4.6,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2022-08-01,7.02,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2022-09-01,7.1,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2022-10-01,6.57,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2022-11-01,7.22,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2022-12-01,6.76,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2023-01-01,6.03,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2023-02-01,5.65,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2023-03-01,5.3,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2023-04-01,5.36,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2023-05-01,5.29,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2023-06-01,4.91,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2023-07-01,5.63,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2023-08-01,4.54,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2023-09-01,4.19,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2023-10-01,5.77,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2023-11-01,3.88,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2023-12-01,3.76,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2024-01-01,4.39,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2024-02-01,6.05,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2024-03-01,4.88,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2024-04-01,4.1,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2024-05-01,4.05,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2024-06-01,4.17,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2024-07-01,5.36,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2024-08-01,3.59,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2024-09-01,4.97,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2024-10-01,4.17,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2024-11-01,5.57,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2024-12-01,5.76,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2025-01-01,,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2025-02-01,,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2025-03-01,4.55,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2025-04-01,,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2025-05-01,,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
2025-06-01,4.81,Cashew nuts,Guinea-Bissau,National Average,RETAIL,Kg
