date,price_usd,commodity_name,country,market,price_type,unit
2008-01-01,3.73,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2008-02-01,3.29,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2008-03-01,3.32,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2008-04-01,3.41,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2008-05-01,3.52,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2008-06-01,3.37,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2008-07-01,3.46,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2008-08-01,3.47,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2008-09-01,3.27,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2008-10-01,2.76,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2008-11-01,2.74,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2008-12-01,2.74,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2009-01-01,2.96,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2009-02-01,2.95,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2009-03-01,2.77,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2009-04-01,3.11,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2009-05-01,3.39,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2009-06-01,3.57,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2009-07-01,3.56,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2009-08-01,3.6,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2009-09-01,3.79,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2009-10-01,3.8,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2009-11-01,3.79,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2009-12-01,3.83,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2010-01-01,3.95,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2010-02-01,3.74,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2010-03-01,3.83,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2010-04-01,3.9,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2010-05-01,3.72,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2010-06-01,3.66,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2010-07-01,3.68,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2010-08-01,3.79,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2010-09-01,3.86,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2010-10-01,4.12,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2010-11-01,4.04,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2010-12-01,4.11,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2011-01-01,4.33,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2011-02-01,4.11,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2011-03-01,4.26,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2011-04-01,4.27,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2011-05-01,4.28,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2011-06-01,4.37,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2011-07-01,4.38,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2011-08-01,4.12,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2011-09-01,3.75,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2011-10-01,3.78,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2011-11-01,3.75,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2011-12-01,3.78,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2012-01-01,3.89,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2012-02-01,4.11,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2012-03-01,4.11,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2012-04-01,4.05,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2012-05-01,3.82,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2012-06-01,3.73,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2012-07-01,3.74,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2012-08-01,3.81,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2012-09-01,3.98,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2012-10-01,3.94,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2012-11-01,3.88,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2012-12-01,4.05,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2013-01-01,3.96,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2013-02-01,3.78,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2013-03-01,3.63,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2013-04-01,3.79,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2013-05-01,3.61,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2013-06-01,3.45,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2013-07-01,3.43,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2013-08-01,3.34,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2013-09-01,3.45,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2013-10-01,3.6,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2013-11-01,3.48,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2013-12-01,3.45,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2014-01-01,3.32,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2014-02-01,3.36,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2014-03-01,3.5,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2014-04-01,3.58,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2014-05-01,3.57,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2014-06-01,3.55,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2014-07-01,3.55,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2014-08-01,3.53,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2014-09-01,3.41,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2014-10-01,3.51,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2014-11-01,3.44,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2014-12-01,3.38,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2015-01-01,3.42,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2015-02-01,3.41,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2015-03-01,3.27,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2015-04-01,3.28,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2015-05-01,3.26,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2015-06-01,3.17,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2015-07-01,3.21,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2015-08-01,3.07,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2015-09-01,2.85,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2015-10-01,2.95,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2015-11-01,2.82,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2015-12-01,2.71,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2016-01-01,2.52,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2016-02-01,2.64,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2016-03-01,2.65,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2016-04-01,2.86,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2016-05-01,2.72,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2016-06-01,2.8,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2016-07-01,2.92,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2016-08-01,3.04,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2016-09-01,2.97,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2016-10-01,3.06,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2016-11-01,3.02,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2016-12-01,3.06,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2017-01-01,3.23,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2017-02-01,3.37,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2017-03-01,3.41,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2017-04-01,3.26,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2017-05-01,3.27,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2017-06-01,3.43,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2017-07-01,3.42,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2017-08-01,3.26,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2017-09-01,3.33,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2017-10-01,3.26,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2017-11-01,3.12,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2017-12-01,3.49,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2018-01-01,3.73,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2018-02-01,3.87,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2018-03-01,3.88,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2018-04-01,3.83,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2018-05-01,3.65,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2018-06-01,3.4,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2018-07-01,3.45,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2018-08-01,3.29,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
2018-09-01,3.13,"Chicken meat (whole, fresh)",South Africa,National Average,RETAIL,Kg
