date,price_usd,commodity_name,country,market,price_type,unit
2022-07-01,0.37,Onion (dry),Algeria,National Average,RETAIL,Kg
2022-08-01,0.42,Onion (dry),Algeria,National Average,RETAIL,Kg
2022-09-01,0.5,Onion (dry),Algeria,National Average,RETAIL,Kg
2022-10-01,0.54,Onion (dry),Algeria,National Average,RETAIL,Kg
2022-11-01,0.67,Onion (dry),Algeria,National Average,RETAIL,Kg
2022-12-01,0.73,Onion (dry),Algeria,National Average,RETAIL,Kg
2023-01-01,0.87,Onion (dry),Algeria,National Average,RETAIL,Kg
2023-02-01,0.93,Onion (dry),Algeria,National Average,RETAIL,Kg
2023-03-01,1.26,Onion (dry),Algeria,National Average,RETAIL,Kg
2023-04-01,,Onion (dry),Algeria,National Average,RETAIL,Kg
2023-05-01,,Onion (dry),Algeria,National Average,RETAIL,Kg
2023-06-01,,Onion (dry),Algeria,National Average,RETAIL,Kg
2023-07-01,0.4,Onion (dry),Algeria,National Average,RETAIL,Kg
2023-08-01,0.39,Onion (dry),Algeria,National Average,RETAIL,Kg
2023-09-01,0.41,Onion (dry),Algeria,National Average,RETAIL,Kg
2023-10-01,0.42,Onion (dry),Algeria,National Average,RETAIL,Kg
2023-11-01,0.45,Onion (dry),Algeria,National Average,RETAIL,Kg
2023-12-01,0.53,Onion (dry),Algeria,National Average,RETAIL,Kg
2024-01-01,0.61,Onion (dry),Algeria,National Average,RETAIL,Kg
2024-02-01,0.67,Onion (dry),Algeria,National Average,RETAIL,Kg
2024-03-01,0.67,Onion (dry),Algeria,National Average,RETAIL,Kg
2024-04-01,,Onion (dry),Algeria,National Average,RETAIL,Kg
2024-05-01,,Onion (dry),Algeria,National Average,RETAIL,Kg
2024-06-01,,Onion (dry),Algeria,National Average,RETAIL,Kg
2024-07-01,0.4,Onion (dry),Algeria,National Average,RETAIL,Kg
2024-08-01,0.4,Onion (dry),Algeria,National Average,RETAIL,Kg
2024-09-01,0.45,Onion (dry),Algeria,National Average,RETAIL,Kg
2024-10-01,0.47,Onion (dry),Algeria,National Average,RETAIL,Kg
2024-11-01,0.45,Onion (dry),Algeria,National Average,RETAIL,Kg
2024-12-01,0.45,Onion (dry),Algeria,National Average,RETAIL,Kg
2025-01-01,0.48,Onion (dry),Algeria,National Average,RETAIL,Kg
2025-02-01,0.48,Onion (dry),Algeria,National Average,RETAIL,Kg
2025-03-01,0.51,Onion (dry),Algeria,National Average,RETAIL,Kg
2025-04-01,,Onion (dry),Algeria,National Average,RETAIL,Kg
2025-05-01,,Onion (dry),Algeria,National Average,RETAIL,Kg
2025-06-01,,Onion (dry),Algeria,National Average,RETAIL,Kg
2025-07-01,0.42,Onion (dry),Algeria,National Average,RETAIL,Kg
2025-08-01,0.41,Onion (dry),Algeria,National Average,RETAIL,Kg
