date,price_usd,commodity_name,country,market,price_type,unit
2022-08-01,2.04,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter
2022-09-01,,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter
2022-10-01,,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter
2022-11-01,,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter
2022-12-01,,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter
2023-01-01,2.42,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter
2023-02-01,2.48,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter
2023-03-01,2.42,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter
2023-04-01,2.43,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter
2023-05-01,2.48,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter
2023-06-01,2.55,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter
2023-07-01,2.41,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter
2023-08-01,1.99,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter
2023-09-01,1.99,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter
2023-10-01,1.99,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter
2023-11-01,2.01,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter
2023-12-01,2.3,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter
2024-01-01,2.3,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter
2024-02-01,2.3,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter
2024-03-01,2.3,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter
2024-04-01,2.3,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter
2024-05-01,2.3,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter
2024-06-01,2.3,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter
2024-07-01,2.32,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter
2024-08-01,2.29,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter
2024-09-01,2.29,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter
2024-10-01,2.29,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter
2024-11-01,2.29,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter
2024-12-01,2.29,Palm Oil (traditional),Guinea,Conakry,RETAIL,Liter
