date,price_usd,commodity_name,country,market,price_type,unit
2021-01-01,2.41,Palm Oil,Angola,Bengo,RETAIL,Liter
2021-02-01,2.56,Palm Oil,Angola,Bengo,RETAIL,Liter
2021-03-01,2.74,Palm Oil,Angola,Bengo,RETAIL,Liter
2021-04-01,2.69,Palm Oil,Angola,Bengo,RETAIL,Liter
2021-05-01,2.75,Palm Oil,Angola,Bengo,RETAIL,Liter
2021-06-01,2.89,Palm Oil,Angola,Bengo,RETAIL,Liter
2021-07-01,2.9,Palm Oil,Angola,Bengo,RETAIL,Liter
2021-08-01,2.94,Palm Oil,Angola,Bengo,RETAIL,Liter
2021-09-01,3.03,Palm Oil,Angola,Bengo,RETAIL,Liter
2021-10-01,3.14,Palm Oil,Angola,Bengo,RETAIL,Liter
2021-11-01,3.25,Palm Oil,Angola,Bengo,RETAIL,Liter
2021-12-01,3.43,Palm Oil,Angola,Bengo,RETAIL,Liter
2022-01-01,3.65,Palm Oil,Angola,Bengo,RETAIL,Liter
2022-02-01,3.88,Palm Oil,Angola,Bengo,RETAIL,Liter
2022-03-01,4.43,Palm Oil,Angola,Bengo,RETAIL,Liter
2022-04-01,4.86,Palm Oil,Angola,Bengo,RETAIL,Liter
2022-05-01,4.97,Palm Oil,Angola,Bengo,RETAIL,Liter
2022-06-01,4.78,Palm Oil,Angola,Bengo,RETAIL,Liter
2022-07-01,4.78,Palm Oil,Angola,Bengo,RETAIL,Liter
2022-08-01,4.84,Palm Oil,Angola,Bengo,RETAIL,Liter
2022-09-01,4.91,Palm Oil,Angola,Bengo,RETAIL,Liter
2022-10-01,4.77,Palm Oil,Angola,Bengo,RETAIL,Liter
2022-11-01,4.38,Palm Oil,Angola,Bengo,RETAIL,Liter
2022-12-01,4.38,Palm Oil,Angola,Bengo,RETAIL,Liter
2023-01-01,4.46,Palm Oil,Angola,Bengo,RETAIL,Liter
2023-02-01,4.53,Palm Oil,Angola,Bengo,RETAIL,Liter
2023-03-01,4.53,Palm Oil,Angola,Bengo,RETAIL,Liter
2023-04-01,4.58,Palm Oil,Angola,Bengo,RETAIL,Liter
2023-05-01,4.36,Palm Oil,Angola,Bengo,RETAIL,Liter
2023-06-01,3.27,Palm Oil,Angola,Bengo,RETAIL,Liter
2023-07-01,2.88,Palm Oil,Angola,Bengo,RETAIL,Liter
2023-08-01,2.89,Palm Oil,Angola,Bengo,RETAIL,Liter
2023-09-01,2.89,Palm Oil,Angola,Bengo,RETAIL,Liter
2023-10-01,3.0,Palm Oil,Angola,Bengo,RETAIL,Liter
2023-11-01,3.08,Palm Oil,Angola,Bengo,RETAIL,Liter
2023-12-01,3.1,Palm Oil,Angola,Bengo,RETAIL,Liter
2024-01-01,3.21,Palm Oil,Angola,Bengo,RETAIL,Liter
2024-02-01,3.23,Palm Oil,Angola,Bengo,RETAIL,Liter
2024-03-01,3.26,Palm Oil,Angola,Bengo,RETAIL,Liter
2024-04-01,3.26,Palm Oil,Angola,Bengo,RETAIL,Liter
2024-05-01,3.5,Palm Oil,Angola,Bengo,RETAIL,Liter
2024-06-01,3.65,Palm Oil,Angola,Bengo,RETAIL,Liter
2024-07-01,3.66,Palm Oil,Angola,Bengo,RETAIL,Liter
2024-08-01,3.63,Palm Oil,Angola,Bengo,RETAIL,Liter
2024-09-01,3.53,Palm Oil,Angola,Bengo,RETAIL,Liter
2024-10-01,3.86,Palm Oil,Angola,Bengo,RETAIL,Liter
2024-11-01,3.91,Palm Oil,Angola,Bengo,RETAIL,Liter
2024-12-01,4.05,Palm Oil,Angola,Bengo,RETAIL,Liter
2025-01-01,4.05,Palm Oil,Angola,Bengo,RETAIL,Liter
2025-02-01,4.13,Palm Oil,Angola,Bengo,RETAIL,Liter
2025-03-01,4.05,Palm Oil,Angola,Bengo,RETAIL,Liter
2025-04-01,4.13,Palm Oil,Angola,Bengo,RETAIL,Liter
2025-05-01,4.13,Palm Oil,Angola,Bengo,RETAIL,Liter
2025-06-01,4.18,Palm Oil,Angola,Bengo,RETAIL,Liter
2025-07-01,4.18,Palm Oil,Angola,Bengo,RETAIL,Liter
2025-08-01,4.22,Palm Oil,Angola,Bengo,RETAIL,Liter
2021-01-01,2.13,Palm Oil,Angola,Benguela,RETAIL,Liter
2021-02-01,2.18,Palm Oil,Angola,Benguela,RETAIL,Liter
2021-03-01,2.32,Palm Oil,Angola,Benguela,RETAIL,Liter
2021-04-01,2.37,Palm Oil,Angola,Benguela,RETAIL,Liter
2021-05-01,2.37,Palm Oil,Angola,Benguela,RETAIL,Liter
2021-06-01,2.44,Palm Oil,Angola,Benguela,RETAIL,Liter
2021-07-01,2.49,Palm Oil,Angola,Benguela,RETAIL,Liter
2021-08-01,2.58,Palm Oil,Angola,Benguela,RETAIL,Liter
2021-09-01,2.7,Palm Oil,Angola,Benguela,RETAIL,Liter
2021-10-01,2.84,Palm Oil,Angola,Benguela,RETAIL,Liter
2021-11-01,2.94,Palm Oil,Angola,Benguela,RETAIL,Liter
2021-12-01,3.12,Palm Oil,Angola,Benguela,RETAIL,Liter
2022-01-01,3.31,Palm Oil,Angola,Benguela,RETAIL,Liter
2022-02-01,3.44,Palm Oil,Angola,Benguela,RETAIL,Liter
2022-03-01,3.86,Palm Oil,Angola,Benguela,RETAIL,Liter
2022-04-01,4.28,Palm Oil,Angola,Benguela,RETAIL,Liter
2022-05-01,4.38,Palm Oil,Angola,Benguela,RETAIL,Liter
2022-06-01,4.19,Palm Oil,Angola,Benguela,RETAIL,Liter
2022-07-01,4.2,Palm Oil,Angola,Benguela,RETAIL,Liter
2022-08-01,4.24,Palm Oil,Angola,Benguela,RETAIL,Liter
2022-09-01,4.25,Palm Oil,Angola,Benguela,RETAIL,Liter
2022-10-01,4.14,Palm Oil,Angola,Benguela,RETAIL,Liter
2022-11-01,3.74,Palm Oil,Angola,Benguela,RETAIL,Liter
2022-12-01,3.71,Palm Oil,Angola,Benguela,RETAIL,Liter
2023-01-01,3.71,Palm Oil,Angola,Benguela,RETAIL,Liter
2023-02-01,3.76,Palm Oil,Angola,Benguela,RETAIL,Liter
2023-03-01,3.79,Palm Oil,Angola,Benguela,RETAIL,Liter
2023-04-01,3.78,Palm Oil,Angola,Benguela,RETAIL,Liter
2023-05-01,3.62,Palm Oil,Angola,Benguela,RETAIL,Liter
2023-06-01,2.7,Palm Oil,Angola,Benguela,RETAIL,Liter
2023-07-01,2.37,Palm Oil,Angola,Benguela,RETAIL,Liter
2023-08-01,2.44,Palm Oil,Angola,Benguela,RETAIL,Liter
2023-09-01,2.48,Palm Oil,Angola,Benguela,RETAIL,Liter
2023-10-01,2.49,Palm Oil,Angola,Benguela,RETAIL,Liter
2023-11-01,2.55,Palm Oil,Angola,Benguela,RETAIL,Liter
2023-12-01,2.6,Palm Oil,Angola,Benguela,RETAIL,Liter
2024-01-01,2.63,Palm Oil,Angola,Benguela,RETAIL,Liter
2024-02-01,2.71,Palm Oil,Angola,Benguela,RETAIL,Liter
2024-03-01,2.76,Palm Oil,Angola,Benguela,RETAIL,Liter
2024-04-01,2.78,Palm Oil,Angola,Benguela,RETAIL,Liter
2024-05-01,2.79,Palm Oil,Angola,Benguela,RETAIL,Liter
2024-06-01,2.75,Palm Oil,Angola,Benguela,RETAIL,Liter
2024-07-01,2.73,Palm Oil,Angola,Benguela,RETAIL,Liter
2024-08-01,2.8,Palm Oil,Angola,Benguela,RETAIL,Liter
2024-09-01,2.72,Palm Oil,Angola,Benguela,RETAIL,Liter
2024-10-01,2.99,Palm Oil,Angola,Benguela,RETAIL,Liter
2024-11-01,3.0,Palm Oil,Angola,Benguela,RETAIL,Liter
2024-12-01,3.08,Palm Oil,Angola,Benguela,RETAIL,Liter
2025-01-01,3.08,Palm Oil,Angola,Benguela,RETAIL,Liter
2025-02-01,3.11,Palm Oil,Angola,Benguela,RETAIL,Liter
2025-03-01,3.12,Palm Oil,Angola,Benguela,RETAIL,Liter
2025-04-01,3.31,Palm Oil,Angola,Benguela,RETAIL,Liter
2025-05-01,3.31,Palm Oil,Angola,Benguela,RETAIL,Liter
2025-06-01,3.3,Palm Oil,Angola,Benguela,RETAIL,Liter
2025-07-01,3.47,Palm Oil,Angola,Benguela,RETAIL,Liter
2025-08-01,3.49,Palm Oil,Angola,Benguela,RETAIL,Liter
2021-01-01,2.15,Palm Oil,Angola,Bié,RETAIL,Liter
2021-02-01,2.28,Palm Oil,Angola,Bié,RETAIL,Liter
2021-03-01,2.41,Palm Oil,Angola,Bié,RETAIL,Liter
2021-04-01,2.42,Palm Oil,Angola,Bié,RETAIL,Liter
2021-05-01,2.45,Palm Oil,Angola,Bié,RETAIL,Liter
2021-06-01,2.52,Palm Oil,Angola,Bié,RETAIL,Liter
2021-07-01,2.6,Palm Oil,Angola,Bié,RETAIL,Liter
2021-08-01,2.79,Palm Oil,Angola,Bié,RETAIL,Liter
2021-09-01,2.98,Palm Oil,Angola,Bié,RETAIL,Liter
2021-10-01,3.14,Palm Oil,Angola,Bié,RETAIL,Liter
2021-11-01,3.27,Palm Oil,Angola,Bié,RETAIL,Liter
2021-12-01,3.53,Palm Oil,Angola,Bié,RETAIL,Liter
2022-01-01,3.73,Palm Oil,Angola,Bié,RETAIL,Liter
2022-02-01,3.93,Palm Oil,Angola,Bié,RETAIL,Liter
2022-03-01,4.42,Palm Oil,Angola,Bié,RETAIL,Liter
2022-04-01,4.86,Palm Oil,Angola,Bié,RETAIL,Liter
2022-05-01,5.05,Palm Oil,Angola,Bié,RETAIL,Liter
2022-06-01,4.85,Palm Oil,Angola,Bié,RETAIL,Liter
2022-07-01,4.9,Palm Oil,Angola,Bié,RETAIL,Liter
2022-08-01,4.88,Palm Oil,Angola,Bié,RETAIL,Liter
2022-09-01,4.91,Palm Oil,Angola,Bié,RETAIL,Liter
2022-10-01,4.75,Palm Oil,Angola,Bié,RETAIL,Liter
2022-11-01,4.3,Palm Oil,Angola,Bié,RETAIL,Liter
2022-12-01,4.29,Palm Oil,Angola,Bié,RETAIL,Liter
2023-01-01,4.39,Palm Oil,Angola,Bié,RETAIL,Liter
2023-02-01,4.4,Palm Oil,Angola,Bié,RETAIL,Liter
2023-03-01,4.46,Palm Oil,Angola,Bié,RETAIL,Liter
2023-04-01,4.53,Palm Oil,Angola,Bié,RETAIL,Liter
2023-05-01,4.31,Palm Oil,Angola,Bié,RETAIL,Liter
2023-06-01,3.22,Palm Oil,Angola,Bié,RETAIL,Liter
2023-07-01,2.84,Palm Oil,Angola,Bié,RETAIL,Liter
2023-08-01,2.86,Palm Oil,Angola,Bié,RETAIL,Liter
2023-09-01,2.92,Palm Oil,Angola,Bié,RETAIL,Liter
2023-10-01,2.92,Palm Oil,Angola,Bié,RETAIL,Liter
2023-11-01,2.96,Palm Oil,Angola,Bié,RETAIL,Liter
2023-12-01,3.0,Palm Oil,Angola,Bié,RETAIL,Liter
2024-01-01,3.06,Palm Oil,Angola,Bié,RETAIL,Liter
2024-02-01,3.08,Palm Oil,Angola,Bié,RETAIL,Liter
2024-03-01,3.13,Palm Oil,Angola,Bié,RETAIL,Liter
2024-04-01,3.16,Palm Oil,Angola,Bié,RETAIL,Liter
2024-05-01,3.36,Palm Oil,Angola,Bié,RETAIL,Liter
2024-06-01,3.37,Palm Oil,Angola,Bié,RETAIL,Liter
2024-07-01,3.38,Palm Oil,Angola,Bié,RETAIL,Liter
2024-08-01,3.42,Palm Oil,Angola,Bié,RETAIL,Liter
2024-09-01,3.3,Palm Oil,Angola,Bié,RETAIL,Liter
2024-10-01,3.43,Palm Oil,Angola,Bié,RETAIL,Liter
2024-11-01,3.63,Palm Oil,Angola,Bié,RETAIL,Liter
2024-12-01,3.64,Palm Oil,Angola,Bié,RETAIL,Liter
2025-01-01,3.64,Palm Oil,Angola,Bié,RETAIL,Liter
2025-02-01,3.98,Palm Oil,Angola,Bié,RETAIL,Liter
2025-03-01,3.99,Palm Oil,Angola,Bié,RETAIL,Liter
2025-04-01,4.18,Palm Oil,Angola,Bié,RETAIL,Liter
2025-05-01,4.24,Palm Oil,Angola,Bié,RETAIL,Liter
2025-06-01,4.19,Palm Oil,Angola,Bié,RETAIL,Liter
2025-07-01,4.19,Palm Oil,Angola,Bié,RETAIL,Liter
2025-08-01,4.33,Palm Oil,Angola,Bié,RETAIL,Liter
2021-01-01,1.98,Palm Oil,Angola,Cabinda,RETAIL,Liter
2021-02-01,2.07,Palm Oil,Angola,Cabinda,RETAIL,Liter
