date,price_usd,commodity_name,country,market,price_type,unit
2006-01-01,0.13,Sorghum (Maicillo),El Salvador,San Salvador,RETAIL,Libra
2006-02-01,0.13,Sorghum (Maicillo),El Salvador,San Salvador,RETAIL,Libra
2006-03-01,0.15,Sorghum (Maicillo),El Salvador,San Salvador,RETAIL,Libra
2006-04-01,0.15,Sorghum (Maicillo),El Salvador,San Salvador,RETAIL,Libra
2006-05-01,0.15,Sorghum (Maicillo),El Salvador,San Salvador,RETAIL,Libra
2006-06-01,0.16,Sorghum (Maicillo),El Salvador,San Salvador,RETAIL,Libra
2006-07-01,0.19,Sorghum (Maicillo),El Salvador,San Salvador,RETAIL,Libra
2006-08-01,0.18,Sorghum (Maicillo),El Salvador,San Salvador,RETAIL,Libra
2006-09-01,0.2,Sorghum (Maicillo),El Salvador,San Salvador,RETAIL,Libra
2006-10-01,0.24,Sorghum (Maicillo),El Salvador,San Salvador,RETAIL,Libra
2006-11-01,0.26,Sorghum (Maicillo),El Salvador,San Salvador,RETAIL,Libra
2006-12-01,0.2,Sorghum (Maicillo),El Salvador,San Salvador,RETAIL,Libra
2007-01-01,0.16,Sorghum (Maicillo),El Salvador,San Salvador,RETAIL,Libra
2007-02-01,0.17,Sorghum (Maicillo),El Salvador,San Salvador,RETAIL,Libra
2007-03-01,0.16,Sorghum (Maicillo),El Salvador,San Salvador,RETAIL,Libra
2007-04-01,0.16,Sorghum (Maicillo),El Salvador,San Salvador,RETAIL,Libra
2007-05-01,0.16,Sorghum (Maicillo),El Salvador,San Salvador,RETAIL,Libra
2007-06-01,0.2,Sorghum (Maicillo),El Salvador,San Salvador,RETAIL,Libra
2007-07-01,0.22,Sorghum (Maicillo),El Salvador,San Salvador,RETAIL,Libra
2007-08-01,0.22,Sorghum (Maicillo),El Salvador,San Salvador,RETAIL,Libra
2007-09-01,0.22,Sorghum (Maicillo),El Salvador,San Salvador,RETAIL,Libra
2007-10-01,0.22,Sorghum (Maicillo),El Salvador,San Salvador,RETAIL,Libra
2007-11-01,0.21,Sorghum (Maicillo),El Salvador,San Salvador,RETAIL,Libra
2007-12-01,0.21,Sorghum (Maicillo),El Salvador,San Salvador,RETAIL,Libra
