date,price_usd,commodity_name,country,market,price_type,unit
2010-01-01,0.98,Sugar (imported),Tonga,National Average,RETAIL,Kg
2010-02-01,1.01,Sugar (imported),Tonga,National Average,RETAIL,Kg
2010-03-01,1.31,Sugar (imported),Tonga,National Average,RETAIL,Kg
2010-04-01,1.34,Sugar (imported),Tonga,National Average,RETAIL,Kg
2010-05-01,1.36,Sugar (imported),Tonga,National Average,RETAIL,Kg
2010-06-01,1.37,Sugar (imported),Tonga,National Average,RETAIL,Kg
2010-07-01,1.35,Sugar (imported),Tonga,National Average,RETAIL,Kg
2010-08-01,1.31,Sugar (imported),Tonga,National Average,RETAIL,Kg
2010-09-01,1.3,Sugar (imported),Tonga,National Average,RETAIL,Kg
2010-10-01,1.35,Sugar (imported),Tonga,National Average,RETAIL,Kg
2010-11-01,1.38,Sugar (imported),Tonga,National Average,RETAIL,Kg
2010-12-01,1.37,Sugar (imported),Tonga,National Average,RETAIL,Kg
2011-01-01,1.4,Sugar (imported),Tonga,National Average,RETAIL,Kg
2011-02-01,1.44,Sugar (imported),Tonga,National Average,RETAIL,Kg
2011-03-01,1.48,Sugar (imported),Tonga,National Average,RETAIL,Kg
2011-04-01,1.53,Sugar (imported),Tonga,National Average,RETAIL,Kg
2011-05-01,1.56,Sugar (imported),Tonga,National Average,RETAIL,Kg
2011-06-01,1.61,Sugar (imported),Tonga,National Average,RETAIL,Kg
2011-07-01,1.65,Sugar (imported),Tonga,National Average,RETAIL,Kg
2011-08-01,1.67,Sugar (imported),Tonga,National Average,RETAIL,Kg
2011-09-01,1.59,Sugar (imported),Tonga,National Average,RETAIL,Kg
2011-10-01,1.56,Sugar (imported),Tonga,National Average,RETAIL,Kg
2011-11-01,1.58,Sugar (imported),Tonga,National Average,RETAIL,Kg
2011-12-01,1.58,Sugar (imported),Tonga,National Average,RETAIL,Kg
2012-01-01,1.53,Sugar (imported),Tonga,National Average,RETAIL,Kg
2012-02-01,1.55,Sugar (imported),Tonga,National Average,RETAIL,Kg
2012-03-01,1.5,Sugar (imported),Tonga,National Average,RETAIL,Kg
2012-04-01,1.47,Sugar (imported),Tonga,National Average,RETAIL,Kg
2012-05-01,1.45,Sugar (imported),Tonga,National Average,RETAIL,Kg
2012-06-01,1.43,Sugar (imported),Tonga,National Average,RETAIL,Kg
2012-07-01,1.43,Sugar (imported),Tonga,National Average,RETAIL,Kg
2012-08-01,1.48,Sugar (imported),Tonga,National Average,RETAIL,Kg
2012-09-01,1.48,Sugar (imported),Tonga,National Average,RETAIL,Kg
2012-10-01,1.46,Sugar (imported),Tonga,National Average,RETAIL,Kg
2012-11-01,1.45,Sugar (imported),Tonga,National Average,RETAIL,Kg
2012-12-01,1.43,Sugar (imported),Tonga,National Average,RETAIL,Kg
2013-01-01,1.35,Sugar (imported),Tonga,National Average,RETAIL,Kg
2013-02-01,1.35,Sugar (imported),Tonga,National Average,RETAIL,Kg
2013-03-01,1.32,Sugar (imported),Tonga,National Average,RETAIL,Kg
