date,price_usd,commodity_name,country,market,price_type,unit
1995-01-01,127.71,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1995-02-01,160.71,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1995-03-01,173.48,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1995-04-01,173.82,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1995-05-01,173.85,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1995-06-01,173.9,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1995-07-01,172.6,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1995-08-01,170.23,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1995-09-01,167.8,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1995-10-01,170.04,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1995-11-01,173.4,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1995-12-01,175.53,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1996-01-01,181.23,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1996-02-01,183.18,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1996-03-01,184.21,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1996-04-01,184.96,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1996-05-01,184.78,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1996-06-01,,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1996-07-01,,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1996-08-01,181.65,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1996-09-01,184.19,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1996-10-01,185.17,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1996-11-01,186.8,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1996-12-01,187.93,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1997-01-01,188.86,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1997-02-01,188.39,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1997-03-01,,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1997-04-01,,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1997-05-01,,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1997-06-01,,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1997-07-01,,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1997-08-01,162.1,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1997-09-01,,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1997-10-01,,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1997-11-01,,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1997-12-01,,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1998-01-01,123.67,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1998-02-01,124.57,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1998-03-01,,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1998-04-01,164.78,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1998-05-01,164.78,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1998-06-01,,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1998-07-01,,Wheat (durum),Austria,National Average,WHOLESALE,tonne
1998-08-01,172.35,Wheat (durum),Austria,National Average,WHOLESALE,tonne
