date,price_usd,commodity_name,country,market,price_type,unit
2019-06-01,50.67,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2019-07-01,53.67,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2019-08-01,60.15,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2019-09-01,62.46,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2019-10-01,57.48,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2019-11-01,50.94,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2019-12-01,49.01,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2020-01-01,50.25,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2020-02-01,50.32,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2020-03-01,54.1,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2020-04-01,,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2020-05-01,,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2020-06-01,51.69,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2020-07-01,55.51,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2020-08-01,52.55,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2020-09-01,52.03,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2020-10-01,50.68,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2020-11-01,48.93,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2020-12-01,51.76,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2021-01-01,53.82,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2021-02-01,59.69,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2021-03-01,60.86,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2021-04-01,62.67,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2021-05-01,66.21,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2021-06-01,70.86,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2021-07-01,78.96,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2021-08-01,88.5,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2021-09-01,81.86,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2021-10-01,76.58,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2021-11-01,50.81,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2021-12-01,66.52,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2022-01-01,65.64,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2022-02-01,65.82,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2022-03-01,65.44,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2022-04-01,67.38,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2022-05-01,68.46,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2022-06-01,82.06,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2022-07-01,81.62,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2022-08-01,80.97,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2022-09-01,80.75,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2022-10-01,80.48,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2022-11-01,,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2022-12-01,84.41,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2023-01-01,83.91,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2023-02-01,97.89,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2023-03-01,,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2023-04-01,96.95,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2023-05-01,96.53,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2023-06-01,,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2023-07-01,98.11,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2023-08-01,106.93,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2023-09-01,116.07,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2023-10-01,112.87,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2023-11-01,111.76,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2023-12-01,114.93,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2024-01-01,112.09,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2024-02-01,107.77,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2024-03-01,117.19,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2024-04-01,109.52,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2024-05-01,112.34,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2024-06-01,112.38,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2024-07-01,111.07,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2024-08-01,63.86,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2024-09-01,,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2024-10-01,54.72,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2024-11-01,51.92,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2024-12-01,48.24,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2025-01-01,46.94,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2025-02-01,46.7,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2025-03-01,48.33,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2025-04-01,48.15,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
2025-05-01,48.9,Wheat (white),Ethiopia,Adama City,WHOLESALE,100 kg
