date,price_usd,commodity_name,country,market,price_type,unit
2010-03-01,1.04,Yam (late),Tonga,National Average,RETAIL,Kg
2010-04-01,1.07,Yam (late),Tonga,National Average,RETAIL,Kg
2010-05-01,0.8,Yam (late),Tonga,National Average,RETAIL,Kg
2010-06-01,1.14,Yam (late),Tonga,National Average,RETAIL,Kg
2010-07-01,1.3,Yam (late),Tonga,National Average,RETAIL,Kg
2010-08-01,1.19,Yam (late),Tonga,National Average,RETAIL,Kg
2010-09-01,1.74,Yam (late),Tonga,National Average,RETAIL,Kg
2010-10-01,1.67,Yam (late),Tonga,National Average,RETAIL,Kg
2010-11-01,1.71,Yam (late),Tonga,National Average,RETAIL,Kg
2010-12-01,1.7,Yam (late),Tonga,National Average,RETAIL,Kg
2011-01-01,1.61,Yam (late),Tonga,National Average,RETAIL,Kg
2011-02-01,1.26,Yam (late),Tonga,National Average,RETAIL,Kg
2011-03-01,1.46,Yam (late),Tonga,National Average,RETAIL,Kg
2011-04-01,1.16,Yam (late),Tonga,National Average,RETAIL,Kg
2011-05-01,1.07,Yam (late),Tonga,National Average,RETAIL,Kg
2011-06-01,1.34,Yam (late),Tonga,National Average,RETAIL,Kg
2011-07-01,1.44,Yam (late),Tonga,National Average,RETAIL,Kg
2011-08-01,1.41,Yam (late),Tonga,National Average,RETAIL,Kg
2011-09-01,0.96,Yam (late),Tonga,National Average,RETAIL,Kg
2011-10-01,1.16,Yam (late),Tonga,National Average,RETAIL,Kg
2011-11-01,0.99,Yam (late),Tonga,National Average,RETAIL,Kg
2011-12-01,0.99,Yam (late),Tonga,National Average,RETAIL,Kg
2012-01-01,1.0,Yam (late),Tonga,National Average,RETAIL,Kg
2012-02-01,0.99,Yam (late),Tonga,National Average,RETAIL,Kg
2012-03-01,1.27,Yam (late),Tonga,National Average,RETAIL,Kg
2012-04-01,1.22,Yam (late),Tonga,National Average,RETAIL,Kg
2012-05-01,1.1,Yam (late),Tonga,National Average,RETAIL,Kg
2012-06-01,1.13,Yam (late),Tonga,National Average,RETAIL,Kg
