date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2019-12-01,0.6,Beans (Shyushya),Rwanda,Eastern province,RETAIL,Kg,kg,0.6
2020-01-01,0.51,Beans (Shyushya),Rwanda,Eastern province,RETAIL,Kg,kg,0.51
2020-02-01,0.52,Beans (Shyushya),Rwanda,Eastern province,RETAIL,Kg,kg,0.52
2020-03-01,0.65,Beans (Shyushya),Rwanda,Eastern province,RETAIL,Kg,kg,0.65
2020-04-01,0.67,Beans (Shyushya),Rwanda,Eastern province,RETAIL,Kg,kg,0.67
2020-05-01,0.6,Beans (Shyushya),Rwanda,Eastern province,RETAIL,Kg,kg,0.6
2020-06-01,0.61,Beans (Shyushya),Rwanda,Eastern province,RETAIL,Kg,kg,0.61
2020-07-01,,Beans (Shyushya),Rwanda,Eastern province,RETAIL,Kg,kg,
2020-08-01,0.69,Beans (Shyushya),Rwanda,Eastern province,RETAIL,Kg,kg,0.69
2020-09-01,,Beans (Shyushya),Rwanda,Eastern province,RETAIL,Kg,kg,
2020-10-01,,Beans (Shyushya),Rwanda,Eastern province,RETAIL,Kg,kg,
2020-11-01,0.74,Beans (Shyushya),Rwanda,Eastern province,RETAIL,Kg,kg,0.74
2020-12-01,0.63,Beans (Shyushya),Rwanda,Eastern province,RETAIL,Kg,kg,0.63
2021-01-01,0.51,Beans (Shyushya),Rwanda,Eastern province,RETAIL,Kg,kg,0.51
2021-02-01,0.51,Beans (Shyushya),Rwanda,Eastern province,RETAIL,Kg,kg,0.51
2021-03-01,0.46,Beans (Shyushya),Rwanda,Eastern province,RETAIL,Kg,kg,0.46
2021-04-01,0.45,Beans (Shyushya),Rwanda,Eastern province,RETAIL,Kg,kg,0.45
2021-05-01,0.39,Beans (Shyushya),Rwanda,Eastern province,RETAIL,Kg,kg,0.39
2021-06-01,0.41,Beans (Shyushya),Rwanda,Eastern province,RETAIL,Kg,kg,0.41
2021-07-01,0.44,Beans (Shyushya),Rwanda,Eastern province,RETAIL,Kg,kg,0.44
2021-08-01,0.43,Beans (Shyushya),Rwanda,Eastern province,RETAIL,Kg,kg,0.43
