date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2017-06-01,1.74,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.74
2017-07-01,1.65,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.65
2017-08-01,1.65,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.65
2017-09-01,1.68,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.68
2017-10-01,1.68,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.68
2017-11-01,1.68,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.68
2017-12-01,1.66,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.66
2018-01-01,1.55,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.55
2018-02-01,1.51,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.51
2018-03-01,1.57,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.57
2018-04-01,1.71,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.71
2018-05-01,1.61,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.61
2018-06-01,1.58,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.58
2018-07-01,1.53,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.53
2018-08-01,1.43,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.43
2018-09-01,1.29,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.29
2018-10-01,1.41,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.41
2018-11-01,1.44,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.44
2018-12-01,1.41,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.41
2019-01-01,1.45,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.45
2019-02-01,1.44,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.44
2019-03-01,1.39,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.39
2019-04-01,1.38,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.38
2019-05-01,1.36,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.36
2019-06-01,1.44,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.44
2019-07-01,1.49,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.49
2019-08-01,1.28,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.28
2019-09-01,1.26,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.26
2019-10-01,1.23,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.23
2019-11-01,1.27,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.27
2019-12-01,1.27,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.27
2020-01-01,1.31,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.31
2020-02-01,1.31,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.31
2020-03-01,1.33,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.33
2020-04-01,1.3,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.3
2020-05-01,1.27,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.27
2020-06-01,1.26,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.26
2020-07-01,1.22,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.22
2020-08-01,1.19,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.19
2020-09-01,1.18,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.18
2020-10-01,1.18,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.18
2020-11-01,1.19,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.19
2020-12-01,1.17,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.17
2021-01-01,1.17,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.17
2021-02-01,1.23,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.23
2021-03-01,1.25,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.25
2021-04-01,1.29,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.29
2021-05-01,1.35,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.35
2021-06-01,1.38,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.38
2021-07-01,1.42,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.42
2021-08-01,1.42,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.42
2021-09-01,1.42,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.42
2021-10-01,1.42,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.42
2021-11-01,1.44,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.44
2021-12-01,1.46,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.46
2022-01-01,1.45,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.45
2022-02-01,1.49,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.49
2022-03-01,1.84,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.84
2022-04-01,1.95,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.95
2022-05-01,1.96,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.96
2022-06-01,1.97,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.97
2022-07-01,1.95,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.95
2022-08-01,1.96,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.96
2022-09-01,1.91,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.91
2022-10-01,1.87,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.87
2022-11-01,1.86,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.86
2022-12-01,1.83,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.83
2023-01-01,1.82,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.82
2023-02-01,1.81,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.81
2023-03-01,1.83,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.83
2023-04-01,1.87,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.87
2023-05-01,1.92,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.92
2023-06-01,1.9,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.9
2023-07-01,1.88,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.88
2023-08-01,1.82,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.82
2023-09-01,1.89,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.89
2023-10-01,2.02,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,2.02
2023-11-01,2.3,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,2.3
2023-12-01,1.56,Bread (French type),Argentina,Cuyo,RETAIL,Kg,kg,1.56
