date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2006-01-01,0.82,Bread (Sabbath loaf),Israel,National Average,RETAIL,500 gms,kg,1.64
2006-02-01,0.81,Bread (Sabbath loaf),Israel,National Average,RETAIL,500 gms,kg,1.62
2006-03-01,0.81,Bread (Sabbath loaf),Israel,National Average,RETAIL,500 gms,kg,1.62
2006-04-01,0.83,Bread (Sabbath loaf),Israel,National Average,RETAIL,500 gms,kg,1.66
2006-05-01,0.89,Bread (Sabbath loaf),Israel,National Average,RETAIL,500 gms,kg,1.78
2006-06-01,0.89,Bread (Sabbath loaf),Israel,National Average,RETAIL,500 gms,kg,1.78
2006-07-01,0.89,Bread (Sabbath loaf),Israel,National Average,RETAIL,500 gms,kg,1.78
2006-08-01,0.91,Bread (Sabbath loaf),Israel,National Average,RETAIL,500 gms,kg,1.82
2006-09-01,0.91,Bread (Sabbath loaf),Israel,National Average,RETAIL,500 gms,kg,1.82
2006-10-01,0.93,Bread (Sabbath loaf),Israel,National Average,RETAIL,500 gms,kg,1.86
2006-11-01,0.92,Bread (Sabbath loaf),Israel,National Average,RETAIL,500 gms,kg,1.84
2006-12-01,0.95,Bread (Sabbath loaf),Israel,National Average,RETAIL,500 gms,kg,1.9
2007-01-01,0.94,Bread (Sabbath loaf),Israel,National Average,RETAIL,500 gms,kg,1.88
2007-02-01,0.94,Bread (Sabbath loaf),Israel,National Average,RETAIL,500 gms,kg,1.88
2007-03-01,0.95,Bread (Sabbath loaf),Israel,National Average,RETAIL,500 gms,kg,1.9
2007-04-01,0.99,Bread (Sabbath loaf),Israel,National Average,RETAIL,500 gms,kg,1.98
2007-05-01,0.99,Bread (Sabbath loaf),Israel,National Average,RETAIL,500 gms,kg,1.98
2007-06-01,0.95,Bread (Sabbath loaf),Israel,National Average,RETAIL,500 gms,kg,1.9
2007-07-01,0.93,Bread (Sabbath loaf),Israel,National Average,RETAIL,500 gms,kg,1.86
2007-08-01,1.05,Bread (Sabbath loaf),Israel,National Average,RETAIL,500 gms,kg,2.1
