date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2021-03-01,4.57,Bulgur (Brown),Lebanon,Akkar,RETAIL,900 gms,kg,5.077777777777778
2021-04-01,5.72,Bulgur (Brown),Lebanon,Akkar,RETAIL,900 gms,kg,6.355555555555555
2021-05-01,5.64,Bulgur (Brown),Lebanon,Akkar,RETAIL,900 gms,kg,6.266666666666666
2021-06-01,6.28,Bulgur (Brown),Lebanon,Akkar,RETAIL,900 gms,kg,6.977777777777778
2021-07-01,7.59,Bulgur (Brown),Lebanon,Akkar,RETAIL,900 gms,kg,8.433333333333334
2021-08-01,8.27,Bulgur (Brown),Lebanon,Akkar,RETAIL,900 gms,kg,9.188888888888888
2021-09-01,8.04,Bulgur (Brown),Lebanon,Akkar,RETAIL,900 gms,kg,8.933333333333332
2021-10-01,8.36,Bulgur (Brown),Lebanon,Akkar,RETAIL,900 gms,kg,9.288888888888888
2021-11-01,9.02,Bulgur (Brown),Lebanon,Akkar,RETAIL,900 gms,kg,10.022222222222222
2021-12-01,10.58,Bulgur (Brown),Lebanon,Akkar,RETAIL,900 gms,kg,11.755555555555555
2022-01-01,11.73,Bulgur (Brown),Lebanon,Akkar,RETAIL,900 gms,kg,13.033333333333333
2022-02-01,9.54,Bulgur (Brown),Lebanon,Akkar,RETAIL,900 gms,kg,10.6
2022-03-01,10.72,Bulgur (Brown),Lebanon,Akkar,RETAIL,900 gms,kg,11.911111111111111
2022-04-01,12.84,Bulgur (Brown),Lebanon,Akkar,RETAIL,900 gms,kg,14.266666666666666
2022-05-01,13.94,Bulgur (Brown),Lebanon,Akkar,RETAIL,900 gms,kg,15.488888888888887
2022-06-01,15.33,Bulgur (Brown),Lebanon,Akkar,RETAIL,900 gms,kg,17.03333333333333
2022-07-01,15.64,Bulgur (Brown),Lebanon,Akkar,RETAIL,900 gms,kg,17.377777777777776
2022-08-01,16.92,Bulgur (Brown),Lebanon,Akkar,RETAIL,900 gms,kg,18.8
2022-09-01,19.46,Bulgur (Brown),Lebanon,Akkar,RETAIL,900 gms,kg,21.622222222222224
2022-10-01,19.84,Bulgur (Brown),Lebanon,Akkar,RETAIL,900 gms,kg,22.044444444444444
2022-11-01,20.35,Bulgur (Brown),Lebanon,Akkar,RETAIL,900 gms,kg,22.61111111111111
2022-12-01,22.12,Bulgur (Brown),Lebanon,Akkar,RETAIL,900 gms,kg,24.57777777777778
2023-01-01,24.17,Bulgur (Brown),Lebanon,Akkar,RETAIL,900 gms,kg,26.855555555555558
2023-02-01,3.41,Bulgur (Brown),Lebanon,Akkar,RETAIL,900 gms,kg,3.7888888888888888
2023-03-01,5.09,Bulgur (Brown),Lebanon,Akkar,RETAIL,900 gms,kg,5.655555555555555
2023-04-01,5.35,Bulgur (Brown),Lebanon,Akkar,RETAIL,900 gms,kg,5.944444444444444
2023-05-01,4.45,Bulgur (Brown),Lebanon,Akkar,RETAIL,900 gms,kg,4.944444444444445
2023-06-01,5.7,Bulgur (Brown),Lebanon,Akkar,RETAIL,900 gms,kg,6.333333333333333
