date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2008-01-01,3.34,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,8.35
2008-02-01,3.12,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,7.8
2008-03-01,2.97,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,7.425
2008-04-01,3.1,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,7.75
2008-05-01,3.13,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,7.824999999999999
2008-06-01,3.1,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,7.75
2008-07-01,3.41,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,8.525
2008-08-01,3.32,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,8.299999999999999
2008-09-01,3.29,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,8.225
2008-10-01,2.71,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,6.7749999999999995
2008-11-01,2.73,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,6.824999999999999
2008-12-01,2.94,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,7.35
2009-01-01,2.99,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,7.4750000000000005
2009-02-01,2.95,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,7.375
2009-03-01,2.8,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,6.999999999999999
2009-04-01,3.42,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,8.549999999999999
2009-05-01,3.54,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,8.85
2009-06-01,3.65,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,9.125
2009-07-01,3.73,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,9.325
2009-08-01,3.72,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,9.3
2009-09-01,3.91,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,9.775
2009-10-01,4.05,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,10.124999999999998
2009-11-01,4.03,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,10.075
2009-12-01,4.08,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,10.2
2010-01-01,4.14,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,10.349999999999998
2010-02-01,3.95,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,9.875
2010-03-01,4.14,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,10.349999999999998
2010-04-01,4.17,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,10.424999999999999
2010-05-01,4.04,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,10.1
2010-06-01,4.11,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,10.275
2010-07-01,4.26,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,10.649999999999999
2010-08-01,4.35,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,10.874999999999998
2010-09-01,4.37,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,10.924999999999999
2010-10-01,4.46,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,11.149999999999999
2010-11-01,4.48,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,11.200000000000001
2010-12-01,4.53,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,11.325
2011-01-01,4.53,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,11.325
2011-02-01,4.42,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,11.049999999999999
2011-03-01,4.68,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,11.7
2011-04-01,4.75,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,11.875
2011-05-01,4.7,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,11.75
2011-06-01,4.72,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,11.799999999999999
2011-07-01,4.82,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,12.05
2011-08-01,4.66,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,11.65
2011-09-01,4.5,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,11.25
2011-10-01,4.34,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,10.85
2011-11-01,4.13,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,10.325
2011-12-01,4.21,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,10.524999999999999
2012-01-01,4.39,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,10.974999999999998
2012-02-01,4.54,"Fish (Hake, frozen)",South Africa,National Average,RETAIL,400 gms,kg,11.35
