date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2010-07-01,99.72,Quinoa,Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,2.167826086956522
2010-08-01,101.03,Quinoa,Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,2.196304347826087
2010-09-01,100.48,Quinoa,Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,2.1843478260869564
2010-10-01,97.22,Quinoa,Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,2.1134782608695653
2010-11-01,97.28,Quinoa,Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,2.114782608695652
2010-12-01,99.11,Quinoa,Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,2.1545652173913044
2011-01-01,99.09,Quinoa,Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,2.154130434782609
2011-02-01,98.9,Quinoa,Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,2.15
2011-03-01,95.42,Quinoa,Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,2.0743478260869566
2011-04-01,89.94,Quinoa,Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,1.9552173913043478
2011-05-01,92.82,Quinoa,Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,2.0178260869565214
2011-06-01,93.78,Quinoa,Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,2.0386956521739132
2011-07-01,89.66,Quinoa,Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,1.9491304347826086
2011-08-01,92.43,Quinoa,Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,2.0093478260869566
2011-09-01,93.93,Quinoa,Bolivia (Plurinational State of),Cochabamba,WHOLESALE,Spanish quintal (46 kg),kg,2.0419565217391304
