date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2011-04-01,25.66,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,5.132
2011-05-01,25.72,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,5.144
2011-06-01,26.28,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,5.256
2011-07-01,26.02,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,5.204
2011-08-01,27.18,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,5.436
2011-09-01,26.89,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,5.378
2011-10-01,29.41,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,5.882
2011-11-01,28.89,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,5.7780000000000005
2011-12-01,29.53,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,5.906000000000001
2012-01-01,29.64,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,5.928
2012-02-01,28.89,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,5.7780000000000005
2012-03-01,27.5,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,5.5
2012-04-01,28.22,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,5.644
2012-05-01,28.95,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,5.79
2012-06-01,29.6,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,5.92
2012-07-01,30.06,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,6.012
2012-08-01,30.38,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,6.076
2012-09-01,30.49,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,6.098
2012-10-01,30.99,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,6.1979999999999995
2012-11-01,30.4,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,6.08
2012-12-01,29.11,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,5.822
2013-01-01,27.11,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,5.422
2013-02-01,25.94,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,5.188000000000001
2013-03-01,25.48,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,5.096
2013-04-01,24.72,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,4.944
2013-05-01,23.64,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,4.728
2013-06-01,24.56,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,4.912
2013-07-01,23.88,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,4.776
2013-08-01,24.42,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,4.884
2013-09-01,23.82,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,4.764
2013-10-01,23.92,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,4.784000000000001
2013-11-01,23.2,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,4.64
2013-12-01,22.07,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,4.414
2014-01-01,21.97,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,4.394
2014-02-01,22.35,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,4.470000000000001
2014-03-01,21.91,Rice (Non-glutinous),Japan,Osaka,RETAIL,5 kg,kg,4.382
