date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2000-01-01,0.45,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.45
2000-02-01,0.45,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.45
2000-03-01,0.45,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.45
2000-04-01,0.44,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.44
2000-05-01,0.44,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.44
2000-06-01,0.43,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.43
2000-07-01,0.43,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.43
2000-08-01,0.43,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.43
2000-09-01,0.4,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.4
2000-10-01,0.37,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.37
2000-11-01,0.35,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.35
2000-12-01,0.35,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.35
2001-01-01,0.34,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.34
2001-02-01,0.36,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.36
2001-03-01,0.36,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.36
2001-04-01,0.35,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.35
2001-05-01,0.34,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.34
2001-06-01,0.34,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.34
2001-07-01,0.32,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.32
2001-08-01,0.33,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.33
2001-09-01,0.34,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.34
2001-10-01,0.33,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.33
2001-11-01,0.33,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.33
2001-12-01,0.34,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.34
2002-01-01,0.35,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.35
2002-02-01,0.34,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.34
2002-03-01,,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,
2002-04-01,0.35,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.35
2002-05-01,0.35,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.35
2002-06-01,0.36,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.36
2002-07-01,0.37,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.37
2002-08-01,0.37,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.37
2002-09-01,0.37,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.37
2002-10-01,0.34,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.34
2002-11-01,0.34,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.34
2002-12-01,0.33,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.33
2003-01-01,0.34,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.34
2003-02-01,0.33,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.33
2003-03-01,0.33,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.33
2003-04-01,0.35,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.35
2003-05-01,0.35,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.35
2003-06-01,0.34,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.34
2003-07-01,0.34,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.34
2003-08-01,0.33,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.33
2003-09-01,0.33,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.33
2003-10-01,0.33,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.33
2003-11-01,0.33,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.33
2003-12-01,0.33,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.33
2004-01-01,0.32,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.32
2004-02-01,,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,
2004-03-01,0.33,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.33
2004-04-01,0.33,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.33
2004-05-01,0.34,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.34
2004-06-01,0.34,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.34
2004-07-01,0.38,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.38
2004-08-01,0.37,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.37
2004-09-01,0.36,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.36
2004-10-01,0.35,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.35
2004-11-01,0.35,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.35
2004-12-01,0.36,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.36
2005-01-01,0.36,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.36
2005-02-01,0.38,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.38
2005-03-01,0.39,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.39
2005-04-01,0.41,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.41
2005-05-01,0.41,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.41
2005-06-01,0.41,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.41
2005-07-01,0.4,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.4
2005-08-01,0.39,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.39
2005-09-01,0.38,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.38
2005-10-01,0.39,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.39
2005-11-01,0.41,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.41
2005-12-01,0.41,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.41
2006-01-01,0.42,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.42
2006-02-01,0.42,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.42
2006-03-01,0.44,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.44
2006-04-01,0.43,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.43
2006-05-01,0.42,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.42
2006-06-01,0.41,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.41
2006-07-01,0.42,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.42
2006-08-01,0.43,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.43
2006-09-01,0.44,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.44
2006-10-01,0.42,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.42
2006-11-01,0.44,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.44
2006-12-01,0.44,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.44
2007-01-01,0.45,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.45
2007-02-01,0.47,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.47
2007-03-01,0.47,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.47
2007-04-01,0.48,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.48
2007-05-01,0.49,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.49
2007-06-01,0.5,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.5
2007-07-01,0.5,Rice (regular milled),Philippines,Cebu,RETAIL,Kg,kg,0.5
