date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2019-01-01,0.5,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.5
2019-02-01,0.5,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.5
2019-03-01,0.5,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.5
2019-04-01,0.5,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.5
2019-05-01,0.5,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.5
2019-06-01,0.5,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.5
2019-07-01,0.7,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.7
2019-08-01,0.72,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.72
2019-09-01,0.75,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.75
2019-10-01,0.78,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.78
2019-11-01,0.81,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.81
2019-12-01,1.0,Cabbage,Belize,Belize City,RETAIL,lb,lb,1.0
2020-01-01,0.36,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.36
2020-02-01,0.5,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.5
2020-03-01,0.56,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.56
2020-04-01,,Cabbage,Belize,Belize City,RETAIL,lb,lb,
2020-05-01,0.5,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.5
2020-06-01,1.2,Cabbage,Belize,Belize City,RETAIL,lb,lb,1.2
2020-07-01,0.81,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.81
2020-08-01,0.88,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.88
2020-09-01,0.9,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.9
2020-10-01,0.75,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.75
2020-11-01,0.88,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.88
2020-12-01,1.25,Cabbage,Belize,Belize City,RETAIL,lb,lb,1.25
2021-01-01,1.19,Cabbage,Belize,Belize City,RETAIL,lb,lb,1.19
2021-02-01,1.0,Cabbage,Belize,Belize City,RETAIL,lb,lb,1.0
2021-03-01,0.63,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.63
2021-04-01,0.44,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.44
2021-05-01,0.41,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.41
2021-06-01,0.4,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.4
2021-07-01,0.85,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.85
2021-08-01,1.4,Cabbage,Belize,Belize City,RETAIL,lb,lb,1.4
2021-09-01,1.0,Cabbage,Belize,Belize City,RETAIL,lb,lb,1.0
2021-10-01,1.28,Cabbage,Belize,Belize City,RETAIL,lb,lb,1.28
2021-11-01,0.68,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.68
2021-12-01,0.5,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.5
2022-01-01,0.4,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.4
2022-02-01,0.25,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.25
2022-03-01,0.45,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.45
2022-04-01,1.0,Cabbage,Belize,Belize City,RETAIL,lb,lb,1.0
2022-05-01,1.15,Cabbage,Belize,Belize City,RETAIL,lb,lb,1.15
2022-06-01,0.88,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.88
2022-07-01,0.54,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.54
2022-08-01,0.75,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.75
2022-09-01,0.88,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.88
2022-10-01,1.19,Cabbage,Belize,Belize City,RETAIL,lb,lb,1.19
2022-11-01,1.35,Cabbage,Belize,Belize City,RETAIL,lb,lb,1.35
2022-12-01,1.34,Cabbage,Belize,Belize City,RETAIL,lb,lb,1.34
2023-01-01,0.85,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.85
2023-02-01,0.56,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.56
2023-03-01,0.5,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.5
2023-04-01,0.65,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.65
2023-05-01,0.5,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.5
2023-06-01,0.88,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.88
2023-07-01,1.31,Cabbage,Belize,Belize City,RETAIL,lb,lb,1.31
2023-08-01,1.33,Cabbage,Belize,Belize City,RETAIL,lb,lb,1.33
2023-09-01,1.31,Cabbage,Belize,Belize City,RETAIL,lb,lb,1.31
2023-10-01,0.9,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.9
2023-11-01,0.69,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.69
2023-12-01,1.06,Cabbage,Belize,Belize City,RETAIL,lb,lb,1.06
2024-01-01,1.25,Cabbage,Belize,Belize City,RETAIL,lb,lb,1.25
2024-02-01,1.13,Cabbage,Belize,Belize City,RETAIL,lb,lb,1.13
2024-03-01,1.25,Cabbage,Belize,Belize City,RETAIL,lb,lb,1.25
2024-04-01,1.2,Cabbage,Belize,Belize City,RETAIL,lb,lb,1.2
2024-05-01,1.25,Cabbage,Belize,Belize City,RETAIL,lb,lb,1.25
2024-06-01,1.56,Cabbage,Belize,Belize City,RETAIL,lb,lb,1.56
2024-07-01,1.8,Cabbage,Belize,Belize City,RETAIL,lb,lb,1.8
2024-08-01,1.38,Cabbage,Belize,Belize City,RETAIL,lb,lb,1.38
2024-09-01,1.38,Cabbage,Belize,Belize City,RETAIL,lb,lb,1.38
2024-10-01,1.4,Cabbage,Belize,Belize City,RETAIL,lb,lb,1.4
2024-11-01,1.38,Cabbage,Belize,Belize City,RETAIL,lb,lb,1.38
2024-12-01,1.45,Cabbage,Belize,Belize City,RETAIL,lb,lb,1.45
2025-01-01,1.31,Cabbage,Belize,Belize City,RETAIL,lb,lb,1.31
2025-02-01,0.88,Cabbage,Belize,Belize City,RETAIL,lb,lb,0.88
